mode,pad,k,ms,rsd,gflops,kernel
auto,0,128,0.985229,3.46,17437.4,?
auto,1,128,1.87294,2.68,9172.67,?
auto,4,128,1.04803,3.85,16392.5,?
auto,128,128,1.46151,3.14,11754.9,?
force128,0,128,0.98498,0.85,17441.9,gemm_sycl_register_128x128_k8
force128,1,128,1.00425,0.96,17107.1,gemm_sycl_register_128x128_k8
force128,2,128,1.00231,0.89,17140.3,?
force128,4,128,1.04683,3.59,16411.3,gemm_sycl_register_128x128_k8
force128,128,128,1.46204,3.27,11750.6,?
force128,384,128,1.55553,2.85,11044.4,?
auto,0,256,2.37917,3.29,14441.9,?
auto,1,256,2.98318,3.86,11517.8,?
auto,4,256,2.24107,4.24,15331.8,?
auto,128,256,2.53237,3.8,13568.2,?
force128,0,256,2.38973,3.74,14378.1,gemm_sycl_register_128x128_k8
force128,1,256,2.17879,3.92,15770.1,gemm_sycl_register_128x128_k8
force128,2,256,2.16269,3.5,15887.5,?
force128,4,256,2.23302,4.02,15387.1,gemm_sycl_register_128x128_k8
force128,128,256,2.55532,3.21,13446.3,?
force128,384,256,2.7404,3.25,12538.2,?
