pad,which,k,ms,rsd,gflops
4,A,32,0.249697,2.28,4300.18
4,ABC,32,0.702928,1.1,1527.53
4,B,32,0.258714,2.2,4150.3
4,C,32,0.690495,1.27,1555.03
4,none,32,0.249888,2.27,4296.89
128,A,32,0.252089,2.42,4259.38
128,ABC,32,0.334404,2.04,3210.91
128,B,32,0.275371,1.99,3899.25
128,C,32,0.30876,2.1,3477.6
128,none,32,0.250061,2.17,4293.91
4,A,96,0.493702,1.31,6524.64
4,ABC,96,1.24907,2.94,2578.91
4,B,96,0.493005,1.3,6533.86
4,C,96,1.2416,2.98,2594.41
4,none,96,0.489395,1.14,6582.06
128,A,96,0.498372,1.16,6463.49
128,ABC,96,0.733819,1.16,4389.67
128,B,96,0.657621,2.14,4898.3
128,C,96,0.515743,1.19,6245.79
128,none,96,0.489539,1.43,6580.12
