routemode,mode,type,n,nb,W,batch,med_ms,min_ms,rel_sd,gflops,staged_ms,leaf_ms,panel_ms,trail_ms,residual,info_nonzero
default,blocked,float,512,32,128,128,2.272480,2.268494,0.0010,2519.99,2.643211,0.403179,0.366652,1.872964,4.369e-07,0
native,blocked,float,512,32,128,128,3.753999,3.746245,0.0010,1525.47,4.039716,0.400785,0.326638,3.312109,4.369e-07,0
vtrsm,blocked,float,512,32,128,128,4.107217,4.101399,0.0007,1394.28,4.338706,0.377027,0.663362,3.298131,4.369e-07,0
nativeT,blocked,float,512,32,128,128,3.743897,3.739820,0.0006,1529.59,3.976546,0.375440,0.308295,3.292634,4.369e-07,0
default,blocked,float,512,48,128,128,1.845454,1.842906,0.0019,3103.10,2.013623,0.337358,0.429839,1.246277,4.369e-07,0
native,blocked,float,512,48,128,128,3.193547,3.187582,0.0011,1793.19,3.352237,0.348902,0.395925,2.607254,4.369e-07,0
vtrsm,blocked,float,512,48,128,128,3.481745,3.476868,0.0008,1644.76,3.625849,0.353727,0.653341,2.618620,4.369e-07,0
nativeT,blocked,float,512,48,128,128,3.203414,3.200035,0.0007,1787.66,3.395203,0.366662,0.407838,2.620500,4.369e-07,0
default,blocked,float,512,64,128,128,1.507263,1.502940,0.0019,3799.35,1.650580,0.328405,0.381236,0.940743,4.070e-07,0
native,blocked,float,512,64,128,128,2.928773,2.925651,0.0012,1955.30,3.035521,0.332033,0.407470,2.295862,4.070e-07,0
vtrsm,blocked,float,512,64,128,128,3.184006,3.182801,0.0005,1798.56,3.290789,0.328698,0.666727,2.295208,4.070e-07,0
nativeT,blocked,float,512,64,128,128,2.931707,2.928297,0.0009,1953.34,3.104503,0.339655,0.412850,2.351766,4.070e-07,0
default,blocked,float,512,96,128,128,1.305697,1.298227,0.0025,4385.87,1.386680,0.320955,0.424106,0.641444,4.070e-07,0
native,blocked,float,512,96,128,128,2.633811,2.632314,0.0006,2174.27,2.710229,0.335100,0.515193,1.859747,4.070e-07,0
vtrsm,blocked,float,512,96,128,128,2.829639,2.822768,0.0012,2023.80,2.903734,0.332714,0.709550,1.861296,4.070e-07,0
nativeT,blocked,float,512,96,128,128,2.634298,2.628969,0.0009,2173.87,2.710049,0.333908,0.514256,1.861699,4.070e-07,0
default,blocked,float,512,128,128,128,1.113562,1.110477,0.0013,5142.62,1.165375,0.334550,0.383222,0.447431,5.461e-07,0
native,blocked,float,512,128,128,128,2.461785,2.458256,0.0008,2326.21,2.506388,0.347040,0.541235,1.617950,5.461e-07,0
vtrsm,blocked,float,512,128,128,128,2.548265,2.545206,0.0010,2247.26,2.594279,0.348212,0.623717,1.622193,5.461e-07,0
nativeT,blocked,float,512,128,128,128,1.587171,1.582859,0.0018,3608.07,1.633495,0.348605,0.543903,0.740835,5.461e-07,0
default,blocked,float,512,155,128,128,1.234369,1.233385,0.0008,4639.31,1.286626,0.391059,0.504536,0.390863,5.461e-07,0
native,blocked,float,512,155,128,128,2.524088,2.520431,0.0009,2268.79,2.570150,0.379582,0.729980,1.460391,5.461e-07,0
vtrsm,blocked,float,512,155,128,128,2.575078,2.559578,0.0030,2223.86,2.611781,0.383423,0.769299,1.458865,5.461e-07,0
nativeT,blocked,float,512,155,128,128,2.099916,2.096934,0.0006,2727.07,2.151129,0.379928,0.731017,1.039992,5.461e-07,0
default,blocked,float,1024,32,128,128,12.183125,12.174242,0.0005,3760.36,12.691952,0.753712,0.952097,10.985968,5.462e-07,1
native,blocked,float,1024,32,128,128,23.948090,23.890874,0.0012,1913.01,24.436037,0.802157,0.922540,22.711131,5.462e-07,3
vtrsm,blocked,float,1024,32,128,128,25.876840,25.828353,0.0009,1770.42,26.346524,0.806815,2.787658,22.751874,5.462e-07,0
nativeT,blocked,float,1024,32,128,128,23.947301,23.925750,0.0005,1913.08,24.430045,0.804285,0.918889,22.706708,5.462e-07,2
default,blocked,float,1024,48,128,128,9.300962,9.285743,0.0008,4925.62,9.705098,0.721166,1.412526,7.571222,inf,66
native,blocked,float,1024,48,128,128,19.894065,19.880549,0.0004,2302.85,20.235474,0.521868,1.426218,18.287190,inf,128
vtrsm,blocked,float,1024,48,128,128,21.826876,21.804086,0.0007,2098.93,22.124411,0.747503,3.059152,18.317593,5.462e-07,0
nativeT,blocked,float,1024,48,128,128,19.875075,19.859744,0.0009,2305.05,20.237261,0.515663,1.423850,18.297491,inf,128
default,blocked,float,1024,64,128,128,7.308268,7.296167,0.0007,6268.65,7.545111,0.664688,1.190268,5.689948,5.462e-07,2
native,blocked,float,1024,64,128,128,18.168812,18.161081,0.0004,2521.52,18.409998,0.705616,1.479327,16.224856,5.462e-07,10
vtrsm,blocked,float,1024,64,128,128,20.017483,20.004971,0.0005,2288.65,20.240247,0.702121,3.328269,16.209687,5.462e-07,0
nativeT,blocked,float,1024,64,128,128,18.108407,18.102088,0.0002,2529.93,18.348587,0.703264,1.456949,16.188175,5.462e-07,12
default,blocked,float,1024,96,128,128,5.951111,5.938540,0.0010,7698.22,6.126020,0.680785,1.374031,4.071018,5.089e-07,2
native,blocked,float,1024,96,128,128,16.338601,16.327127,0.0003,2803.97,16.501248,0.701539,1.893109,13.906369,5.089e-07,13
vtrsm,blocked,float,1024,96,128,128,17.711783,17.704089,0.0002,2586.58,17.861446,0.699924,3.251918,13.909437,5.089e-07,0
nativeT,blocked,float,1024,96,128,128,16.371620,16.359065,0.0004,2798.32,16.522038,0.702335,1.893107,13.926415,5.089e-07,17
default,blocked,float,1024,128,128,128,5.086431,5.066105,0.0019,9006.90,5.205156,0.703760,1.375923,3.125279,5.462e-07,12
native,blocked,float,1024,128,128,128,15.557857,15.555674,0.0002,2944.68,15.672851,0.728500,2.226330,12.717844,5.462e-07,6
vtrsm,blocked,float,1024,128,128,128,16.722276,16.663944,0.0016,2739.64,16.822662,0.731628,3.342741,12.748096,5.462e-07,0
nativeT,blocked,float,1024,128,128,128,8.131310,8.108637,0.0012,5634.15,8.225889,0.726318,2.217911,5.281428,5.462e-07,12
