routemode,mode,type,n,nb,W,batch,med_ms,min_ms,rel_sd,gflops,staged_ms,leaf_ms,panel_ms,trail_ms,residual,info_nonzero
vtrsm,blocked,float,512,64,128,128,3.188717,3.184122,0.0008,1795.90,3.318786,0.339117,0.682268,2.297238,4.070e-07,0
vtrsmT,blocked,float,512,64,128,128,3.186062,3.178445,0.0010,1797.40,3.315289,0.336087,0.677924,2.301057,4.070e-07,0
vgemm,blocked,float,512,64,128,128,1.921421,1.916674,0.0016,2980.41,2.054190,0.323911,0.790370,0.939687,4.070e-07,0
vtrsm,blocked,float,512,96,128,128,2.831834,2.827042,0.0014,2022.23,2.941536,0.343677,0.733407,1.864252,4.070e-07,0
vtrsmT,blocked,float,512,96,128,128,2.836653,2.831584,0.0017,2018.80,2.911257,0.334889,0.717100,1.859107,4.070e-07,0
vgemm,blocked,float,512,96,128,128,1.662371,1.658058,0.0014,3444.85,1.738421,0.319801,0.775031,0.643418,4.070e-07,0
vtrsm,blocked,float,512,128,128,128,2.548927,2.547282,0.0004,2246.68,2.596623,0.347351,0.628724,1.620349,5.461e-07,0
vtrsmT,blocked,float,512,128,128,128,1.671592,1.662308,0.0024,3425.85,1.715016,0.347053,0.625239,0.742559,5.461e-07,0
vgemm,blocked,float,512,128,128,128,1.413657,1.407929,0.0021,4050.93,1.457868,0.335583,0.677707,0.444427,5.461e-07,0
vtrsm,blocked,float,512,155,128,128,2.564144,2.559092,0.0014,2233.35,2.624410,0.386030,0.775864,1.462325,5.461e-07,0
vtrsmT,blocked,float,512,155,128,128,2.147471,2.142068,0.0012,2666.68,2.205931,0.382120,0.780561,1.043056,5.461e-07,0
vgemm,blocked,float,512,155,128,128,1.517133,1.501392,0.0045,3774.63,1.561232,0.389985,0.787159,0.383935,5.461e-07,0
vtrsm,blocked,float,1024,64,128,128,19.983434,19.957335,0.0007,2292.55,20.210516,0.704892,3.319718,16.185734,5.462e-07,0
vtrsmT,blocked,float,1024,64,128,128,19.992802,19.988675,0.0005,2291.47,20.229409,0.706884,3.334588,16.187735,5.462e-07,0
vgemm,blocked,float,1024,64,128,128,9.562296,9.559227,0.0003,4791.00,9.853053,0.681488,3.460964,5.710356,5.462e-07,0
vtrsm,blocked,float,1024,96,128,128,17.706936,17.688511,0.0005,2587.29,17.890458,0.710148,3.270137,13.910017,5.089e-07,0
vtrsmT,blocked,float,1024,96,128,128,17.699375,17.694446,0.0003,2588.40,17.893052,0.707616,3.263721,13.921464,5.089e-07,0
vgemm,blocked,float,1024,96,128,128,7.882810,7.875451,0.0012,5811.76,8.050924,0.670283,3.319649,4.060813,5.089e-07,0
vtrsm,blocked,float,1024,128,128,128,16.629000,16.617265,0.0006,2755.01,16.763745,0.737321,3.331404,12.694758,5.462e-07,0
vtrsmT,blocked,float,1024,128,128,128,9.179933,9.158253,0.0014,4990.56,9.297991,0.727866,3.286442,5.283475,5.462e-07,0
vgemm,blocked,float,1024,128,128,128,7.079843,7.061123,0.0117,6470.90,7.437773,0.802607,3.462297,3.172481,5.462e-07,0
vtrsm,blocked,float,1024,155,128,128,16.406424,16.386942,0.0006,2792.38,16.514911,0.797071,3.394194,12.323446,5.462e-07,0
vtrsmT,blocked,float,1024,155,128,128,11.603629,11.579710,0.0009,3948.16,11.775633,0.812034,3.423556,7.539839,5.462e-07,0
vgemm,blocked,float,1024,155,128,128,7.022122,7.005791,0.0014,6524.09,7.128007,0.808393,3.391572,2.927835,5.462e-07,0
vtrsm,blocked,double,512,64,128,128,8.884866,8.874289,0.0007,644.54,8.989197,0.698284,2.518960,5.771785,8.137e-16,0
vtrsmT,blocked,double,512,64,128,128,8.884778,8.876943,0.0004,644.54,8.985879,0.698973,2.515584,5.771158,8.137e-16,0
vgemm,blocked,double,512,64,128,128,9.325809,9.311415,0.0007,614.06,9.444106,0.696378,2.526445,6.221094,8.137e-16,0
vtrsm,blocked,double,512,96,128,128,8.440345,8.402656,0.0026,678.48,8.501705,0.788489,2.797808,4.915183,8.137e-16,0
vtrsmT,blocked,double,512,96,128,128,8.410303,8.404040,0.0007,680.91,8.485290,0.784726,2.787131,4.913234,8.137e-16,0
vgemm,blocked,double,512,96,128,128,9.130750,9.127225,0.0003,627.18,9.208734,0.784524,2.787657,5.636376,8.137e-16,0
vtrsm,terminate called after throwing an instance of 'std::invalid_argument'
vtrsm,  what():  potrf_cta: order 128 does not fit this device's local memory (needs 132540 B of 97280 B); the ceiling for this type is 109
vtrsmT,terminate called after throwing an instance of 'std::invalid_argument'
vtrsmT,  what():  potrf_cta: order 128 does not fit this device's local memory (needs 132540 B of 97280 B); the ceiling for this type is 109
vgemm,terminate called after throwing an instance of 'std::invalid_argument'
vgemm,  what():  potrf_cta: order 128 does not fit this device's local memory (needs 132540 B of 97280 B); the ceiling for this type is 109
vtrsm,blocked,double,1024,64,128,128,53.338323,53.310991,0.0004,858.91,53.689972,1.474912,10.498766,41.715967,9.479e-16,0
vtrsmT,blocked,double,1024,64,128,128,53.323430,53.291714,0.0003,859.15,53.543149,1.428148,10.454661,41.660164,9.479e-16,0
vgemm,blocked,double,1024,64,128,128,56.851936,56.832632,0.0002,805.83,57.170265,1.421957,10.488123,45.260030,9.479e-16,0
vtrsm,blocked,double,1024,96,128,128,50.980135,50.946917,0.0003,898.64,51.130961,1.591780,11.855327,37.683712,1.017e-15,0
vtrsmT,blocked,double,1024,96,128,128,50.976010,50.960772,0.0003,898.72,51.138304,1.593983,11.852329,37.691723,1.017e-15,0
vgemm,blocked,double,1024,96,128,128,55.988562,55.956741,0.0014,818.26,56.154809,1.600110,11.869969,42.684525,1.017e-15,0
vtrsm,terminate called after throwing an instance of 'std::invalid_argument'
vtrsm,  what():  potrf_cta: order 128 does not fit this device's local memory (needs 132540 B of 97280 B); the ceiling for this type is 109
vtrsmT,terminate called after throwing an instance of 'std::invalid_argument'
vtrsmT,  what():  potrf_cta: order 128 does not fit this device's local memory (needs 132540 B of 97280 B); the ceiling for this type is 109
vgemm,terminate called after throwing an instance of 'std::invalid_argument'
vgemm,  what():  potrf_cta: order 128 does not fit this device's local memory (needs 132540 B of 97280 B); the ceiling for this type is 109
vtrsm,blocked,cfloat,512,64,128,128,7.221371,7.217492,0.0004,3172.04,7.380320,0.460519,2.354702,4.564857,4.032e-07,0
vgemm,blocked,cfloat,512,64,128,128,4.490173,4.484241,0.0008,5101.47,4.634127,0.416719,2.361432,1.855756,4.032e-07,0
vtrsm,blocked,cfloat,512,96,128,128,7.882099,7.873762,0.0007,2906.14,7.990948,0.455648,3.774684,3.760421,4.032e-07,0
vgemm,blocked,cfloat,512,96,128,128,5.460152,5.451520,0.0039,4195.21,5.752917,0.497306,3.822841,1.432477,4.032e-07,0
vtrsm,blocked,cfloat,512,109,128,128,9.092727,9.089405,0.0017,2519.21,9.179746,0.484961,4.994013,3.700605,4.032e-07,0
vgemm,blocked,cfloat,512,109,128,128,6.673890,6.668266,0.0005,3432.25,6.756983,0.476084,5.021775,1.258921,4.032e-07,0
vtrsm,blocked,cfloat,1024,64,128,128,38.999998,38.356979,0.0093,4698.77,38.431833,0.877674,5.824256,31.729693,5.060e-07,0
vgemm,blocked,cfloat,1024,64,128,128,18.542504,18.527476,0.0004,9882.80,19.020554,0.888875,5.840248,12.290718,5.060e-07,0
vtrsm,blocked,cfloat,1024,96,128,128,38.254852,38.176781,0.0012,4790.29,38.172782,0.919803,9.228279,28.024526,4.738e-07,0
vgemm,blocked,cfloat,1024,96,128,128,18.685591,18.676243,0.0004,9807.13,18.881958,0.893692,8.971098,9.016964,4.738e-07,0
vtrsm,blocked,cfloat,1024,109,128,128,71.185311,70.772589,0.0025,2574.29,71.205908,0.998312,42.494857,27.712545,5.060e-07,0
vgemm,blocked,cfloat,1024,109,128,128,51.182227,51.157920,0.0002,3580.38,51.351758,0.995160,41.845641,8.510722,5.060e-07,0
vtrsm,blocked,cdouble,512,48,128,128,105.784634,105.762722,0.0001,216.54,105.944807,0.975954,32.562556,72.406091,7.511e-16,0
