route,mode,type,n,nb,j,m2,ib,batch,med_ms,min_ms,rel_sd,gflops
default,panel,float,512,155,0,357,155,128,0.168556,0.168271,0.0011,6513.26
default,panel,float,512,155,155,202,155,128,0.127044,0.126670,0.0013,4889.56
default,panel,float,512,155,310,47,155,128,0.111194,0.110904,0.0041,1299.84
vendor,panel,float,512,155,0,357,155,128,0.325400,0.324010,0.0027,3373.84
vendor,panel,float,512,155,155,202,155,128,0.241727,0.241157,0.0011,2569.81
vendor,panel,float,512,155,310,47,155,128,0.106829,0.106389,0.0023,1352.95
native,panel,float,512,155,0,357,155,128,0.168689,0.167959,0.0018,6508.11
native,panel,float,512,155,155,202,155,128,0.127063,0.126845,0.0012,4888.84
native,panel,float,512,155,310,47,155,128,0.110537,0.110434,0.0005,1307.57
default,panel,float,1024,155,0,869,155,128,0.383784,0.382310,0.0018,6963.16
default,panel,float,1024,155,310,559,155,128,0.250163,0.248803,0.0036,6871.68
default,panel,float,1024,155,465,404,155,128,0.190608,0.190432,0.0018,6518.00
default,panel,float,1024,155,775,94,155,128,0.112563,0.112422,0.0024,2568.07
vendor,panel,float,1024,155,0,869,155,128,0.843811,0.842772,0.0020,3167.00
vendor,panel,float,1024,155,310,559,155,128,0.502664,0.501092,0.0018,3419.85
vendor,panel,float,1024,155,465,404,155,128,0.389166,0.387901,0.0018,3192.42
vendor,panel,float,1024,155,775,94,155,128,0.124846,0.124448,0.0028,2315.41
native,panel,float,1024,155,0,869,155,128,0.382713,0.382167,0.0019,6982.65
native,panel,float,1024,155,310,559,155,128,0.256512,0.255897,0.0014,6701.58
native,panel,float,1024,155,465,404,155,128,0.189812,0.189564,0.0008,6545.33
native,panel,float,1024,155,775,94,155,128,0.112655,0.112456,0.0010,2565.96
default,panel,float,2048,155,0,1893,155,128,0.939688,0.938515,0.0014,6194.98
default,panel,float,2048,155,620,1273,155,128,0.605131,0.603359,0.0026,6469.22
default,panel,float,2048,155,1240,653,155,128,0.302964,0.301864,0.0020,6628.21
default,panel,float,2048,155,1860,33,155,128,0.111236,0.111132,0.0007,912.31
vendor,panel,float,2048,155,0,1893,155,128,2.070955,2.067652,0.0015,2810.95
vendor,panel,float,2048,155,620,1273,155,128,1.384651,1.382238,0.0011,2827.23
vendor,panel,float,2048,155,1240,653,155,128,0.609875,0.609452,0.0022,3292.65
vendor,panel,float,2048,155,1860,33,155,128,0.102805,0.102722,0.0071,987.13
native,panel,float,2048,155,0,1893,155,128,0.938128,0.936480,0.0010,6205.29
native,panel,float,2048,155,620,1273,155,128,0.606351,0.604351,0.0020,6456.21
native,panel,float,2048,155,1240,653,155,128,0.306127,0.304626,0.0030,6559.71
native,panel,float,2048,155,1860,33,155,128,0.111225,0.111149,0.0012,912.40
default,panel,double,512,109,0,403,109,128,0.697508,0.692762,0.0067,878.66
default,panel,double,512,109,109,294,109,128,0.428559,0.428107,0.0004,1043.28
default,panel,double,512,109,218,185,109,128,0.292435,0.292227,0.0007,962.07
default,panel,double,512,109,327,76,109,128,0.158418,0.158105,0.0044,729.58
vendor,panel,double,512,109,0,403,109,128,2.193376,2.191866,0.0100,279.42
vendor,panel,double,512,109,109,294,109,128,1.671445,1.671110,0.0002,267.50
vendor,panel,double,512,109,218,185,109,128,1.013250,1.013108,0.0002,277.66
vendor,panel,double,512,109,327,76,109,128,0.545891,0.545534,0.0012,211.72
native,panel,double,512,109,0,403,109,128,0.691507,0.691003,0.0021,886.28
native,panel,double,512,109,109,294,109,128,0.428571,0.428516,0.0003,1043.25
native,panel,double,512,109,218,185,109,128,0.292553,0.292278,0.0060,961.68
native,panel,double,512,109,327,76,109,128,0.158776,0.158508,0.0019,727.93
default,panel,double,1024,109,0,915,109,128,1.358404,1.349988,0.0051,1024.37
default,panel,double,1024,109,327,588,109,128,0.918405,0.903929,0.0088,973.66
default,panel,double,1024,109,545,370,109,128,0.532726,0.532404,0.0004,1056.24
default,panel,double,1024,109,872,43,109,128,0.126306,0.126046,0.0016,517.73
vendor,panel,double,1024,109,0,915,109,128,4.826183,4.822394,0.0005,288.32
vendor,panel,double,1024,109,327,588,109,128,3.177653,3.177348,0.0013,281.41
vendor,panel,double,1024,109,545,370,109,128,1.999392,1.998957,0.0010,281.43
vendor,panel,double,1024,109,872,43,109,128,0.353487,0.353258,0.0006,184.99
native,panel,double,1024,109,0,915,109,128,1.351724,1.350570,0.0043,1029.43
native,panel,double,1024,109,327,588,109,128,0.915106,0.907965,0.0072,977.17
native,panel,double,1024,109,545,370,109,128,0.532613,0.532371,0.0004,1056.46
native,panel,double,1024,109,872,43,109,128,0.126356,0.126215,0.0011,517.53
default,panel,double,2048,109,0,1939,109,128,2.783123,2.779462,0.0012,1059.52
default,panel,double,2048,109,654,1285,109,128,1.935107,1.930501,0.0012,1009.86
default,panel,double,2048,109,1199,740,109,128,1.119935,1.109770,0.0105,1004.85
default,panel,double,2048,109,1853,86,109,128,0.175020,0.174897,0.0005,747.26
vendor,panel,double,2048,109,0,1939,109,128,10.081416,10.079530,0.0004,292.50
vendor,panel,double,2048,109,654,1285,109,128,4.103255,4.101975,0.0003,476.25
vendor,panel,double,2048,109,1199,740,109,128,3.972519,3.954901,0.0017,283.29
vendor,panel,double,2048,109,1853,86,109,128,0.546309,0.545571,0.0015,239.40
native,panel,double,2048,109,0,1939,109,128,2.785222,2.780167,0.0014,1058.72
native,panel,double,2048,109,654,1285,109,128,1.935275,1.929024,0.0020,1009.77
native,panel,double,2048,109,1199,740,109,128,1.122385,1.092035,0.0139,1002.66
native,panel,double,2048,109,1853,86,109,128,0.175073,0.174774,0.0022,747.04
default,panel,cfloat,512,109,0,403,109,128,0.196967,0.191753,0.0132,12446.14
default,panel,cfloat,512,109,109,294,109,128,0.125061,0.124909,0.0012,14300.37
default,panel,cfloat,512,109,218,185,109,128,0.108450,0.108236,0.0012,10376.84
default,panel,cfloat,512,109,327,76,109,128,0.087945,0.087823,0.0008,5256.85
vendor,panel,cfloat,512,109,0,403,109,128,1.048321,1.047961,0.0004,2338.48
vendor,panel,cfloat,512,109,109,294,109,128,1.070445,1.069684,0.0006,1670.73
vendor,panel,cfloat,512,109,218,185,109,128,1.739007,1.736744,0.0005,647.13
vendor,panel,cfloat,512,109,327,76,109,128,1.045202,1.044342,0.0006,442.32
