cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
VV,1,vendor,float,1024,256,128,32,17.4738,17.4698,0.0001,5243.63,3.219e-10,0,0,0
VV,1,blocked,float,1024,256,128,32,19.6505,19.5218,0.0033,4662.78,1.075e-10,0,0,0
VV,2,vendor,float,1024,256,128,32,17.4513,17.4494,0.0001,5250.38,3.219e-10,0,0,0
VV,2,blocked,float,1024,256,128,32,19.6260,19.4946,0.0034,4668.61,1.075e-10,0,0,0
VV,3,vendor,float,1024,256,128,32,17.7426,17.7190,0.0007,5164.17,3.219e-10,0,0,0
VV,3,blocked,float,1024,256,128,32,19.6368,19.5792,0.0015,4666.04,1.075e-10,0,0,0
Vn,1,vendor,float,1024,256,128,32,17.5179,17.5136,0.0001,5230.43,3.219e-10,0,0,0
Vn,1,blocked,float,1024,256,128,32,15.7444,15.7409,0.0001,5819.58,6.035e+05,0,0,28
Vn,2,vendor,float,1024,256,128,32,17.7970,17.7956,0.0000,5148.40,3.219e-10,0,0,0
Vn,2,blocked,float,1024,256,128,32,15.7727,15.6801,0.0029,5809.15,5.129e+01,0,0,32
Vn,3,vendor,float,1024,256,128,32,17.6769,17.6506,0.0007,5183.38,3.219e-10,0,0,0
Vn,3,blocked,float,1024,256,128,32,15.7909,15.7369,0.0017,5802.45,1.075e-10,0,0,31
nV,1,vendor,float,1024,256,128,32,17.4527,17.4402,0.0004,5249.95,3.219e-10,0,0,0
nV,1,blocked,float,1024,256,128,32,19.5037,19.4754,0.0007,4697.87,1.075e-10,0,0,0
nV,2,vendor,float,1024,256,128,32,17.7406,17.7374,0.0001,5164.76,3.219e-10,0,0,0
nV,2,blocked,float,1024,256,128,32,19.5113,19.4968,0.0004,4696.05,1.075e-10,0,0,0
nV,3,vendor,float,1024,256,128,32,17.5960,17.5837,0.0003,5207.21,3.219e-10,0,0,0
nV,3,blocked,float,1024,256,128,32,19.5377,19.5297,0.0002,4689.70,1.075e-10,0,0,0
nn,1,vendor,float,1024,256,128,32,17.5923,17.5916,0.0000,5208.29,3.219e-10,0,0,0
nn,1,blocked,float,1024,256,128,32,17.1875,17.1849,0.0001,5330.97,1.075e-10,0,0,60
nn,2,vendor,float,1024,256,128,32,17.4855,17.4670,0.0005,5240.10,3.219e-10,0,0,0
nn,2,blocked,float,1024,256,128,32,17.2597,17.2377,0.0006,5308.68,1.075e-10,0,0,65
nn,3,vendor,float,1024,256,128,32,17.5516,17.5464,0.0001,5220.39,3.219e-10,0,0,0
nn,3,blocked,float,1024,256,128,32,17.2536,17.2274,0.0008,5310.54,1.075e-10,0,0,50
VV,1,vendor,float,512,256,128,32,2.0182,2.0159,0.0006,5674.94,2.150e-10,0,0,0
VV,1,blocked,float,512,256,128,32,3.6232,3.6223,0.0001,3161.05,2.154e-10,0,0,0
VV,2,vendor,float,512,256,128,32,2.0296,2.0257,0.0009,5643.18,2.150e-10,0,0,0
VV,2,blocked,float,512,256,128,32,3.6232,3.6144,0.0012,3161.07,2.154e-10,0,0,0
VV,3,vendor,float,512,256,128,32,2.0170,2.0136,0.0008,5678.46,2.150e-10,0,0,0
VV,3,blocked,float,512,256,128,32,3.6256,3.6211,0.0006,3159.02,2.154e-10,0,0,0
Vn,1,vendor,float,512,256,128,32,2.0212,2.0143,0.0017,5666.69,2.150e-10,0,0,0
Vn,1,blocked,float,512,256,128,32,2.7518,2.7364,0.0028,4162.12,2.153e-10,0,0,1
Vn,2,vendor,float,512,256,128,32,2.0083,2.0019,0.0016,5703.03,2.150e-10,0,0,0
Vn,2,blocked,float,512,256,128,32,2.8255,2.8222,0.0006,4053.60,2.153e-10,0,0,2
Vn,3,vendor,float,512,256,128,32,2.0304,2.0290,0.0004,5640.76,2.150e-10,0,0,0
Vn,3,blocked,float,512,256,128,32,2.7561,2.7349,0.0039,4155.59,2.153e-10,0,0,0
nV,1,vendor,float,512,256,128,32,2.0088,1.9988,0.0025,5701.41,2.150e-10,0,0,0
nV,1,blocked,float,512,256,128,32,3.6262,3.6248,0.0002,3158.50,2.154e-10,0,0,0
nV,2,vendor,float,512,256,128,32,2.0583,2.0502,0.0020,5564.30,2.150e-10,0,0,0
nV,2,blocked,float,512,256,128,32,3.6206,3.6076,0.0018,3163.38,2.154e-10,0,0,0
nV,3,vendor,float,512,256,128,32,2.0118,2.0105,0.0003,5692.98,2.150e-10,0,0,0
nV,3,blocked,float,512,256,128,32,3.6264,3.6196,0.0009,3158.28,2.154e-10,0,0,0
nn,1,vendor,float,512,256,128,32,2.0208,2.0190,0.0005,5667.65,2.150e-10,0,0,0
nn,1,blocked,float,512,256,128,32,3.1300,3.1207,0.0015,3659.18,2.153e-10,0,0,0
nn,2,vendor,float,512,256,128,32,2.0075,2.0010,0.0016,5705.37,2.150e-10,0,0,0
nn,2,blocked,float,512,256,128,32,3.1315,3.1245,0.0011,3657.45,2.153e-10,0,0,0
nn,3,vendor,float,512,256,128,32,2.0303,2.0286,0.0004,5641.24,2.150e-10,0,0,0
nn,3,blocked,float,512,256,128,32,3.1207,3.1182,0.0004,3670.08,2.153e-10,0,0,0
VV,1,vendor,float,1024,128,128,32,7.2410,7.2363,0.0003,6326.89,3.219e-10,0,0,0
VV,1,blocked,float,1024,128,128,32,9.6090,9.5914,0.0009,4767.70,1.075e-10,0,0,0
VV,2,vendor,float,1024,128,128,32,7.2515,7.2463,0.0004,6317.75,3.219e-10,0,0,0
VV,2,blocked,float,1024,128,128,32,9.6072,9.5580,0.0026,4768.59,1.075e-10,0,0,0
VV,3,vendor,float,1024,128,128,32,7.3774,7.3744,0.0002,6209.93,3.219e-10,0,0,0
VV,3,blocked,float,1024,128,128,32,9.6131,9.5979,0.0008,4765.67,1.075e-10,0,0,0
Vn,1,vendor,float,1024,128,128,32,7.3289,7.3273,0.0001,6251.02,3.219e-10,0,0,0
Vn,1,blocked,float,1024,128,128,32,7.5952,7.5720,0.0015,6031.85,1.075e-10,0,0,2
Vn,2,vendor,float,1024,128,128,32,7.4163,7.4092,0.0005,6177.35,3.219e-10,0,0,0
Vn,2,blocked,float,1024,128,128,32,7.8400,7.6247,0.0139,5843.46,1.075e-10,0,0,1
Vn,3,vendor,float,1024,128,128,32,7.2693,7.2621,0.0005,6302.30,3.219e-10,0,0,0
Vn,3,blocked,float,1024,128,128,32,7.6738,7.6131,0.0040,5970.02,1.075e-10,0,0,2
nV,1,vendor,float,1024,128,128,32,7.3336,7.3251,0.0006,6246.97,3.219e-10,0,0,0
nV,1,blocked,float,1024,128,128,32,9.9806,9.8336,0.0074,4590.19,1.075e-10,0,0,0
nV,2,vendor,float,1024,128,128,32,7.2483,7.2426,0.0004,6320.51,3.219e-10,0,0,0
nV,2,blocked,float,1024,128,128,32,9.8329,9.8301,0.0001,4659.16,1.075e-10,0,0,0
nV,3,vendor,float,1024,128,128,32,7.2934,7.2779,0.0011,6281.45,3.219e-10,0,0,0
nV,3,blocked,float,1024,128,128,32,9.8594,9.8380,0.0011,4646.65,1.075e-10,0,0,0
nn,1,vendor,float,1024,128,128,32,7.2686,7.2542,0.0010,6302.83,3.219e-10,0,0,0
nn,1,blocked,float,1024,128,128,32,9.0589,9.0485,0.0006,5057.26,1.075e-10,0,0,9
nn,2,vendor,float,1024,128,128,32,7.3202,7.2865,0.0023,6258.41,3.219e-10,0,0,0
nn,2,blocked,float,1024,128,128,32,9.0520,9.0504,0.0001,5061.08,1.075e-10,0,0,10
nn,3,vendor,float,1024,128,128,32,7.3128,7.2950,0.0012,6264.77,3.219e-10,0,0,0
nn,3,blocked,float,1024,128,128,32,9.0733,9.0641,0.0005,5049.23,1.075e-10,0,0,11
VV,1,vendor,cdouble,1024,256,64,16,308.6328,308.6134,0.0000,1187.51,1.864e-19,0,0,0
VV,1,blocked,cdouble,1024,256,64,16,460.5927,460.5770,0.0000,795.72,1.860e-19,0,0,0
VV,2,vendor,cdouble,1024,256,64,16,308.6182,308.6053,0.0000,1187.56,1.864e-19,0,0,0
VV,2,blocked,cdouble,1024,256,64,16,460.4538,460.4149,0.0000,795.96,1.860e-19,0,0,0
VV,3,vendor,cdouble,1024,256,64,16,308.6041,308.5948,0.0000,1187.62,1.864e-19,0,0,0
VV,3,blocked,cdouble,1024,256,64,16,460.6714,460.4601,0.0002,795.59,1.860e-19,0,0,0
Vn,1,vendor,cdouble,1024,256,64,16,308.6283,308.6091,0.0000,1187.53,1.864e-19,0,0,0
Vn,1,blocked,cdouble,1024,256,64,16,347.2184,347.1719,0.0001,1055.54,3.720e-19,0,0,74
Vn,2,vendor,cdouble,1024,256,64,16,308.6142,308.6034,0.0000,1187.58,1.864e-19,0,0,0
Vn,2,blocked,cdouble,1024,256,64,16,347.2654,347.0922,0.0002,1055.40,1.647e-01,0,0,89
Vn,3,vendor,cdouble,1024,256,64,16,308.6154,308.6032,0.0000,1187.57,1.864e-19,0,0,0
Vn,3,blocked,cdouble,1024,256,64,16,347.1722,347.0850,0.0001,1055.68,1.497e-03,0,0,81
nV,1,vendor,cdouble,1024,256,64,16,308.8243,308.6100,0.0003,1186.77,1.864e-19,0,0,0
nV,1,blocked,cdouble,1024,256,64,16,1036.2729,1036.2354,0.0000,353.68,1.860e-19,0,0,0
