rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
1,vendor,float,512,1,128,32,0.1377,0.1126,0.1005,324.81,2.149e-10,0,0,0
1,facade,float,512,1,128,32,1.3669,0.7604,0.2851,32.73,2.154e-10,0,0,0
2,vendor,float,512,1,128,32,0.1099,0.1096,0.0011,407.26,2.149e-10,0,0,0
2,facade,float,512,1,128,32,0.7578,0.7566,0.0007,59.04,2.154e-10,0,0,0
3,vendor,float,512,1,128,32,0.1101,0.1096,0.0019,406.50,2.149e-10,0,0,0
3,facade,float,512,1,128,32,0.7575,0.7567,0.0005,59.06,2.154e-10,0,0,0
1,vendor,float,512,8,128,32,0.3944,0.3943,0.0001,907.56,2.150e-10,0,0,0
1,facade,float,512,8,128,32,1.0747,1.0747,0.0000,333.03,2.154e-10,0,0,0
2,vendor,float,512,8,128,32,0.3932,0.3930,0.0003,910.24,2.150e-10,0,0,0
2,facade,float,512,8,128,32,1.0733,1.0730,0.0002,333.47,2.154e-10,0,0,0
3,vendor,float,512,8,128,32,0.3944,0.3942,0.0002,907.60,2.150e-10,0,0,0
3,facade,float,512,8,128,32,1.0741,1.0738,0.0001,333.22,2.154e-10,0,0,0
1,vendor,float,512,32,128,32,0.4605,0.4603,0.0002,3109.13,3.788e-10,0,0,0
1,facade,float,512,32,128,32,1.1749,1.1207,0.0236,1218.50,5.682e-10,0,0,0
2,vendor,float,512,32,128,32,0.4757,0.4589,0.0180,3009.71,3.788e-10,0,0,0
2,facade,float,512,32,128,32,1.1537,1.1210,0.0144,1240.93,5.682e-10,0,0,0
3,vendor,float,512,32,128,32,0.4616,0.4603,0.0015,3101.24,3.788e-10,0,0,0
3,facade,float,512,32,128,32,1.1201,1.1200,0.0001,1278.11,5.682e-10,0,0,0
1,vendor,float,512,64,128,32,0.5854,0.5854,0.0000,4891.10,3.876e-10,0,0,0
1,facade,float,512,64,128,32,1.3906,1.3902,0.0001,2059.08,2.154e-10,0,0,0
2,vendor,float,512,64,128,32,0.5845,0.5830,0.0013,4899.14,3.876e-10,0,0,0
2,facade,float,512,64,128,32,1.3819,1.3808,0.0004,2071.96,2.154e-10,0,0,0
3,vendor,float,512,64,128,32,0.5857,0.5847,0.0009,4888.54,3.876e-10,0,0,0
3,facade,float,512,64,128,32,1.3868,1.3817,0.0019,2064.63,2.154e-10,0,0,0
1,vendor,float,512,96,128,32,0.7416,0.7414,0.0001,5791.85,3.933e-10,0,0,0
1,facade,float,512,96,128,32,1.6546,1.6497,0.0015,2595.84,5.911e-10,0,0,0
2,vendor,float,512,96,128,32,0.7462,0.7461,0.0000,5756.16,3.933e-10,0,0,0
2,facade,float,512,96,128,32,1.6538,1.6468,0.0021,2596.95,5.911e-10,0,0,0
3,vendor,float,512,96,128,32,0.7483,0.7469,0.0009,5739.93,3.933e-10,0,0,0
