cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
vv,1,vendor,float,256,128,128,32,0.2450,0.2445,0.0012,2921.31,4.309e-10,0,0,0
vv,1,blocked,float,256,128,128,32,0.3765,0.3764,0.0001,1901.34,8.003e-10,0,0,0
vv,2,vendor,float,256,128,128,32,0.2248,0.2248,0.0000,3184.73,4.309e-10,0,0,0
vv,2,blocked,float,256,128,128,32,0.3458,0.3451,0.0010,2070.24,8.003e-10,0,0,0
vv,3,vendor,float,256,128,128,32,0.2249,0.2242,0.0016,3183.37,4.309e-10,0,0,0
vv,3,blocked,float,256,128,128,32,0.3450,0.3449,0.0001,2075.01,8.003e-10,0,0,0
vv,4,vendor,float,256,128,128,32,0.2241,0.2241,0.0000,3194.32,4.309e-10,0,0,0
vv,4,blocked,float,256,128,128,32,0.3451,0.3445,0.0008,2074.21,8.003e-10,0,0,0
vv,5,vendor,float,256,128,128,32,0.2250,0.2242,0.0018,3181.63,4.309e-10,0,0,0
vv,5,blocked,float,256,128,128,32,0.3453,0.3448,0.0006,2073.25,8.003e-10,0,0,0
nv,1,vendor,float,256,128,128,32,0.2248,0.2247,0.0002,3184.10,4.309e-10,0,0,0
nv,1,blocked,float,256,128,128,32,0.3917,0.3911,0.0008,1827.65,8.003e-10,0,0,0
nv,2,vendor,float,256,128,128,32,0.2254,0.2246,0.0016,3176.29,4.309e-10,0,0,0
nv,2,blocked,float,256,128,128,32,0.3922,0.3911,0.0013,1825.25,8.003e-10,0,0,0
nv,3,vendor,float,256,128,128,32,0.2250,0.2247,0.0006,3181.43,4.309e-10,0,0,0
nv,3,blocked,float,256,128,128,32,0.3931,0.3923,0.0011,1820.99,8.003e-10,0,0,0
nv,4,vendor,float,256,128,128,32,0.2251,0.2249,0.0004,3179.51,4.309e-10,0,0,0
nv,4,blocked,float,256,128,128,32,0.3924,0.3918,0.0007,1824.19,8.003e-10,0,0,0
nv,5,vendor,float,256,128,128,32,0.2251,0.2249,0.0004,3179.83,4.309e-10,0,0,0
nv,5,blocked,float,256,128,128,32,0.3938,0.3908,0.0038,1817.80,8.003e-10,0,0,0
vn,1,vendor,float,256,128,128,32,0.2254,0.2242,0.0027,3176.04,4.309e-10,0,0,0
vn,1,blocked,float,256,128,128,32,0.3462,0.3446,0.0022,2067.93,8.003e-10,0,0,0
vn,2,vendor,float,256,128,128,32,0.2255,0.2253,0.0005,3174.29,4.309e-10,0,0,0
vn,2,blocked,float,256,128,128,32,0.3462,0.3443,0.0027,2067.73,8.003e-10,0,0,0
vn,3,vendor,float,256,128,128,32,0.2258,0.2252,0.0013,3169.85,4.309e-10,0,0,0
vn,3,blocked,float,256,128,128,32,0.3459,0.3451,0.0012,2069.24,8.003e-10,0,0,0
vn,4,vendor,float,256,128,128,32,0.2257,0.2254,0.0005,3172.26,4.309e-10,0,0,0
vn,4,blocked,float,256,128,128,32,0.3457,0.3444,0.0019,2070.63,8.003e-10,0,0,0
vn,5,vendor,float,256,128,128,32,0.2259,0.2256,0.0007,3168.70,4.309e-10,0,0,0
vn,5,blocked,float,256,128,128,32,0.3460,0.3452,0.0011,2069.15,8.003e-10,0,0,0
nn,1,vendor,float,256,128,128,32,0.2243,0.2241,0.0004,3191.91,4.309e-10,0,0,0
nn,1,blocked,float,256,128,128,32,0.3913,0.3912,0.0002,1829.28,8.003e-10,0,0,0
nn,2,vendor,float,256,128,128,32,0.2249,0.2249,0.0001,3182.74,4.309e-10,0,0,0
nn,2,blocked,float,256,128,128,32,0.3933,0.3910,0.0030,1820.16,8.003e-10,0,0,0
nn,3,vendor,float,256,128,128,32,0.2217,0.2216,0.0001,3228.67,4.309e-10,0,0,0
