cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
def,vendor,float,128,512,128,32,0.1397,0.1395,0.0010,2561.43,1.844e-09,0,0,0
def,blocked,float,128,512,128,32,0.3003,0.3001,0.0019,1191.95,1.844e-09,0,0,0
def,cta,float,128,512,128,32,0.2927,0.2925,0.0005,1222.85,1.844e-09,0,0,0
nn,vendor,float,128,512,128,32,0.1445,0.1396,0.1048,2476.31,1.844e-09,0,0,0
nn,blocked,float,128,512,128,32,0.3233,0.3004,0.0670,1107.12,1.844e-09,0,0,0
nn,cta,float,128,512,128,32,0.2934,0.2928,0.0177,1219.93,1.844e-09,0,0,0
VV,vendor,float,128,512,128,32,0.1402,0.1394,0.0042,2552.92,1.844e-09,0,0,0
VV,blocked,float,128,512,128,32,0.3006,0.3004,0.0019,1190.76,1.844e-09,0,0,0
VV,cta,float,128,512,128,32,0.2929,0.2925,0.0009,1221.93,1.844e-09,0,0,0
def,vendor,float,128,2048,128,32,0.4642,0.4635,0.0012,3084.08,9.313e-10,0,0,0
def,blocked,float,128,2048,128,32,1.4588,1.4580,0.0005,981.42,9.313e-10,0,0,0
def,cta,float,128,2048,128,32,1.4503,1.4498,0.0002,987.14,9.313e-10,0,0,0
nn,vendor,float,128,2048,128,32,0.4668,0.4660,0.0150,3067.23,9.313e-10,0,0,0
nn,blocked,float,128,2048,128,32,1.4630,1.4627,0.0041,978.56,9.313e-10,0,0,0
nn,cta,float,128,2048,128,32,1.4559,1.4555,0.0014,983.33,9.313e-10,0,0,0
VV,vendor,float,128,2048,128,32,0.4751,0.4653,0.0742,3013.26,9.313e-10,0,0,0
VV,blocked,float,128,2048,128,32,1.4636,1.4623,0.0244,978.19,9.313e-10,0,0,0
VV,cta,float,128,2048,128,32,1.4537,1.4533,0.0012,984.80,9.313e-10,0,0,0
def,vendor,float,256,256,128,32,0.3366,0.3359,0.0015,4253.26,4.657e-10,0,0,0
def,blocked,float,256,256,128,32,0.6282,0.6271,0.0019,2278.92,2.329e-10,0,0,0
nn,vendor,float,256,256,128,32,0.3357,0.3349,0.0023,4265.20,4.657e-10,0,0,0
nn,blocked,float,256,256,128,32,0.7032,0.7014,0.0018,2035.87,2.329e-10,0,0,0
VV,vendor,float,256,256,128,32,0.3353,0.3348,0.0011,4269.93,4.657e-10,0,0,0
VV,blocked,float,256,256,128,32,0.7142,0.7113,0.0019,2004.60,2.328e-10,0,0,0
def,vendor,float,256,1024,128,32,1.4221,1.4212,0.0008,4026.75,9.042e-10,0,0,0
def,blocked,float,256,1024,128,32,2.5319,2.5289,0.0005,2261.78,9.042e-10,0,0,39
nn,vendor,float,256,1024,128,32,1.4352,1.4312,0.0025,3990.22,9.042e-10,0,0,0
nn,blocked,float,256,1024,128,32,2.8238,2.8212,0.0008,2028.00,9.042e-10,0,0,28
VV,vendor,float,256,1024,128,32,1.4263,1.4243,0.0011,4015.15,9.042e-10,0,0,0
VV,blocked,float,256,1024,128,32,3.1273,3.1240,0.0009,1831.17,9.042e-10,0,0,0
def,vendor,float,512,128,128,32,0.9018,0.9000,0.0018,6350.23,4.312e-10,0,0,0
def,blocked,float,512,128,128,32,1.5462,1.5435,0.0010,3703.78,2.328e-10,0,0,0
nn,vendor,float,512,128,128,32,0.8963,0.8950,0.0013,6388.85,4.312e-10,0,0,0
nn,blocked,float,512,128,128,32,1.7109,1.7094,0.0009,3347.22,2.328e-10,0,0,0
VV,vendor,float,512,128,128,32,0.9020,0.9001,0.0013,6349.05,4.312e-10,0,0,0
VV,blocked,float,512,128,128,32,1.8590,1.8575,0.0022,3080.50,2.328e-10,0,0,0
def,vendor,float,512,512,128,32,4.7035,4.7023,0.0001,4870.08,2.328e-10,0,0,0
def,blocked,float,512,512,128,32,5.6235,5.6201,0.0020,4073.33,4.610e-10,0,0,47
nn,vendor,float,512,512,128,32,4.7171,4.7156,0.0011,4856.03,2.328e-10,0,0,0
nn,blocked,float,512,512,128,32,6.3669,6.3531,0.0015,3597.74,4.610e-10,0,0,53
VV,vendor,float,512,512,128,32,4.8159,4.8116,0.0011,4756.40,2.328e-10,0,0,0
VV,blocked,float,512,512,128,32,7.4116,7.3914,0.0050,3090.63,4.610e-10,0,0,0
def,vendor,float,1024,128,128,32,7.3358,7.3256,0.0013,6245.09,1.164e-10,0,0,0
def,blocked,float,1024,128,128,32,8.0651,7.6543,0.0222,5680.41,1.078e-10,0,0,1
nn,vendor,float,1024,128,128,32,7.3711,7.3689,0.0007,6215.19,1.164e-10,0,0,0
nn,blocked,float,1024,128,128,32,9.1070,9.1061,0.0012,5030.55,1.078e-10,0,0,14
