nb,rep,variant,type,n,batch,nbused,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
32,1,vendor,float,1024,256,32,32,17.5422,17.5380,0.0001,5223.17,1.164e-10,0,0,0
32,1,blocked,float,1024,256,32,32,40.7110,40.7048,0.0001,2250.64,1.164e-10,0,0,7
32,2,vendor,float,1024,256,32,32,17.4737,17.4597,0.0004,5243.66,1.164e-10,0,0,0
32,2,blocked,float,1024,256,32,32,40.6650,40.6286,0.0004,2253.19,1.164e-10,0,0,1
32,3,vendor,float,1024,256,32,32,17.5672,17.5635,0.0001,5215.74,1.164e-10,0,0,0
32,3,blocked,float,1024,256,32,32,40.8283,40.6321,0.0024,2244.18,1.164e-10,0,0,2
32,4,vendor,float,1024,256,32,32,17.8708,17.8553,0.0004,5127.13,1.164e-10,0,0,0
32,4,blocked,float,1024,256,32,32,41.5371,41.1008,0.0053,2205.88,1.164e-10,0,0,10
32,5,vendor,float,1024,256,32,32,17.7280,17.7278,0.0000,5168.43,1.164e-10,0,0,0
32,5,blocked,float,1024,256,32,32,40.7734,40.7254,0.0006,2247.20,1.164e-10,0,0,3
32,6,vendor,float,1024,256,32,32,17.5527,17.5423,0.0003,5220.06,1.164e-10,0,0,0
32,6,blocked,float,1024,256,32,32,40.9525,40.6363,0.0039,2237.37,1.164e-10,0,0,2
32,1,vendor,double,1024,256,32,32,79.9032,79.8100,0.0006,1146.71,2.168e-19,0,0,0
32,1,blocked,double,1024,256,32,32,86.0257,85.9898,0.0002,1065.10,3.253e-19,0,0,4
32,2,vendor,double,1024,256,32,32,79.8596,79.8566,0.0000,1147.34,2.168e-19,0,0,0
32,2,blocked,double,1024,256,32,32,85.8733,85.8308,0.0002,1066.99,2.168e-19,0,0,3
32,3,vendor,double,1024,256,32,32,79.9039,79.8519,0.0003,1146.70,2.168e-19,0,0,0
32,3,blocked,double,1024,256,32,32,85.8904,85.8488,0.0002,1066.78,2.168e-19,0,0,1
32,4,vendor,double,1024,256,32,32,79.8547,79.8447,0.0001,1147.41,2.168e-19,0,0,0
32,4,blocked,double,1024,256,32,32,85.8221,85.8160,0.0000,1067.63,4.337e-19,0,0,1
32,5,vendor,double,1024,256,32,32,79.9306,79.8980,0.0002,1146.32,2.168e-19,0,0,0
32,5,blocked,double,1024,256,32,32,86.1015,85.9186,0.0011,1064.16,2.168e-19,0,0,0
32,6,vendor,double,1024,256,32,32,79.8838,79.8750,0.0001,1146.99,2.168e-19,0,0,0
32,6,blocked,double,1024,256,32,32,85.8742,85.8386,0.0002,1066.98,2.168e-19,0,0,0
32,1,vendor,cfloat,1024,256,32,32,27.4211,27.3664,0.0010,13365.75,2.328e-10,0,0,0
32,1,blocked,cfloat,1024,256,32,32,65.9752,65.8091,0.0013,5555.18,1.164e-10,0,0,2
32,2,vendor,cfloat,1024,256,32,32,27.4829,27.4393,0.0008,13335.70,2.328e-10,0,0,0
32,2,blocked,cfloat,1024,256,32,32,65.8252,65.7510,0.0006,5567.83,1.164e-10,0,0,0
32,3,vendor,cfloat,1024,256,32,32,27.3003,27.2597,0.0007,13424.89,2.328e-10,0,0,0
32,3,blocked,cfloat,1024,256,32,32,65.5672,65.4209,0.0011,5589.75,1.164e-10,0,0,0
32,4,vendor,cfloat,1024,256,32,32,27.4924,27.4780,0.0003,13331.10,2.328e-10,0,0,0
