cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
novendor,blocked,float,128,512,128,32,0.3079,0.3024,0.0075,1162.39,1.844e-09,0,0,0
novendor,cta,float,128,512,128,32,0.2977,0.2947,0.0059,1202.17,1.844e-09,0,0,0
novendor,blocked,float,256,256,128,32,0.7037,0.7022,0.0012,2034.61,2.329e-10,0,0,0
novendor,blocked,float,512,128,128,32,1.7177,1.7136,0.0018,3333.80,2.328e-10,0,0,0
novendor,blocked,float,1024,128,128,32,9.1320,9.1219,0.0009,5016.73,1.078e-10,0,0,6
novendor,blocked,float,1024,256,128,32,17.2743,17.2687,0.0004,5304.17,1.510e-04,0,0,63
novendor,blocked,float,2048,64,128,32,30.0615,30.0055,0.1188,6095.89,5.821e-11,0,0,15
novendor,blocked,double,128,512,96,32,1.1837,1.1807,1.1534,302.37,1.735e-18,0,0,0
novendor,blocked,double,256,256,96,32,2.1233,2.1220,0.0004,674.25,8.674e-19,0,0,0
novendor,blocked,double,512,128,96,32,6.0019,5.9922,0.0010,954.14,1.205e-18,0,0,1
novendor,blocked,double,1024,128,96,32,40.0579,40.0350,0.0010,1143.67,4.015e-19,0,0,2
novendor,blocked,double,1024,256,96,32,78.9288,78.8205,0.0021,1160.87,5.530e-01,0,0,18
novendor,blocked,double,2048,64,96,32,153.0467,152.5029,0.0017,1197.36,1.084e-19,0,0,7
novendor,blocked,cfloat,128,512,96,32,0.6067,0.6066,0.0007,2359.63,1.844e-09,0,0,0
novendor,blocked,cfloat,256,256,96,32,1.2867,1.2851,0.0051,4450.73,6.984e-10,0,0,0
novendor,blocked,cfloat,512,128,96,32,4.1133,4.0820,0.0087,5568.90,4.311e-10,0,0,1
novendor,blocked,cfloat,1024,128,96,32,28.2310,28.1651,0.0050,6491.15,3.234e-10,0,0,10
novendor,blocked,cfloat,1024,256,96,32,56.0006,55.7841,0.0053,6544.64,9.014e-02,0,0,30
novendor,blocked,cfloat,2048,64,96,32,111.3279,110.8087,0.0051,6584.22,1.039e-10,0,0,16
novendor,blocked,cdouble,128,512,64,16,4.4473,4.4433,0.0004,321.92,3.434e-18,0,0,0
novendor,blocked,cdouble,256,256,64,16,15.1260,15.1245,0.0002,378.59,8.674e-19,0,0,4
novendor,blocked,cdouble,512,128,64,16,60.4948,60.4201,0.0007,378.65,4.336e-19,0,0,2
novendor,blocked,cdouble,1024,128,64,16,478.6613,478.6102,0.0001,382.84,4.016e-19,0,0,25
novendor,blocked,cdouble,1024,256,64,16,952.1958,952.1159,0.0001,384.90,2.867e-02,0,0,41
novendor,blocked,cdouble,2048,64,64,16,1982.4559,1982.2105,0.0001,369.75,6.757e-02,0,0,36
