cfg,type,n,batch,ratio,med_ms,worst_info_nonzero,passes,reps_per_pass,source
VV,cfloat,1024,128,0.6486,18.5553,0,3,9,wins.csv
def,cfloat,1024,128,1.0227,11.8127,38,3,9,wins.csv
nn,cfloat,1024,128,0.4275,28.2070,18,3,9,wins.csv
VV,cfloat,1024,256,0.5619,48.6759,0,3,9,wins.csv
def,cfloat,1024,256,1.0749,25.6343,73,3,9,wins.csv
nn,cfloat,1024,256,0.4929,55.5863,33,3,9,wins.csv
VV,double,256,256,0.6771,2.6697,0,3,7,recheck.csv
def,double,256,256,0.8509,2.1233,0,3,7,recheck.csv
nn,double,256,256,0.8512,2.1229,0,3,7,recheck.csv
VV,double,512,128,0.7499,7.9675,0,3,7,recheck.csv
def,double,512,128,0.9959,6.0051,0,3,7,recheck.csv
nn,double,512,128,0.9957,6.0081,0,3,7,recheck.csv
VV,double,512,512,0.7350,30.7874,0,3,9,wins.csv
def,double,512,512,0.9798,23.1328,81,3,9,wins.csv
nn,double,512,512,0.9797,23.1263,83,3,9,wins.csv
VV,double,1024,128,0.7935,50.7191,0,3,9,wins.csv
def,double,1024,128,1.0073,40.0192,4,3,9,wins.csv
nn,double,1024,128,1.0056,40.0603,4,3,9,wins.csv
VV,double,1024,256,0.7980,99.8934,0,3,9,wins.csv
def,double,1024,256,1.0123,78.7849,20,3,9,wins.csv
nn,double,1024,256,1.0126,78.7564,24,3,9,wins.csv
VV,double,2048,32,0.6850,114.2439,0,3,7,recheck.csv
def,double,2048,32,0.7270,107.6462,0,3,7,recheck.csv
nn,double,2048,32,0.9761,80.3007,0,3,7,recheck.csv
VV,float,128,512,0.4652,0.3019,0,3,7,recheck.csv
def,float,128,512,0.4634,0.3017,0,3,7,recheck.csv
nn,float,128,512,0.4658,0.3019,0,3,7,recheck.csv
VV,float,1024,256,0.8870,19.8097,0,3,9,wins.csv
def,float,1024,256,1.1177,15.9369,31,3,9,wins.csv
nn,float,1024,256,1.0170,17.2566,69,3,9,wins.csv
