pass,cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
1,def,vendor,double,256,256,96,32,1.8057,1.8039,0.0005,792.85,8.674e-19,0,0,0
1,def,blocked,double,256,256,96,32,2.1233,2.1218,0.0004,674.27,8.674e-19,0,0,0
1,nn,vendor,double,256,256,96,32,1.8070,1.8035,0.0015,792.30,8.674e-19,0,0,0
1,nn,blocked,double,256,256,96,32,2.1229,2.1194,0.0010,674.39,8.674e-19,0,0,0
1,VV,vendor,double,256,256,96,32,1.8069,1.8050,0.0005,792.31,8.674e-19,0,0,0
1,VV,blocked,double,256,256,96,32,2.6693,2.6638,0.0011,536.34,8.674e-19,0,0,0
1,def,vendor,double,512,128,96,32,5.9572,5.9550,0.0014,961.30,4.337e-19,0,0,0
1,def,blocked,double,512,128,96,32,6.0011,5.9989,0.0002,954.27,1.205e-18,0,0,0
1,nn,vendor,double,512,128,96,32,5.9810,5.9640,0.0013,957.48,4.337e-19,0,0,0
1,nn,blocked,double,512,128,96,32,6.0071,6.0040,0.0007,953.30,1.205e-18,0,0,0
1,VV,vendor,double,512,128,96,32,5.9601,5.9444,0.0019,960.82,4.337e-19,0,0,0
1,VV,blocked,double,512,128,96,32,7.9459,7.9431,0.0004,720.70,1.205e-18,0,0,0
1,def,vendor,float,128,512,128,32,0.1393,0.1389,0.0019,2569.82,1.844e-09,0,0,0
1,def,blocked,float,128,512,128,32,0.3006,0.3001,0.0023,1190.84,1.844e-09,0,0,0
1,def,cta,float,128,512,128,32,0.2930,0.2928,0.0007,1221.38,1.844e-09,0,0,0
1,nn,vendor,float,128,512,128,32,0.1401,0.1396,0.0019,2554.56,1.844e-09,0,0,0
1,nn,blocked,float,128,512,128,32,0.3008,0.3003,0.0024,1189.88,1.844e-09,0,0,0
1,nn,cta,float,128,512,128,32,0.2930,0.2927,0.0010,1221.67,1.844e-09,0,0,0
1,VV,vendor,float,128,512,128,32,0.1399,0.1394,0.0049,2558.81,1.844e-09,0,0,0
1,VV,blocked,float,128,512,128,32,0.3007,0.3004,0.0023,1190.46,1.844e-09,0,0,0
1,VV,cta,float,128,512,128,32,0.2928,0.2927,0.0008,1222.42,1.844e-09,0,0,0
1,def,vendor,double,2048,32,96,32,78.1013,78.0759,0.0002,1173.17,1.902e-19,0,0,0
1,def,blocked,double,2048,32,96,32,107.2246,107.1981,0.0012,854.52,1.902e-19,0,0,0
1,nn,vendor,double,2048,32,96,32,78.3958,78.3733,0.0002,1168.76,1.902e-19,0,0,0
1,nn,blocked,double,2048,32,96,32,80.3007,80.2727,0.0048,1141.04,1.902e-19,0,0,0
1,VV,vendor,double,2048,32,96,32,78.2342,78.2097,0.0002,1171.18,1.902e-19,0,0,0
1,VV,blocked,double,2048,32,96,32,114.1829,114.1568,0.0007,802.45,1.902e-19,0,0,0
2,def,vendor,double,256,256,96,32,1.8052,1.8038,0.0006,793.09,8.674e-19,0,0,0
2,def,blocked,double,256,256,96,32,2.1214,2.1182,0.0006,674.88,8.674e-19,0,0,0
2,nn,vendor,double,256,256,96,32,1.8065,1.8055,0.0011,792.52,8.674e-19,0,0,0
2,nn,blocked,double,256,256,96,32,2.1201,2.1183,0.0004,675.29,8.674e-19,0,0,0
2,VV,vendor,double,256,256,96,32,1.8079,1.8071,0.0004,791.90,8.674e-19,0,0,0
