pass,cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
1,def,vendor,double,1024,128,96,32,40.2549,40.2242,0.0004,1138.07,4.015e-19,0,0,0
1,def,blocked,double,1024,128,96,32,39.7945,39.6139,0.0045,1151.24,4.015e-19,0,0,4
1,nn,vendor,double,1024,128,96,32,40.2710,40.2373,0.0005,1137.62,4.015e-19,0,0,0
1,nn,blocked,double,1024,128,96,32,40.0603,39.6749,0.0030,1143.60,4.015e-19,0,0,4
1,VV,vendor,double,1024,128,96,32,40.0852,40.0620,0.0004,1142.89,4.015e-19,0,0,0
1,VV,blocked,double,1024,128,96,32,50.5165,50.4986,0.0002,906.89,4.015e-19,0,0,0
1,def,vendor,double,1024,256,96,32,79.6859,79.6647,0.0003,1149.84,2.168e-19,0,0,0
1,def,blocked,double,1024,256,96,32,78.7215,78.5960,0.0014,1163.93,2.168e-19,0,0,17
1,nn,vendor,double,1024,256,96,32,79.6885,79.6782,0.0001,1149.80,2.168e-19,0,0,0
1,nn,blocked,double,1024,256,96,32,78.7233,78.6752,0.0009,1163.90,1.982e+00,0,0,24
1,VV,vendor,double,1024,256,96,32,79.4611,79.4125,0.0003,1153.09,2.168e-19,0,0,0
1,VV,blocked,double,1024,256,96,32,99.4949,99.4746,0.0001,920.91,2.168e-19,0,0,0
1,def,vendor,float,1024,256,128,32,17.8172,17.7999,0.0005,5142.56,1.164e-10,0,0,0
1,def,blocked,float,1024,256,128,32,15.8560,15.7169,0.0038,5778.63,5.821e-11,0,0,31
1,nn,vendor,float,1024,256,128,32,17.5277,17.5181,0.0003,5227.50,1.164e-10,0,0,0
1,nn,blocked,float,1024,256,128,32,17.2345,17.2096,0.0006,5316.42,9.756e-04,0,0,69
1,VV,vendor,float,1024,256,128,32,17.6077,17.6005,0.0002,5203.74,1.164e-10,0,0,0
1,VV,blocked,float,1024,256,128,32,19.7348,19.6024,0.0029,4642.87,5.821e-11,0,0,0
1,def,vendor,cfloat,1024,128,96,32,12.1071,12.0893,0.0008,15135.92,2.328e-10,0,0,0
1,def,blocked,cfloat,1024,128,96,32,11.7787,11.7350,0.0021,15557.95,2.133e+05,0,0,34
1,nn,vendor,cfloat,1024,128,96,32,12.0476,12.0207,0.0014,15210.61,2.328e-10,0,0,0
1,nn,blocked,cfloat,1024,128,96,32,28.1840,28.0020,0.0041,6501.99,6.034e-01,0,0,9
1,VV,vendor,cfloat,1024,128,96,32,12.0345,12.0167,0.0007,15227.28,2.328e-10,0,0,0
1,VV,blocked,cfloat,1024,128,96,32,18.5552,18.5262,0.0032,9876.05,3.234e-10,0,0,0
1,def,vendor,cfloat,1024,256,96,32,27.5545,27.5407,0.0004,13301.06,2.328e-10,0,0,0
1,def,blocked,cfloat,1024,256,96,32,25.6343,25.6208,0.0007,14297.39,9.002e+05,0,0,60
1,nn,vendor,cfloat,1024,256,96,32,27.3815,27.3691,0.0006,13385.07,2.328e-10,0,0,0
1,nn,blocked,cfloat,1024,256,96,32,55.5476,55.1946,0.0038,6598.01,5.429e+00,0,0,21
1,VV,vendor,cfloat,1024,256,96,32,27.3154,27.2996,0.0003,13417.50,2.328e-10,0,0,0
1,VV,blocked,cfloat,1024,256,96,32,48.8682,48.7439,0.0031,7499.85,5.821e-11,0,0,0
1,def,vendor,double,512,512,96,32,22.6359,22.6300,0.0002,1011.96,8.587e-19,0,0,0
1,def,blocked,double,512,512,96,32,23.1078,23.0998,0.0002,991.29,8.588e-19,0,0,69
1,nn,vendor,double,512,512,96,32,22.6567,22.6505,0.0003,1011.02,8.587e-19,0,0,0
1,nn,blocked,double,512,512,96,32,23.1263,23.1237,0.0005,990.49,2.416e+03,0,0,83
1,VV,vendor,double,512,512,96,32,22.6486,22.6455,0.0002,1011.39,8.587e-19,0,0,0
1,VV,blocked,double,512,512,96,32,30.7874,30.7823,0.0005,744.02,8.588e-19,0,0,0
2,def,vendor,double,1024,128,96,32,40.3122,40.2788,0.0004,1136.46,4.015e-19,0,0,0
2,def,blocked,double,1024,128,96,32,40.0192,39.7759,0.0027,1144.77,4.015e-19,0,0,3
