build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendor,G1,float,256,24,0,2048,24,232,256,0.8070,0.0006,7234.56
vendorfree,G1,float,256,24,0,2048,24,232,256,1.9990,0.0003,2920.71
vendor,G3,float,256,24,0,2048,256,232,24,1.1797,0.0011,4949.01
vendorfree,G3,float,256,24,0,2048,256,232,24,1.1709,0.0029,4986.26
vendor,G1,float,256,24,128,2048,24,104,128,0.2195,0.0020,5960.69
vendorfree,G1,float,256,24,128,2048,24,104,128,0.4787,0.0004,2733.53
vendor,G3,float,256,24,128,2048,128,104,24,0.3045,0.0019,4297.20
vendorfree,G3,float,256,24,128,2048,128,104,24,0.2972,0.0025,4402.55
vendor,G1,float,512,48,0,512,48,464,512,0.8627,0.0003,13535.56
vendorfree,G1,float,512,48,0,512,48,464,512,2.9156,0.0077,4004.93
vendor,G3,float,512,48,0,512,512,464,48,1.1738,0.0018,9948.19
vendorfree,G3,float,512,48,0,512,512,464,48,1.1774,0.0010,9917.87
vendor,G1,float,512,48,256,512,48,208,256,0.2164,0.0013,12097.22
vendorfree,G1,float,512,48,256,512,48,208,256,0.6704,0.0006,3903.97
vendor,G3,float,512,48,256,512,256,208,48,0.2995,0.0035,8739.53
vendorfree,G3,float,512,48,256,512,256,208,48,0.3004,0.0032,8713.52
vendor,G1,float,1024,56,0,128,56,968,1024,0.8920,0.0004,15931.65
vendorfree,G1,float,1024,56,0,128,56,968,1024,4.0369,0.0001,3520.10
vendor,G3,float,1024,56,0,128,1024,968,56,1.1791,0.0013,12051.35
vendorfree,G3,float,1024,56,0,128,1024,968,56,1.1852,0.0010,11989.49
vendor,G1,float,1024,56,512,128,56,456,512,0.2156,0.0010,15525.67
vendorfree,G1,float,1024,56,512,128,56,456,512,0.9722,0.0007,3442.66
vendor,G3,float,1024,56,512,128,512,456,56,0.2964,0.0027,11291.25
vendorfree,G3,float,1024,56,512,128,512,456,56,0.3091,0.0035,10826.81
vendor,G1,float,2048,56,0,32,56,1992,2048,0.8760,0.0015,16691.49
vendorfree,G1,float,2048,56,0,32,56,1992,2048,4.1400,0.0004,3531.73
vendor,G3,float,2048,56,0,32,2048,1992,56,1.1794,0.0008,12397.07
vendorfree,G3,float,2048,56,0,32,2048,1992,56,1.1988,0.0016,12196.42
vendor,G1,float,2048,56,1024,32,56,968,1024,0.2175,0.0014,16335.78
vendorfree,G1,float,2048,56,1024,32,56,968,1024,1.0154,0.0125,3498.57
vendor,G3,float,2048,56,1024,32,1024,968,56,0.2957,0.0013,12014.69
vendorfree,G3,float,2048,56,1024,32,1024,968,56,0.3180,0.0037,11171.38
vendor,G1,double,256,24,0,2048,24,232,256,5.8627,0.0001,995.87
vendorfree,G1,double,256,24,0,2048,24,232,256,5.8635,0.0001,995.74
vendor,G3,double,256,24,0,2048,256,232,24,4.8862,0.0001,1194.88
vendorfree,G3,double,256,24,0,2048,256,232,24,4.8862,0.0001,1194.90
vendor,G1,double,256,24,128,2048,24,104,128,1.3872,0.0003,943.33
vendorfree,G1,double,256,24,128,2048,24,104,128,1.3874,0.0005,943.25
vendor,G3,double,256,24,128,2048,128,104,24,1.1471,0.0010,1140.80
vendorfree,G3,double,256,24,128,2048,128,104,24,1.1471,0.0003,1140.81
vendor,G1,double,512,48,0,512,48,464,512,8.4901,0.0001,1375.35
vendorfree,G1,double,512,48,0,512,48,464,512,8.4889,0.0001,1375.56
vendor,G3,double,512,48,0,512,512,464,48,8.9493,0.0001,1304.79
