== PART 1: trailing GEMM pair vs nb, vendor-free build, N=1024 b=128 ==
build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendorfree,G1,float,1024,8,0,128,8,1016,1024,1.1422,0.0002,1865.40
vendorfree,G3,float,1024,8,0,128,1024,1016,8,1.1802,0.0001,1805.34
vendorfree,G1,float,1024,8,512,128,8,504,512,0.3015,0.0056,1752.90
vendorfree,G3,float,1024,8,512,128,512,504,8,0.3047,0.0027,1734.51
vendorfree,G1,float,1024,16,0,128,16,1008,1024,1.1526,0.0015,3668.03
vendorfree,G3,float,1024,16,0,128,1024,1008,16,1.1792,0.0007,3585.33
vendorfree,G1,float,1024,16,512,128,16,496,512,0.3125,0.0359,3328.12
vendorfree,G3,float,1024,16,512,128,512,496,16,0.3064,0.0011,3394.82
vendorfree,G1,float,1024,24,0,128,24,1000,1024,2.0357,0.0005,3090.55
vendorfree,G3,float,1024,24,0,128,1024,1000,24,1.1791,0.0005,5335.74
vendorfree,G1,float,1024,24,512,128,24,488,512,0.5101,0.0007,3009.25
vendorfree,G3,float,1024,24,512,128,512,488,24,0.3061,0.0026,5015.72
vendorfree,G1,float,1024,32,0,128,32,992,1024,2.0168,0.0004,4126.01
vendorfree,G3,float,1024,32,0,128,1024,992,32,1.1769,0.0011,7070.57
vendorfree,G1,float,1024,32,512,128,32,480,512,0.5028,0.0038,4003.88
vendorfree,G3,float,1024,32,512,128,512,480,32,0.3064,0.0006,6570.80
vendorfree,G1,float,1024,48,0,128,48,976,1024,2.9256,0.0011,4197.68
vendorfree,G3,float,1024,48,0,128,1024,976,48,1.1803,0.0017,10404.52
vendorfree,G1,float,1024,48,512,128,48,464,512,0.7123,0.0023,4098.59
vendorfree,G3,float,1024,48,512,128,512,464,48,0.3073,0.0034,9498.45
vendorfree,G1,float,1024,56,0,128,56,968,1024,3.8811,0.0001,3661.41
vendorfree,G3,float,1024,56,0,128,1024,968,56,1.1840,0.0015,12001.72
vendorfree,G1,float,1024,56,512,128,56,456,512,0.9365,0.0019,3573.92
vendorfree,G3,float,1024,56,512,128,512,456,56,0.3097,0.0024,10806.01
vendorfree,G1,float,1024,64,0,128,64,960,1024,3.8377,0.0002,4196.80
vendorfree,G3,float,1024,64,0,128,1024,960,64,1.1814,0.0009,13633.32
vendorfree,G1,float,1024,64,512,128,64,448,512,0.9143,0.0018,4110.42
vendorfree,G3,float,1024,64,512,128,512,448,64,0.3083,0.0043,12189.03
vendorfree,G1,float,1024,96,0,128,96,928,1024,5.5258,0.0001,4226.31
vendorfree,G3,float,1024,96,0,128,1024,928,96,1.2474,0.0006,18722.71
vendorfree,G1,float,1024,96,512,128,96,416,512,1.2621,0.0008,4147.60
vendorfree,G3,float,1024,96,512,128,512,416,96,0.3241,0.0022,16148.36
vendorfree,G1,float,1024,128,0,128,128,896,1024,1.9472,0.0038,15440.10
vendorfree,G3,float,1024,128,0,128,1024,896,128,1.2332,0.0051,24379.24
vendorfree,G1,float,1024,128,512,128,128,384,512,0.4631,0.0057,13910.34
vendorfree,G3,float,1024,128,512,128,512,384,128,0.3100,0.0030,20779.22
vendorfree,G1,double,1024,8,0,128,8,1016,1024,3.1120,0.0002,684.67
vendorfree,G3,double,1024,8,0,128,1024,1016,8,2.7438,0.0003,776.55
vendorfree,G1,double,1024,8,512,128,8,504,512,0.7895,0.0016,669.38
vendorfree,G3,double,1024,8,512,128,512,504,8,0.7092,0.0008,745.21
vendorfree,G1,double,1024,16,0,128,16,1008,1024,3.0793,0.0001,1373.01
vendorfree,G3,double,1024,16,0,128,1024,1008,16,3.6034,0.0001,1173.30
vendorfree,G1,double,1024,16,512,128,16,496,512,0.7693,0.0011,1352.11
vendorfree,G3,double,1024,16,512,128,512,496,16,0.8995,0.0001,1156.36
vendorfree,G1,double,1024,24,0,128,24,1000,1024,6.0990,0.0001,1031.55
vendorfree,G3,double,1024,24,0,128,1024,1000,24,5.1278,0.0000,1226.93
vendorfree,G1,double,1024,24,512,128,24,488,512,1.5176,0.0003,1011.51
vendorfree,G3,double,1024,24,512,128,512,488,24,1.2643,0.0001,1214.16
vendorfree,G1,double,1024,32,0,128,32,992,1024,6.0205,0.0000,1382.20
vendorfree,G3,double,1024,32,0,128,1024,992,32,6.5586,0.0001,1268.79
vendorfree,G1,double,1024,32,512,128,32,480,512,1.4723,0.0004,1367.39
vendorfree,G3,double,1024,32,512,128,512,480,32,1.5939,0.0002,1263.09
vendorfree,G1,double,1024,48,0,128,48,976,1024,8.8944,0.0001,1380.75
vendorfree,G3,double,1024,48,0,128,1024,976,48,9.4014,0.0001,1306.29
vendorfree,G1,double,1024,48,512,128,48,464,512,2.1443,0.0163,1361.42
vendorfree,G3,double,1024,48,512,128,512,464,48,2.2415,0.0001,1302.37
vendorfree,G1,double,1024,56,0,128,56,968,1024,11.8483,0.0001,1199.36
vendorfree,G3,double,1024,56,0,128,1024,968,56,10.9395,0.0000,1298.99
vendorfree,G1,double,1024,56,512,128,56,456,512,2.8253,0.0004,1184.66
vendorfree,G3,double,1024,56,512,128,512,456,56,2.6074,0.0016,1283.66
