build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
vendor,G1,float,1024,56,0,128,56,968,1024,0.7720,0.0004,18408.01
vendorfree,G1,float,1024,56,0,128,56,968,1024,3.8422,0.0023,3698.44
vendor,G3,float,1024,56,0,128,1024,968,56,1.1848,0.0033,11994.14
vendorfree,G3,float,1024,56,0,128,1024,968,56,1.1874,0.0027,11967.20
vendor,G1,float,1024,56,56,128,56,912,968,0.7154,0.0049,17690.38
vendorfree,G1,float,1024,56,56,128,56,912,968,3.4194,0.0009,3701.24
vendor,G3,float,1024,56,56,128,968,912,56,1.0884,0.0007,11628.57
vendorfree,G3,float,1024,56,56,128,968,912,56,1.1471,0.0016,11033.55
vendor,G1,float,1024,56,112,128,56,856,912,0.6061,0.0009,18466.50
vendorfree,G1,float,1024,56,112,128,56,856,912,3.0734,0.0002,3641.46
vendor,G3,float,1024,56,112,128,912,856,56,0.9760,0.0020,11467.30
vendorfree,G3,float,1024,56,112,128,912,856,56,1.0302,0.0023,10863.15
vendor,G1,float,1024,56,168,128,56,800,856,0.5525,0.0012,17768.60
vendorfree,G1,float,1024,56,168,128,56,800,856,2.6862,0.0004,3654.69
vendor,G3,float,1024,56,168,128,856,800,56,0.8530,0.0011,11509.27
vendorfree,G3,float,1024,56,168,128,856,800,56,0.8879,0.0023,11057.15
vendor,G1,float,1024,56,224,128,56,744,800,0.4628,0.0007,18437.31
vendorfree,G1,float,1024,56,224,128,56,744,800,2.3352,0.0002,3654.04
vendor,G3,float,1024,56,224,128,800,744,56,0.7430,0.0012,11484.99
vendorfree,G3,float,1024,56,224,128,800,744,56,0.7607,0.0119,11217.74
vendor,G1,float,1024,56,280,128,56,688,744,0.3919,0.0881,18722.80
vendorfree,G1,float,1024,56,280,128,56,688,744,2.0094,0.0024,3651.93
vendor,G3,float,1024,56,280,128,744,688,56,0.6498,0.0010,11292.40
vendorfree,G3,float,1024,56,280,128,744,688,56,0.6656,0.0039,11024.22
vendor,G1,float,1024,56,336,128,56,632,688,0.3440,0.0006,18119.02
vendorfree,G1,float,1024,56,336,128,56,632,688,1.7158,0.0004,3633.05
