shape,type,m,n,k,batch,transA,vendor,route
G1_N256_nb24_j0,float,24,232,256,2048,T,vendor_present,Vendor:Auto
G1_N256_nb24_j0,float,24,232,256,2048,T,vendor_free,Native:RegisterTiled
G3_N256_nb24_j0,float,256,232,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j0,float,256,232,24,2048,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j120,float,24,112,136,2048,T,vendor_present,Vendor:Auto
G1_N256_nb24_j120,float,24,112,136,2048,T,vendor_free,Native:RegisterTiled
G3_N256_nb24_j120,float,136,112,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j120,float,136,112,24,2048,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j216,float,24,16,40,2048,T,vendor_present,Vendor:Auto
G1_N256_nb24_j216,float,24,16,40,2048,T,vendor_free,Native:RegisterTiled
G3_N256_nb24_j216,float,40,16,24,2048,N,vendor_present,Vendor:Auto
G3_N256_nb24_j216,float,40,16,24,2048,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j0,float,48,464,512,512,T,vendor_present,Vendor:Auto
G1_N512_nb48_j0,float,48,464,512,512,T,vendor_free,Native:RegisterTiled
G3_N512_nb48_j0,float,512,464,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j0,float,512,464,48,512,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j240,float,48,224,272,512,T,vendor_present,Vendor:Auto
G1_N512_nb48_j240,float,48,224,272,512,T,vendor_free,Native:RegisterTiled
G3_N512_nb48_j240,float,272,224,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j240,float,272,224,48,512,N,vendor_free,Native:RegisterTiled
G1_N512_nb48_j432,float,48,32,80,512,T,vendor_present,Vendor:Auto
G1_N512_nb48_j432,float,48,32,80,512,T,vendor_free,Native:RegisterTiled
G3_N512_nb48_j432,float,80,32,48,512,N,vendor_present,Vendor:Auto
G3_N512_nb48_j432,float,80,32,48,512,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j0,float,56,968,1024,128,T,vendor_present,Vendor:Auto
G1_N1024_nb56_j0,float,56,968,1024,128,T,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j0,float,1024,968,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j0,float,1024,968,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j504,float,56,464,520,128,T,vendor_present,Vendor:Auto
G1_N1024_nb56_j504,float,56,464,520,128,T,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j504,float,520,464,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j504,float,520,464,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j952,float,56,16,72,128,T,vendor_present,Vendor:Auto
G1_N1024_nb56_j952,float,56,16,72,128,T,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j952,float,72,16,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j952,float,72,16,56,128,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j0,float,56,1992,2048,32,T,vendor_present,Vendor:Auto
G1_N2048_nb56_j0,float,56,1992,2048,32,T,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j0,float,2048,1992,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j0,float,2048,1992,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1008,float,56,984,1040,32,T,vendor_present,Vendor:Auto
G1_N2048_nb56_j1008,float,56,984,1040,32,T,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1008,float,1040,984,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1008,float,1040,984,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1960,float,56,32,88,32,T,vendor_present,Vendor:Auto
G1_N2048_nb56_j1960,float,56,32,88,32,T,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1960,float,88,32,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1960,float,88,32,56,32,N,vendor_free,Native:RegisterTiled
G1_N256_nb24_j0,double,24,232,256,2048,T,vendor_present,Native:RegisterTiled
G1_N256_nb24_j0,double,24,232,256,2048,T,vendor_free,Native:RegisterTiled
G3_N256_nb24_j0,double,256,232,24,2048,N,vendor_present,Native:RegisterTiled
G3_N256_nb24_j0,double,256,232,24,2048,N,vendor_free,Native:RegisterTiled
