op,type,n,batch,med_ms,mean_ms,rel_sd,GFLOPs,...
geqrf,float,256,32,32.5949,32.5986,0.0006,21.96,3.857e-07,1024
geqrf,float,256,64,32.4911,32.4721,0.0011,44.06,4.036e-07,1024
geqrf,float,256,128,32.5455,32.5798,0.0022,87.98,3.857e-07,1536
geqrf,float,256,256,37.5015,37.4851,0.0006,152.70,4.805e-07,3072
geqrf,float,256,512,50.8617,50.8683,0.0002,225.18,4.060e-07,6144
geqrf,float,256,1024,73.9779,73.9767,0.0009,309.64,3.857e-07,12288
geqrf,float,256,2048,121.5448,121.5301,0.0006,376.92,3.857e-07,24576
geqrf,float,256,4096,242.1314,242.2161,0.0006,378.41,3.857e-07,49152
geqrf,float,1024,8,1198.0819,1198.1388,0.0001,9.56,6.388e-07,1024
geqrf,float,1024,16,1292.4892,1294.9627,0.0030,17.72,6.388e-07,1024
geqrf,float,1024,32,1748.9149,1748.8863,0.0000,26.20,6.388e-07,1024
geqrf,float,1024,64,1969.6170,1969.5717,0.0001,46.52,6.388e-07,1024
geqrf,float,1024,128,2109.0028,2109.0146,0.0001,86.89,6.388e-07,1536
geqrf,float,1024,256,2274.5337,2274.5241,0.0000,161.13,6.670e-07,3072
synthI,float,256,32,1.5295,1.5293,0.0005,702.01,-1.000e+00,1.614e-06,-1.000e+00,2433024,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,64,1.5911,1.5911,0.0000,1349.67,-1.000e+00,1.614e-06,-1.000e+00,4866048,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,128,1.8572,1.8572,0.0003,2312.66,-1.000e+00,1.709e-06,-1.000e+00,9732096,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,256,2.6632,2.6637,0.0009,3225.36,-1.000e+00,1.614e-06,-1.000e+00,19464192,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,512,4.9833,4.9832,0.0003,3447.49,-1.000e+00,1.614e-06,-1.000e+00,38928384,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,1024,9.6394,9.6407,0.0005,3564.51,-1.000e+00,1.623e-06,-1.000e+00,77856768,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,2048,19.5525,19.5508,0.0003,3514.61,-1.000e+00,1.614e-06,-1.000e+00,155713536,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,256,4096,38.5288,38.5960,0.0048,3567.17,-1.000e+00,1.614e-06,-1.000e+00,311427072,route=1:3,nb=24,dQ=-1.000e+00
synthI,float,1024,8,19.6021,19.6032,0.0001,876.43,-1.000e+00,3.692e-06,-1.000e+00,5605376,route=1:3,nb=56,dQ=-1.000e+00
synthI,float,1024,16,20.1065,20.1083,0.0001,1708.88,-1.000e+00,3.455e-06,-1.000e+00,11210752,route=1:3,nb=56,dQ=-1.000e+00
synthI,float,1024,32,22.7340,22.7320,0.0002,3022.76,-1.000e+00,3.962e-06,-1.000e+00,22421504,route=1:3,nb=56,dQ=-1.000e+00
synthI,float,1024,64,28.8486,28.8479,0.0001,4764.15,-1.000e+00,3.455e-06,-1.000e+00,44843008,route=1:3,nb=56,dQ=-1.000e+00
synthI,float,1024,128,40.1866,40.1823,0.0002,6840.04,-1.000e+00,3.455e-06,-1.000e+00,89686016,route=1:3,nb=56,dQ=-1.000e+00
synthI,float,1024,256,66.0972,66.1747,0.0023,8317.39,-1.000e+00,3.455e-06,-1.000e+00,179372032,route=1:3,nb=56,dQ=-1.000e+00
geqrf,cdouble,256,32,130.1766,130.2104,0.0005,5.50,1.959e-15,1024
geqrf,cdouble,256,64,131.9737,132.0062,0.0004,10.85,2.473e-15,1024
geqrf,cdouble,256,128,138.9502,139.0002,0.0005,20.61,1.959e-15,1536
geqrf,cdouble,256,256,145.0891,145.0877,0.0003,39.47,2.831e-15,3072
geqrf,cdouble,256,512,162.6063,162.5861,0.0002,70.44,2.397e-15,6144
geqrf,cdouble,256,1024,219.1640,219.2324,0.0011,104.52,1.959e-15,12288
geqrf,cdouble,256,2048,435.5374,435.7083,0.0009,105.19,2.055e-15,24576
geqrf,cdouble,256,4096,985.4544,985.9462,0.0011,92.98,2.372e-15,49152
geqrf,cdouble,1024,8,5591.9270,5591.9179,0.0000,2.05,5.023e-15,1024
geqrf,cdouble,1024,16,5719.7648,5719.8215,0.0000,4.00,5.023e-15,1024
geqrf,cdouble,1024,32,5771.6306,5771.6946,0.0000,7.94,5.023e-15,1024
geqrf,cdouble,1024,64,5853.8069,5854.0293,0.0001,15.65,5.098e-15,1024
geqrf,cdouble,1024,128,5976.1565,5976.1307,0.0000,30.66,5.023e-15,1536
geqrf,cdouble,1024,256,6277.2450,6277.2353,0.0000,58.39,5.023e-15,3072
synthI,cdouble,256,32,14.3569,14.3568,0.0000,74.79,-1.000e+00,4.558e-15,-1.000e+00,9732096,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,64,20.6009,20.5984,0.0002,104.24,-1.000e+00,4.091e-15,-1.000e+00,19464192,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,128,33.0406,33.1007,0.0027,129.99,-1.000e+00,4.542e-15,-1.000e+00,38928384,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,256,60.9023,60.9099,0.0005,141.04,-1.000e+00,5.133e-15,-1.000e+00,77856768,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,512,117.9855,117.9863,0.0000,145.61,-1.000e+00,4.043e-15,-1.000e+00,155713536,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,1024,235.0029,235.0083,0.0001,146.21,-1.000e+00,4.230e-15,-1.000e+00,311427072,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,2048,470.7512,470.9151,0.0005,145.98,-1.000e+00,5.622e-15,-1.000e+00,622854144,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,256,4096,937.3185,936.3604,0.0015,146.63,-1.000e+00,4.559e-15,-1.000e+00,1245708288,route=1:3,nb=24,dQ=-1.000e+00
synthI,cdouble,1024,8,277.9100,277.9309,0.0001,61.82,-1.000e+00,9.094e-15,-1.000e+00,22421504,route=1:3,nb=56,dQ=-1.000e+00
synthI,cdouble,1024,16,351.2502,351.2482,0.0001,97.82,-1.000e+00,9.094e-15,-1.000e+00,44843008,route=1:3,nb=56,dQ=-1.000e+00
synthI,cdouble,1024,32,497.6038,497.6010,0.0000,138.10,-1.000e+00,9.286e-15,-1.000e+00,89686016,route=1:3,nb=56,dQ=-1.000e+00
synthI,cdouble,1024,64,787.3249,787.3223,0.0000,174.56,-1.000e+00,9.094e-15,-1.000e+00,179372032,route=1:3,nb=56,dQ=-1.000e+00
synthI,cdouble,1024,128,1378.4829,1378.4786,0.0000,199.41,-1.000e+00,9.094e-15,-1.000e+00,358744064,route=1:3,nb=56,dQ=-1.000e+00
synthI,cdouble,1024,256,2636.2790,2636.2555,0.0000,208.53,-1.000e+00,1.075e-14,-1.000e+00,717488128,route=1:3,nb=56,dQ=-1.000e+00
