op,type,n,batch,med_ms,mean_ms,rel_sd,GFLOPs,res,ws
geqrf,float,512,128,276.9590,276.9634,0.0005,82.71,4.310e-07,1536
geqrf,float,512,256,312.5407,312.6358,0.0005,146.58,4.324e-07,3072
geqrf,float,512,512,371.1015,371.1569,0.0003,246.90,5.034e-07,6144
geqrf,float,512,1024,557.1929,557.1450,0.0005,328.88,5.227e-07,12288
geqrf,float,512,2048,937.0533,937.3329,0.0007,391.12,5.019e-07,24576
geqrf,cdouble,512,128,884.6584,884.5885,0.0001,25.89,4.258e-15,1536
geqrf,cdouble,512,256,922.4423,922.3968,0.0001,49.66,4.258e-15,3072
geqrf,cdouble,512,512,1112.7532,1112.7375,0.0001,82.34,4.258e-15,6144
geqrf,cdouble,512,1024,1675.0183,1674.9758,0.0005,109.40,4.258e-15,12288
geqrf,float,2048,32,21361.0697,21361.3400,0.0000,17.16,8.438e-07,1024
geqrf,float,2048,64,21714.5506,21714.4670,0.0000,33.76,8.438e-07,1024
geqrf,float,2048,128,22255.2396,22255.3818,0.0000,65.87,8.438e-07,1536
geqrf,float,2048,256,23150.9941,23150.9778,0.0000,126.65,9.230e-07,3072
