which     type     N    j0  batch     m     n     k   vend_ms   free_ms  free/vend   vend_GF   free_GF
   G1    float   256     0   2048    24   232   256    0.8070    1.9990       2.48    7234.6    2920.7
   G3    float   256     0   2048   256   232    24    1.1797    1.1709       0.99    4949.0    4986.3
   G1    float   256   128   2048    24   104   128    0.2195    0.4787       2.18    5960.7    2733.5
   G3    float   256   128   2048   128   104    24    0.3045    0.2972       0.98    4297.2    4402.6
   G1    float   512     0    512    48   464   512    0.8627    2.9156       3.38   13535.6    4004.9
   G3    float   512     0    512   512   464    48    1.1738    1.1774       1.00    9948.2    9917.9
   G1    float   512   256    512    48   208   256    0.2164    0.6704       3.10   12097.2    3904.0
   G3    float   512   256    512   256   208    48    0.2995    0.3004       1.00    8739.5    8713.5
   G1    float  1024     0    128    56   968  1024    0.8920    4.0369       4.53   15931.6    3520.1
   G3    float  1024     0    128  1024   968    56    1.1791    1.1852       1.01   12051.4   11989.5
   G1    float  1024   512    128    56   456   512    0.2156    0.9722       4.51   15525.7    3442.7
   G3    float  1024   512    128   512   456    56    0.2964    0.3091       1.04   11291.2   10826.8
   G1    float  2048     0     32    56  1992  2048    0.8760    4.1400       4.73   16691.5    3531.7
   G3    float  2048     0     32  2048  1992    56    1.1794    1.1988       1.02   12397.1   12196.4
   G1    float  2048  1024     32    56   968  1024    0.2175    1.0154       4.67   16335.8    3498.6
   G3    float  2048  1024     32  1024   968    56    0.2957    0.3180       1.08   12014.7   11171.4
   G1   double   256     0   2048    24   232   256    5.8627    5.8635       1.00     995.9     995.7
   G3   double   256     0   2048   256   232    24    4.8862    4.8862       1.00    1194.9    1194.9
   G1   double   256   128   2048    24   104   128    1.3872    1.3874       1.00     943.3     943.2
   G3   double   256   128   2048   128   104    24    1.1471    1.1471       1.00    1140.8    1140.8
   G1   double   512     0    512    48   464   512    8.4901    8.4889       1.00    1375.3    1375.6
   G3   double   512     0    512   512   464    48    8.9493    8.9495       1.00    1304.8    1304.8
   G1   double   512   256    512    48   208   256    1.9216    1.9219       1.00    1362.0    1361.8
   G3   double   512   256    512   256   208    48    2.0126    2.0134       1.00    1300.5    1299.9
   G1   double  1024     0    128    56   968  1024   11.8566   11.8570       1.00    1198.5    1198.5
   G3   double  1024     0    128  1024   968    56   10.9569   10.9616       1.00    1296.9    1296.4
   G1   double  1024   512    128    56   456   512    2.8325    2.8346       1.00    1181.7    1180.8
   G3   double  1024   512    128   512   456    56    2.6110    2.6114       1.00    1281.9    1281.7
   G1   double  2048     0     32    56  1992  2048   13.8426   12.1472       0.88    1056.3    1203.7
   G3   double  2048     0     32  2048  1992    56   14.0747   11.2294       0.80    1038.8    1302.1
   G1   double  2048  1024     32    56   968  1024    3.4663    2.9795       0.86    1024.9    1192.3
   G3   double  2048  1024     32  1024   968    56    3.4727    2.7488       0.79    1023.0    1292.4
   G1   cfloat   256     0   2048    24   232   256    1.2927    4.3078       3.33   18065.7    5421.4
   G3   cfloat   256     0   2048   256   232    24    2.3315    4.3500       1.87   10016.8    5368.7
   G1   cfloat   256   128   2048    24   104   128    0.3572    1.0175       2.85   14655.0    5144.5
   G3   cfloat   256   128   2048   128   104    24    0.5908    1.0139       1.72    8860.7    5162.9
   G1   cfloat   512     0    512    48   464   512    1.8164    6.3397       3.49   25714.5    7367.5
   G3   cfloat   512     0    512   512   464    48    2.3309    2.3303       1.00   20038.6   20043.5
   G1   cfloat   512   256    512    48   208   256    0.4376    1.4461       3.30   23921.1    7239.6
   G3   cfloat   512   256    512   256   208    48    0.5855    0.5886       1.01   17879.6   17787.2
   G1   cfloat  1024     0    128    56   968  1024    1.8489    8.6476       4.68   30742.9    6573.1
   G3   cfloat  1024     0    128  1024   968    56    2.3705    2.3397       0.99   23978.9   24294.1
   G1   cfloat  1024   512    128    56   456   512    0.4616    2.0749       4.50   29003.4    6452.4
   G3   cfloat  1024   512    128   512   456    56    0.6008    0.6013       1.00   22282.9   22266.8
   G1   cfloat  2048     0     32    56  1992  2048    1.8600    8.8743       4.77   31443.4    6590.4
   G3   cfloat  2048     0     32  2048  1992    56    2.3520    2.3514       1.00   24866.6   24873.0
   G1   cfloat  2048  1024     32    56   968  1024    0.4625    2.1823       4.72   30726.8    6511.5
   G3   cfloat  2048  1024     32  1024   968    56    0.6300    0.6146       0.98   22556.8   23122.3
   G1  cdouble   256     0   2048    24   232   256   26.1326   81.8380       3.13     893.7     285.4
   G3  cdouble   256     0   2048   256   232    24   28.3342   65.0891       2.30     824.2     358.8
   G1  cdouble   256   128   2048    24   104   128    6.1258   19.1109       3.12     854.5     273.9
   G3  cdouble   256   128   2048   128   104    24    6.6043   15.1997       2.30     792.6     344.4
   G1  cdouble   512     0    512    48   464   512   50.0500  117.8926       2.36     933.2     396.2
   G3  cdouble   512     0    512   512   464    48   39.5967   39.0362       0.99    1179.6    1196.5
   G1  cdouble   512   256    512    48   208   256   11.2768   26.5245       2.35     928.4     394.7
   G3  cdouble   512   256    512   256   208    48    8.8980    9.6598       1.09    1176.5    1083.8
   G1  cdouble  1024     0    128    56   968  1024   52.5288  165.0593       3.14    1082.1     344.4
   G3  cdouble  1024     0    128  1024   968    56   54.7429   51.2446       0.94    1038.3    1109.2
   G1  cdouble  1024   512    128    56   456   512   12.5194   39.2983       3.14    1069.4     340.7
   G3  cdouble  1024   512    128   512   456    56   13.0252   12.8340       0.99    1027.9    1043.2
   G1  cdouble  2048     0     32    56  1992  2048   55.0091  168.9490       3.07    1063.2     346.2
   G3  cdouble  2048     0     32  2048  1992    56   56.0746   51.1695       0.91    1043.0    1143.0
   G1  cdouble  2048  1024     32    56   968  1024   13.7724   41.2727       3.00    1031.8     344.3
   G3  cdouble  2048  1024     32  1024   968    56   13.7008   12.8397       0.94    1037.2    1106.8
