build,which,type,N,nb,j0,kernels
v,G1,float,256,24,0,NOTRACE
v,G3,float,256,24,0,NOTRACE
v,G1,float,1024,56,0,NOTRACE
v,G3,float,1024,56,0,NOTRACE
v,G1,double,256,24,0,gemm_sycl_tiled16x8
v,G3,double,256,24,0,gemm_sycl_tiled16x2
v,G1,double,1024,56,0,gemm_sycl_tiled16x2
v,G3,double,1024,56,0,gemm_sycl_tiled16x2
v,G1,cfloat,256,24,0,NOTRACE
v,G3,cfloat,256,24,0,NOTRACE
v,G1,cfloat,1024,56,0,NOTRACE
v,G3,cfloat,1024,56,0,NOTRACE
v,G1,cdouble,256,24,0,NOTRACE
v,G3,cdouble,256,24,0,NOTRACE
v,G1,cdouble,1024,56,0,NOTRACE
v,G3,cdouble,1024,56,0,NOTRACE
nv,G1,float,256,24,0,gemm_sycl_tiled16x65
nv,G3,float,256,24,0,gemm_sycl_register_128x128_k8x106
nv,G1,float,1024,56,0,gemm_sycl_tiled16x2
nv,G3,float,1024,56,0,gemm_sycl_register_128x128_k8x2
nv,G1,double,256,24,0,gemm_sycl_tiled16x9
nv,G3,double,256,24,0,gemm_sycl_tiled16x5
nv,G1,double,1024,56,0,gemm_sycl_tiled16x2
nv,G3,double,1024,56,0,gemm_sycl_tiled16x2
nv,G1,cfloat,256,24,0,gemm_sycl_tiled16x16
nv,G3,cfloat,256,24,0,gemm_sycl_tiled16x8
nv,G1,cfloat,1024,56,0,gemm_sycl_tiled16x2
nv,G3,cfloat,1024,56,0,gemm_sycl_register_64x64_k16_widex2
nv,G1,cdouble,256,24,0,gemm_sycl_tiled16x2
nv,G3,cdouble,256,24,0,gemm_sycl_tiled16x2
nv,G1,cdouble,1024,56,0,gemm_sycl_tiled16x2
nv,G3,cdouble,1024,56,0,gemm_sycl_register_64x64_k16_widex2
