bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,geqrf,float,32,32,8192,0.7725,0.7729,0.0011,463.29,2.421e-07,-1,-1,98304,vendor:auto,24320,ok
qrbench_nv,geqrf,float,32,32,8192,0.9879,0.9881,0.0008,362.30,2.760e-07,-1,-1,67109888,native:cta,24320,ok
qrbench_v,geqrf,double,32,32,8192,2.3173,2.3175,0.0002,154.45,1.410e-15,-1,-1,98304,vendor:auto,12160,ok
qrbench_nv,geqrf,double,32,32,8192,10.8142,10.8167,0.0005,33.10,7.300e-16,-1,-1,83886080,native:cta,12160,ok
qrbench_v,geqrf,cfloat,32,32,8192,0.9682,0.9699,0.0040,369.66,3.775e-07,-1,-1,98304,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,32,32,8192,1.3558,1.3554,0.0009,263.99,5.824e-07,-1,-1,134218752,native:cta,12160,ok
qrbench_v,geqrf,cdouble,32,32,8192,5.7529,5.7529,0.0002,62.21,1.183e-15,-1,-1,98304,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,32,32,8192,17.5523,17.5670,0.0016,20.39,1.324e-15,-1,-1,268436480,native:cta,6080,ok
qrbench_v,geqrf,float,64,64,8192,6.2618,6.2413,0.0113,457.27,2.503e-07,-1,-1,98304,vendor:auto,24320,ok
qrbench_nv,geqrf,float,64,64,8192,2.9327,2.9327,0.0008,976.33,3.937e-07,-1,-1,167772160,native:cta,24320,ok
qrbench_v,geqrf,double,64,64,8192,15.6930,15.7279,0.0038,182.46,9.356e-16,-1,-1,98304,vendor:auto,12160,ok
qrbench_nv,geqrf,double,64,64,8192,29.6146,29.6147,0.0000,96.69,7.879e-16,-1,-1,184549376,native:cta,12160,ok
qrbench_v,geqrf,cfloat,64,64,8192,13.1026,13.0968,0.0023,218.53,3.835e-07,-1,-1,98304,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,64,64,8192,4.9675,4.9674,0.0003,576.41,3.031e-07,-1,-1,335544320,native:cta,12160,ok
qrbench_v,geqrf,cdouble,64,64,8192,31.5393,31.5310,0.0031,90.79,1.133e-15,-1,-1,98304,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,64,64,8192,58.8667,58.8689,0.0002,48.64,1.053e-15,-1,-1,671088640,native:cta,6080,ok
qrbench_v,geqrf,float,96,96,4096,12.4637,12.4548,0.0021,387.67,4.072e-07,-1,-1,49152,vendor:auto,24320,ok
qrbench_nv,geqrf,float,96,96,4096,4.9862,4.9888,0.0010,969.03,3.932e-07,-1,-1,134217728,native:cta,24320,ok
qrbench_v,geqrf,double,96,96,4096,25.7271,25.7304,0.0021,187.81,2.398e-15,-1,-1,49152,vendor:auto,12160,ok
qrbench_nv,geqrf,double,96,96,4096,32.6096,32.6103,0.0001,148.17,1.893e-15,-1,-1,142606336,native:cta,12160,ok
qrbench_v,geqrf,cfloat,96,96,4096,24.0039,24.0144,0.0022,201.29,3.879e-07,-1,-1,49152,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,96,96,4096,10.6323,10.6334,0.0002,454.45,3.043e-07,-1,-1,268435456,native:cta,12160,ok
qrbench_v,geqrf,cdouble,96,96,4096,51.2456,51.2550,0.0021,94.29,1.190e-15,-1,-1,49152,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,96,96,4096,125.7070,125.9087,0.0026,38.44,1.102e-15,-1,-1,536870912,native:blocked,6080,ok
qrbench_v,geqrf,float,128,128,4096,30.8678,30.8688,0.0042,371.04,2.983e-07,-1,-1,49152,vendor:auto,24320,ok
qrbench_nv,geqrf,float,128,128,4096,15.3882,15.3883,0.0001,744.29,3.319e-07,-1,-1,184549376,native:cta,24320,ok
qrbench_v,geqrf,double,128,128,4096,60.8478,60.8783,0.0017,188.23,1.893e-15,-1,-1,49152,vendor:auto,12160,ok
qrbench_nv,geqrf,double,128,128,4096,37.1410,37.1415,0.0000,308.37,1.629e-15,-1,-1,192937984,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,128,128,4096,59.2082,59.3092,0.0043,193.44,5.079e-07,-1,-1,49152,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,128,128,4096,19.4945,19.4991,0.0006,587.51,5.783e-07,-1,-1,369098752,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,128,128,4096,115.8081,115.9453,0.0020,98.90,2.318e-15,-1,-1,49152,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,128,128,4096,224.0028,224.1152,0.0012,51.13,1.663e-15,-1,-1,738197504,native:blocked,6080,ok
qrbench_v,geqrf,float,160,160,2048,30.8723,30.8989,0.0025,362.29,3.098e-07,-1,-1,24576,vendor:auto,24320,ok
qrbench_nv,geqrf,float,160,160,2048,8.4514,8.4559,0.0011,1323.42,5.275e-07,-1,-1,117440512,native:blocked,24320,ok
qrbench_v,geqrf,double,160,160,2048,56.6183,56.6813,0.0023,197.55,2.665e-15,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,double,160,160,2048,28.1115,28.1112,0.0001,397.87,2.132e-15,-1,-1,121634816,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,160,160,2048,54.4303,54.5426,0.0044,205.49,4.730e-07,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,160,160,2048,16.3506,16.3621,0.0013,684.06,6.449e-07,-1,-1,234881024,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,160,160,2048,109.9602,109.9754,0.0024,101.72,2.377e-15,-1,-1,24576,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,160,160,2048,178.9252,178.9269,0.0001,62.51,2.240e-15,-1,-1,469762048,native:blocked,6080,ok
qrbench_v,geqrf,float,256,256,2048,121.4153,121.4663,0.0009,377.32,3.857e-07,-1,-1,24576,vendor:auto,24320,ok
qrbench_nv,geqrf,float,256,256,2048,21.6173,21.6172,0.0004,2119.27,6.324e-07,-1,-1,192937984,native:blocked,24320,ok
qrbench_v,geqrf,double,256,256,2048,228.6899,228.7911,0.0014,200.33,1.972e-15,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,double,256,256,2048,72.2536,72.2426,0.0005,634.06,2.020e-15,-1,-1,197132288,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,256,256,2048,227.0520,226.9830,0.0009,201.77,4.592e-07,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,256,256,2048,44.4005,44.4314,0.0009,1031.81,6.783e-07,-1,-1,385875968,native:blocked,12160,ok
qrbench_v,geqrf,cdouble,256,256,2048,434.9410,435.1808,0.0021,105.33,2.055e-15,-1,-1,24576,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,256,256,2048,520.5722,520.7119,0.0007,88.01,2.772e-15,-1,-1,771751936,native:blocked,6080,ok
qrbench_v,geqrf,float,512,512,512,370.9158,370.8381,0.0004,247.03,5.034e-07,-1,-1,6144,vendor:auto,24320,ok
qrbench_nv,geqrf,float,512,512,512,30.4506,30.4537,0.0003,3009.00,9.556e-07,-1,-1,98566144,native:blocked,24320,ok
qrbench_v,geqrf,double,512,512,512,685.7765,685.8902,0.0003,133.61,4.148e-15,-1,-1,6144,vendor:auto,12160,ok
qrbench_nv,geqrf,double,512,512,512,101.4613,101.4628,0.0000,903.06,3.279e-15,-1,-1,99614720,native:blocked,12160,ok
