bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag
qrbench_v,geqrf,float,128,32,4096,1.1253,1.1288,0.0067,874.70,2.336e-07,-1,-1,49152,vendor:auto,24320,ok
qrbench_nv,geqrf,float,128,32,4096,0.7150,0.7152,0.0010,1376.54,2.666e-07,-1,-1,83887104,native:cta,24320,ok
qrbench_v,geqrf,double,128,32,4096,4.3729,4.3697,0.0025,225.08,1.899e-15,-1,-1,49152,vendor:auto,12160,ok
qrbench_nv,geqrf,double,128,32,4096,7.0574,7.0572,0.0001,139.47,2.255e-15,-1,-1,92274688,native:cta,12160,ok
qrbench_v,geqrf,cfloat,128,32,4096,3.9830,3.9853,0.0059,247.12,3.141e-07,-1,-1,49152,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,128,32,4096,1.2037,1.2039,0.0013,817.67,2.973e-07,-1,-1,167773184,native:cta,12160,ok
qrbench_v,geqrf,cdouble,128,32,4096,9.8488,9.8428,0.0048,99.94,2.365e-15,-1,-1,49152,vendor:auto,6080,ok
qrbench_nv,geqrf,cdouble,128,32,4096,13.9154,13.9170,0.0004,70.73,1.854e-15,-1,-1,335545344,native:cta,6080,ok
qrbench_v,geqrf,float,512,32,2048,4.3758,4.3720,0.0019,480.54,3.021e-07,-1,-1,24576,vendor:auto,24320,ok
qrbench_nv,geqrf,float,512,32,2048,2.0725,2.0724,0.0002,1014.59,2.130e-07,-1,-1,142607360,native:cta,24320,ok
qrbench_v,geqrf,double,512,32,2048,10.1209,10.1207,0.0019,207.76,5.238e-15,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,double,512,32,2048,8.7260,8.7262,0.0002,240.97,5.501e-15,-1,-1,146800640,native:blocked,12160,ok
qrbench_v,geqrf,cfloat,512,32,2048,10.2782,10.2843,0.0017,204.58,3.182e-07,-1,-1,24576,vendor:auto,12160,ok
qrbench_nv,geqrf,cfloat,512,32,2048,4.5307,4.5354,0.0038,464.11,3.355e-07,-1,-1,285213696,native:blocked,12160,ok
