bin,op,type,m,n,batch,med_ms,mean_ms,relsd,GFLOPs,geqrf_res,ortho,recon,ws_bytes,route,cta_max_elems,flag,pin
qrbench_nv,geqrf,float,16,16,8192,0.4176,0.4177,0.0016,107.13,4.510e-07,-1,-1,16778240,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,16,16,8192,0.4169,0.4170,0.0007,107.30,4.510e-07,-1,-1,16778240,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,16,16,8192,4.7341,4.7339,0.0002,9.45,8.001e-16,-1,-1,33555456,native:cta,12160,ok,cta
qrbench_nv,geqrf,double,16,16,8192,4.7114,4.7119,0.0002,9.50,8.001e-16,-1,-1,33555456,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,16,16,8192,0.5497,0.5494,0.0014,81.38,2.509e-07,-1,-1,33555456,native:cta,12160,ok,cta
qrbench_nv,geqrf,cfloat,16,16,8192,0.5511,0.5511,0.0009,81.18,2.509e-07,-1,-1,33555456,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,16,16,8192,7.2563,7.2564,0.0001,6.17,6.518e-16,-1,-1,67109888,native:cta,6080,ok,cta
qrbench_nv,geqrf,cdouble,16,16,8192,7.2566,7.2568,0.0001,6.17,6.518e-16,-1,-1,67109888,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,32,32,8192,0.9939,0.9941,0.0008,360.11,2.760e-07,-1,-1,67109888,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,32,32,8192,0.9955,0.9954,0.0004,359.53,2.760e-07,-1,-1,67109888,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,32,32,8192,10.8954,10.8953,0.0000,32.85,7.300e-16,-1,-1,83886080,native:cta,12160,ok,cta
qrbench_nv,geqrf,double,32,32,8192,11.4315,11.4322,0.0001,31.31,7.036e-16,-1,-1,83886080,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,32,32,8192,1.3613,1.3615,0.0006,262.92,5.824e-07,-1,-1,134218752,native:cta,12160,ok,cta
qrbench_nv,geqrf,cfloat,32,32,8192,1.3635,1.3634,0.0005,262.50,5.824e-07,-1,-1,134218752,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,32,32,8192,17.6368,17.6368,0.0000,20.29,1.324e-15,-1,-1,268436480,native:cta,6080,ok,cta
qrbench_nv,geqrf,cdouble,32,32,8192,17.5480,17.5476,0.0001,20.40,1.324e-15,-1,-1,268436480,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,48,48,8192,1.8604,1.8603,0.0003,649.30,4.392e-07,-1,-1,117440512,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,48,48,8192,4.9963,4.9940,0.0008,241.77,6.183e-07,-1,-1,117440512,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,48,48,8192,19.4378,19.4374,0.0000,62.14,1.323e-15,-1,-1,134217728,native:cta,12160,ok,cta
qrbench_nv,geqrf,double,48,48,8192,19.1130,19.1147,0.0003,63.20,1.831e-15,-1,-1,134217728,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,48,48,8192,2.6930,2.6925,0.0005,448.55,5.501e-07,-1,-1,234881024,native:cta,12160,ok,cta
qrbench_nv,geqrf,cfloat,48,48,8192,8.5393,8.5416,0.0011,141.46,6.651e-07,-1,-1,234881024,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,48,48,8192,34.4228,34.4229,0.0001,35.09,1.578e-15,-1,-1,469762048,native:cta,6080,ok,cta
qrbench_nv,geqrf,cdouble,48,48,8192,89.1357,89.1375,0.0000,13.55,1.318e-15,-1,-1,469762048,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,64,64,8192,2.9585,2.9585,0.0004,967.83,3.937e-07,-1,-1,167772160,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,64,64,8192,6.0175,6.0194,0.0008,475.83,3.912e-07,-1,-1,167772160,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,64,64,8192,29.7812,29.7812,0.0000,96.14,7.879e-16,-1,-1,184549376,native:cta,12160,ok,cta
qrbench_nv,geqrf,double,64,64,8192,27.4539,27.4527,0.0002,104.30,1.070e-15,-1,-1,184549376,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cfloat,64,64,8192,4.9790,4.9800,0.0004,575.07,3.031e-07,-1,-1,335544320,native:cta,12160,ok,cta
qrbench_nv,geqrf,cfloat,64,64,8192,10.4227,10.4290,0.0024,274.72,4.830e-07,-1,-1,335544320,native:blocked,12160,ok,blocked
qrbench_nv,geqrf,cdouble,64,64,8192,59.1765,59.1757,0.0001,48.39,1.053e-15,-1,-1,671088640,native:cta,6080,ok,cta
qrbench_nv,geqrf,cdouble,64,64,8192,114.1554,114.1599,0.0001,25.08,1.222e-15,-1,-1,671088640,native:blocked,6080,ok,blocked
qrbench_nv,geqrf,float,80,80,4096,2.7847,2.7843,0.0004,1004.15,3.598e-07,-1,-1,109051904,native:cta,24320,ok,cta
qrbench_nv,geqrf,float,80,80,4096,5.6736,5.6740,0.0008,492.84,5.038e-07,-1,-1,109051904,native:blocked,24320,ok,blocked
qrbench_nv,geqrf,double,80,80,4096,24.1090,24.1081,0.0001,115.98,1.667e-15,-1,-1,117440512,native:cta,12160,ok,cta
