variant,type,m,n,batch,route,leaf,nb,qr,orth,qrQ,dF,dtau,dimag
cta,float,64,64,8,route=vendor:auto,leaf=1,nb=32,qr=4.209e-07,orth=7.665e-07,qrQ=5.940e-07,dF=8.027e-07,dtau=8.469e-07,dimag=0.000e+00
blocked,float,64,64,8,route=vendor:auto,leaf=1,nb=32,qr=3.608e-07,orth=8.931e-07,qrQ=5.017e-07,dF=5.666e-07,dtau=1.452e-06,dimag=0.000e+00
cta,double,64,64,8,route=vendor:auto,leaf=1,nb=16,qr=1.048e-15,orth=2.610e-15,qrQ=1.109e-15,dF=1.319e-15,dtau=1.578e-15,dimag=0.000e+00
blocked,double,64,64,8,route=vendor:auto,leaf=1,nb=16,qr=1.372e-15,orth=1.532e-15,qrQ=1.365e-15,dF=1.088e-15,dtau=1.690e-15,dimag=0.000e+00
cta,cfloat,64,64,8,route=vendor:auto,leaf=1,nb=32,qr=6.469e-07,orth=1.043e-06,qrQ=4.414e-07,dF=1.236e-06,dtau=3.265e-06,dimag=0.000e+00
blocked,cfloat,64,64,8,route=vendor:auto,leaf=1,nb=32,qr=7.619e-07,orth=1.006e-06,qrQ=4.954e-07,dF=1.793e-06,dtau=4.576e-06,dimag=0.000e+00
cta,cdouble,64,64,8,route=vendor:auto,leaf=1,nb=32,qr=1.401e-15,orth=2.129e-15,qrQ=1.327e-15,dF=1.493e-15,dtau=3.760e-15,dimag=0.000e+00
blocked,cdouble,64,64,8,route=vendor:auto,leaf=1,nb=32,qr=1.763e-15,orth=2.023e-15,qrQ=1.215e-15,dF=3.866e-15,dtau=8.668e-15,dimag=0.000e+00
cta,float,65,65,8,route=vendor:auto,leaf=1,nb=32,qr=3.498e-07,orth=1.024e-06,qrQ=5.576e-07,dF=1.089e-06,dtau=2.672e-06,dimag=0.000e+00
blocked,float,65,65,8,route=vendor:auto,leaf=1,nb=32,qr=4.192e-07,orth=1.005e-06,qrQ=6.060e-07,dF=1.278e-06,dtau=2.125e-06,dimag=0.000e+00
cta,double,65,65,8,route=vendor:auto,leaf=1,nb=16,qr=1.196e-15,orth=1.475e-15,qrQ=1.118e-15,dF=2.216e-15,dtau=2.601e-15,dimag=0.000e+00
blocked,double,65,65,8,route=vendor:auto,leaf=1,nb=16,qr=1.208e-15,orth=1.469e-15,qrQ=9.835e-16,dF=1.147e-15,dtau=3.280e-15,dimag=0.000e+00
cta,cfloat,65,65,8,route=vendor:auto,leaf=1,nb=32,qr=3.222e-07,orth=9.427e-07,qrQ=5.158e-07,dF=1.388e-06,dtau=3.591e-06,dimag=0.000e+00
blocked,cfloat,65,65,8,route=vendor:auto,leaf=1,nb=32,qr=5.074e-07,orth=9.812e-07,qrQ=7.008e-07,dF=1.075e-06,dtau=6.149e-06,dimag=0.000e+00
cta,cdouble,65,65,8,route=vendor:auto,leaf=1,nb=32,qr=1.184e-15,orth=1.780e-15,qrQ=1.119e-15,dF=2.936e-15,dtau=7.201e-15,dimag=0.000e+00
blocked,cdouble,65,65,8,route=vendor:auto,leaf=1,nb=32,qr=1.313e-15,orth=1.587e-15,qrQ=1.189e-15,dF=2.344e-15,dtau=7.051e-15,dimag=0.000e+00
cta,float,66,66,8,route=vendor:auto,leaf=1,nb=32,qr=3.695e-07,orth=9.168e-07,qrQ=4.983e-07,dF=7.037e-07,dtau=1.312e-06,dimag=0.000e+00
blocked,float,66,66,8,route=vendor:auto,leaf=1,nb=32,qr=4.722e-07,orth=1.201e-06,qrQ=5.185e-07,dF=1.213e-06,dtau=1.431e-06,dimag=0.000e+00
cta,double,66,66,8,route=vendor:auto,leaf=1,nb=16,qr=1.389e-15,orth=2.143e-15,qrQ=1.085e-15,dF=1.357e-15,dtau=1.888e-15,dimag=0.000e+00
blocked,double,66,66,8,route=vendor:auto,leaf=1,nb=16,qr=1.488e-15,orth=1.702e-15,qrQ=1.091e-15,dF=1.533e-15,dtau=3.776e-15,dimag=0.000e+00
cta,cfloat,66,66,8,route=vendor:auto,leaf=1,nb=32,qr=3.973e-07,orth=1.019e-06,qrQ=4.811e-07,dF=6.689e-07,dtau=6.467e-06,dimag=0.000e+00
blocked,cfloat,66,66,8,route=vendor:auto,leaf=1,nb=32,qr=5.180e-07,orth=9.830e-07,qrQ=5.474e-07,dF=6.657e-07,dtau=1.144e-05,dimag=0.000e+00
cta,cdouble,66,66,8,route=vendor:auto,leaf=1,nb=32,qr=1.022e-15,orth=1.499e-15,qrQ=1.111e-15,dF=9.190e-16,dtau=1.303e-14,dimag=0.000e+00
