break,op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,flag
none,getrf,float,128,128,256,0.3972,0.3969,0.0041,901.14,2.446e-07,1024,vendor:auto,0,119,ok
piv,getrf,float,128,128,256,0.3973,0.3967,0.0045,900.85,1.903e+00,1024,vendor:auto,0,119,ok
factor,getrf,float,128,128,256,0.4002,0.4005,0.0016,894.41,7.415e-02,1024,vendor:auto,0,119,ok
none,getrs_trsm,float,128,128,256,0.4456,0.4456,0.0002,2409.54,3.395e-07,0,native:blocked|native:blocked,2.446e-07,119,ok
laswp,getrs_trsm,float,128,128,256,0.2252,0.2250,0.0028,4767.08,1.989e+00,0,native:blocked|native:blocked,2.446e-07,119,ok
sol,getrs_trsm,float,128,128,256,0.4445,0.4450,0.0018,2415.86,1.000e-02,0,native:blocked|native:blocked,2.446e-07,119,ok
none,getri_trsm,float,128,128,256,0.4580,0.4584,0.0016,1562.98,3.415e-07,0,native:blocked|native:blocked,2.446e-07,119,ok
laswp,getri_trsm,float,128,128,256,0.2298,0.2283,0.0108,3115.23,1.945e+00,0,native:blocked|native:blocked,2.446e-07,119,ok
sol,getri_trsm,float,128,128,256,0.4551,0.4551,0.0010,1572.99,1.000e-02,0,native:blocked|native:blocked,2.446e-07,119,ok
none,getri,float,128,128,256,0.4929,0.4932,0.0010,1452.27,4.521e-07,1024,vendor:auto,2.446e-07,119,ok
sol,getri,float,128,128,256,0.4991,0.4997,0.0028,1434.29,1.000e-02,1024,vendor:auto,2.446e-07,119,ok
none,getrf,cdouble,128,128,256,1.6584,1.6580,0.0010,215.82,1.485e-15,1024,vendor:auto,0,119,ok
piv,getrf,cdouble,128,128,256,1.6612,1.6617,0.0008,215.46,1.674e+00,1024,vendor:auto,0,119,ok
factor,getrf,cdouble,128,128,256,1.6577,1.6573,0.0003,215.91,7.812e-02,1024,vendor:auto,0,119,ok
none,getrs_trsm,cdouble,128,128,256,4.6131,4.6097,0.0012,232.76,8.148e-16,0,native:blocked|native:blocked,1.485e-15,119,ok
laswp,getrs_trsm,cdouble,128,128,256,4.0604,4.0610,0.0007,264.44,1.865e+00,0,native:blocked|native:blocked,1.485e-15,119,ok
sol,getrs_trsm,cdouble,128,128,256,4.6117,4.6111,0.0003,232.83,1.000e-02,0,native:blocked|native:blocked,1.485e-15,119,ok
none,getri_trsm,cdouble,128,128,256,4.6245,4.6243,0.0003,154.79,1.122e-15,0,native:blocked|native:blocked,1.485e-15,119,ok
laswp,getri_trsm,cdouble,128,128,256,4.0989,4.0987,0.0005,174.64,1.798e+00,0,native:blocked|native:blocked,1.485e-15,119,ok
sol,getri_trsm,cdouble,128,128,256,4.6246,4.6238,0.0002,154.79,1.000e-02,0,native:blocked|native:blocked,1.485e-15,119,ok
none,getri,cdouble,128,128,256,4.3375,4.3375,0.0001,165.03,1.434e-15,1024,vendor:auto,1.485e-15,119,ok
sol,getri,cdouble,128,128,256,4.3362,4.3353,0.0004,165.08,1.000e-02,1024,vendor:auto,1.485e-15,119,ok
