pad_request,variant,type,n,batch,wg,ld,slm_bytes,med_ms,mean_ms,relsd,GFLOPs,resid,ntpiv,flag
46080,nopiv,float,64,1024,256,65,46080,0.1999,0.1998,0.0015,895.07,1.647e-03,0,ok
46080,pivman,float,64,1024,256,65,46080,0.3248,0.3246,0.0010,550.98,4.744e-07,60,ok
46080,pivgrp,float,64,1024,256,65,46080,0.3211,0.3214,0.0013,557.24,4.744e-07,60,ok
47104,nopiv,float,64,1024,256,65,47104,0.1803,0.1802,0.0007,992.65,1.647e-03,0,ok
47104,pivman,float,64,1024,256,65,47104,0.3249,0.3249,0.0003,550.88,4.744e-07,60,ok
47104,pivgrp,float,64,1024,256,65,47104,0.3224,0.3222,0.0013,555.14,4.744e-07,60,ok
48640,nopiv,float,64,1024,256,65,48640,0.1794,0.1794,0.0004,997.29,1.647e-03,0,ok
48640,pivman,float,64,1024,256,65,48640,0.3253,0.3253,0.0009,550.16,4.744e-07,60,ok
48640,pivgrp,float,64,1024,256,65,48640,0.3224,0.3222,0.0012,555.15,4.744e-07,60,ok
48896,nopiv,float,64,1024,256,65,48896,0.1798,0.1797,0.0022,995.17,1.647e-03,0,ok
48896,pivman,float,64,1024,256,65,48896,0.3241,0.3243,0.0009,552.10,4.744e-07,60,ok
48896,pivgrp,float,64,1024,256,65,48896,0.3213,0.3213,0.0014,557.04,4.744e-07,60,ok
49152,nopiv,float,64,1024,256,65,49152,0.1797,0.1798,0.0012,995.99,1.647e-03,0,ok
49152,pivman,float,64,1024,256,65,49152,0.3243,0.3243,0.0012,551.83,4.744e-07,60,ok
49152,pivgrp,float,64,1024,256,65,49152,-1,-1,-1,LAUNCH_FAIL:unknown internal error
49408,nopiv,float,64,1024,256,65,49408,0.1803,0.1803,0.0014,992.37,1.647e-03,0,ok
49408,pivman,float,64,1024,256,65,49408,0.3258,0.3264,0.0041,549.33,4.744e-07,60,ok
49408,pivgrp,float,64,1024,256,65,49408,0.3210,0.3211,0.0037,557.51,4.744e-07,60,ok
49664,nopiv,float,64,1024,256,65,49664,0.1798,0.1801,0.0026,995.16,1.647e-03,0,ok
49664,pivman,float,64,1024,256,65,49664,0.3257,0.3467,0.0867,549.52,4.744e-07,60,ok
49664,pivgrp,float,64,1024,256,65,49664,0.3217,0.3216,0.0018,556.26,4.744e-07,60,ok
50176,nopiv,float,64,1024,256,65,50176,0.1805,0.2004,0.1448,991.41,1.647e-03,0,ok
50176,pivman,float,64,1024,256,65,50176,0.3256,0.3256,0.0002,549.60,4.744e-07,60,ok
50176,pivgrp,float,64,1024,256,65,50176,0.5436,0.5435,0.0008,329.19,4.744e-07,60,ok
50688,nopiv,float,64,1024,256,65,50688,0.2962,0.3159,0.0884,604.09,1.647e-03,0,ok
50688,pivman,float,64,1024,256,65,50688,0.5846,0.5855,0.0028,306.09,4.744e-07,60,ok
50688,pivgrp,float,64,1024,256,65,50688,0.5446,0.5449,0.0012,328.60,4.744e-07,60,ok
50944,nopiv,float,64,1024,256,65,50944,0.2960,0.2966,0.0029,604.49,1.647e-03,0,ok
50944,pivman,float,64,1024,256,65,50944,0.5837,0.5835,0.0009,306.60,4.744e-07,60,ok
50944,pivgrp,float,64,1024,256,65,50944,0.5447,0.5445,0.0007,328.54,4.744e-07,60,ok
51200,nopiv,float,64,1024,256,65,51200,0.2950,0.2960,0.0050,606.71,1.647e-03,0,ok
51200,pivman,float,64,1024,256,65,51200,0.5810,0.5807,0.0012,308.01,4.744e-07,60,ok
51200,pivgrp,float,64,1024,256,65,51200,0.5439,0.5440,0.0006,329.05,4.744e-07,60,ok
