section,variant,type,n,batch,wg,ld,slm_bytes,med_ms,mean_ms,relsd,GFLOPs,resid,ntpiv,flag
hole,nopiv,float,104,1024,256,105,43692,0.5686,0.5680,0.0023,1350.62,1.973e-03,0,ok
hole,pivman,float,104,1024,256,105,45732,0.8047,0.8267,0.0378,954.27,4.246e-07,101,ok
hole,pivgrp,float,104,1024,256,105,43692,0.8060,0.8258,0.0365,952.75,4.246e-07,101,ok
hole,nopiv,float,106,1024,256,107,45380,0.5982,0.5983,0.0028,1359.22,1.931e-03,0,ok
hole,pivman,float,106,1024,256,107,47420,0.8439,0.8645,0.0350,963.47,3.933e-07,100,ok
hole,pivgrp,float,106,1024,256,107,45380,0.8317,0.8513,0.0339,977.62,3.933e-07,100,ok
hole,nopiv,float,108,1024,256,109,47100,0.6360,0.6531,0.0447,1352.25,1.740e-03,0,ok
hole,pivman,float,108,1024,256,109,49140,0.8697,0.8917,0.0353,988.79,4.767e-07,101,ok
hole,pivgrp,float,108,1024,256,109,47100,0.8735,0.8932,0.0332,984.52,4.767e-07,101,ok
hole,nopiv,float,109,1024,256,109,47536,0.6430,0.6632,0.0444,1374.85,1.325e-03,0,ok
hole,pivman,float,109,1024,256,109,49576,0.8905,0.9130,0.0349,992.77,3.086e-07,104,ok
hole,pivgrp,float,109,1024,256,109,47536,0.8868,0.9089,0.0351,996.95,3.086e-07,104,ok
hole,nopiv,float,110,1024,256,111,48852,0.6603,0.6824,0.0458,1376.14,1.440e-03,0,ok
hole,pivman,float,110,1024,256,111,50892,1.5425,1.5607,0.0195,589.06,3.541e-07,105,ok
hole,pivgrp,float,110,1024,256,111,48852,0.9045,0.9047,0.0009,1004.54,3.541e-07,105,ok
hole,nopiv,float,111,1024,256,111,49296,0.6742,0.6967,0.0476,1384.80,1.726e-02,0,ok
hole,pivman,float,111,1024,256,111,51336,1.5654,1.5656,0.0002,596.43,3.867e-07,105,ok
hole,pivgrp,float,111,1024,256,111,49296,0.9223,0.9219,0.0011,1012.28,3.867e-07,105,ok
hole,nopiv,float,112,1024,256,113,50636,1.0910,1.1147,0.0306,879.12,2.789e-03,0,ok
hole,pivman,float,112,1024,256,113,52676,1.5953,1.6192,0.0210,601.21,4.947e-07,104,ok
hole,pivgrp,float,112,1024,256,113,50636,1.5473,1.5471,0.0002,619.86,4.947e-07,104,ok
hole,nopiv,float,113,1024,256,113,51088,1.1145,1.1144,0.0000,883.86,1.214e-03,0,ok
hole,pivman,float,113,1024,256,113,53128,1.6265,1.6498,0.0213,605.60,3.468e-07,106,ok
hole,pivgrp,float,113,1024,256,113,51088,1.5943,1.6123,0.0222,617.82,3.468e-07,106,ok
hole,nopiv,float,116,1024,256,117,54300,1.1905,1.1908,0.0009,895.08,7.400e-03,0,ok
hole,pivman,float,116,1024,256,117,56340,1.7189,1.7451,0.0219,619.92,4.120e-07,110,ok
hole,pivgrp,float,116,1024,256,117,54300,1.6704,1.6705,0.0004,637.90,4.120e-07,110,ok
n,nopiv,float,16,4096,256,17,1100,0.0394,0.0395,0.0052,283.79,1.795e-05,0,ok
n,swaponly,float,16,4096,256,17,1100,0.0471,0.0473,0.0079,237.66,2.307e-05,14,ok
n,pivman,float,16,4096,256,17,3140,0.1045,0.1043,0.0053,107.06,1.029e-07,11,ok
n,pivgrp,float,16,4096,256,17,1100,0.1299,0.1301,0.0038,86.08,1.029e-07,11,ok
