op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws_bytes,route,extra,ntpiv,flag
getrf,float,64,1,1,0.0812,0.0812,0.0019,2.15,1.880e-07,512,vendor:auto,0,59,ok
getri,float,64,1,1,0.0914,0.0916,0.0048,3.83,1.846e-07,512,vendor:auto,1.880e-07,59,ok
getrf,float,64,1,2,0.0811,0.0810,0.0018,4.31,2.355e-07,512,vendor:auto,0,57,ok
getri,float,64,1,2,0.0920,0.0921,0.0036,7.60,2.544e-07,512,vendor:auto,2.355e-07,57,ok
getrf,float,64,1,4,0.0808,0.0807,0.0020,8.65,1.880e-07,512,vendor:auto,0,58,ok
getri,float,64,1,4,0.0920,0.0920,0.0029,15.19,2.855e-07,512,vendor:auto,1.880e-07,58,ok
getrf,float,64,1,8,0.0832,0.0832,0.0012,16.81,1.880e-07,512,vendor:auto,0,59,ok
getri,float,64,1,8,0.0889,0.0890,0.0015,31.44,3.568e-07,512,vendor:auto,1.880e-07,59,ok
getrf,float,64,1,16,0.0806,0.0805,0.0013,34.70,1.880e-07,512,vendor:auto,0,61,ok
getri,float,64,1,16,0.0884,0.0885,0.0035,63.24,2.247e-07,512,vendor:auto,1.880e-07,61,ok
getrf,float,64,1,32,0.0801,0.0802,0.0021,69.79,1.880e-07,512,vendor:auto,0,58,ok
getri,float,64,1,32,0.0894,0.0894,0.0017,125.14,3.966e-07,512,vendor:auto,1.880e-07,58,ok
getrf,float,64,1,64,0.0811,0.0810,0.0011,137.98,1.880e-07,512,vendor:auto,0,60,ok
getri,float,64,1,64,0.0890,0.0891,0.0022,251.31,2.958e-07,512,vendor:auto,1.880e-07,60,ok
getrf,float,64,1,128,0.0825,0.0825,0.0018,271.04,2.108e-07,512,vendor:auto,0,57,ok
getri,float,64,1,128,0.0898,0.0903,0.0102,498.14,2.708e-07,512,vendor:auto,2.108e-07,57,ok
getrf,float,64,1,256,0.1071,0.1069,0.0098,417.84,2.848e-07,1024,vendor:auto,0,59,ok
getri,float,64,1,256,0.1032,0.1032,0.0034,867.33,5.052e-07,1024,vendor:auto,2.848e-07,59,ok
getrf,float,64,1,512,0.1847,0.1843,0.0054,484.51,1.880e-07,2048,vendor:auto,0,59,ok
getri,float,64,1,512,0.1428,0.1428,0.0011,1253.17,2.667e-07,2048,vendor:auto,1.880e-07,59,ok
getrf,float,64,1,1024,0.4000,0.4004,0.0122,447.38,1.880e-07,4096,vendor:auto,0,60,ok
getri,float,64,1,1024,0.2532,0.2556,0.0189,1413.80,2.475e-07,4096,vendor:auto,1.880e-07,60,ok
getrf,float,64,1,2048,0.7189,0.7182,0.0051,497.83,1.880e-07,8192,vendor:auto,0,55,ok
getri,float,64,1,2048,0.4611,0.4607,0.0019,1552.48,3.227e-07,8192,vendor:auto,1.880e-07,55,ok
getrf,float,64,1,4096,1.3631,1.3625,0.0013,525.15,2.943e-07,16384,vendor:auto,0,60,ok
getri,float,64,1,4096,0.8861,0.8864,0.0022,1615.61,4.113e-07,16384,vendor:auto,2.943e-07,60,ok
getrf,float,64,1,8192,2.6332,2.6326,0.0012,543.69,1.905e-07,32768,vendor:auto,0,58,ok
getri,float,64,1,8192,1.7158,1.7157,0.0004,1668.83,3.209e-07,32768,vendor:auto,1.905e-07,58,ok
getrf,float,64,1,16384,5.1900,5.1906,0.0006,551.70,1.880e-07,65536,vendor:auto,0,59,ok
getri,float,64,1,16384,3.3845,3.3870,0.0022,1692.01,2.639e-07,65536,vendor:auto,1.880e-07,59,ok
getrf,float,256,1,1,1.1836,1.1845,0.0016,9.45,3.017e-07,512,vendor:auto,0,249,ok
getri,float,256,1,1,2.4189,2.4188,0.0004,9.25,4.237e-07,512,vendor:auto,3.017e-07,249,ok
getrf,float,256,1,2,1.1978,1.1977,0.0015,18.68,4.171e-07,512,vendor:auto,0,251,ok
getri,float,256,1,2,2.4316,2.4315,0.0002,18.40,5.009e-07,512,vendor:auto,4.171e-07,251,ok
getrf,float,256,1,4,1.1984,1.1985,0.0018,37.33,3.173e-07,512,vendor:auto,0,247,ok
getri,float,256,1,4,2.4324,2.4328,0.0008,36.79,4.334e-07,512,vendor:auto,3.173e-07,247,ok
getrf,float,256,1,8,1.1993,1.1992,0.0016,74.61,3.204e-07,512,vendor:auto,0,252,ok
getri,float,256,1,8,2.4231,2.4228,0.0003,73.85,4.340e-07,512,vendor:auto,3.204e-07,252,ok
getrf,float,256,1,16,1.2031,1.2031,0.0016,148.75,3.597e-07,512,vendor:auto,0,250,ok
getri,float,256,1,16,2.4263,2.4263,0.0005,147.51,3.974e-07,512,vendor:auto,3.597e-07,250,ok
getrf,float,256,1,32,1.2032,1.2031,0.0006,297.48,4.456e-07,512,vendor:auto,0,252,ok
getri,float,256,1,32,2.4263,2.4262,0.0010,295.03,4.789e-07,512,vendor:auto,4.456e-07,252,ok
getrf,float,256,1,64,1.2104,1.2107,0.0010,591.39,3.760e-07,512,vendor:auto,0,252,ok
getri,float,256,1,64,2.4267,2.4255,0.0008,589.96,4.774e-07,512,vendor:auto,3.760e-07,252,ok
getrf,float,256,1,128,1.2649,1.2648,0.0017,1131.84,3.424e-07,512,vendor:auto,0,246,ok
getri,float,256,1,128,2.4287,2.4295,0.0009,1178.94,4.625e-07,512,vendor:auto,3.424e-07,246,ok
getrf,float,256,1,256,2.1821,2.1807,0.0028,1312.19,3.017e-07,1024,vendor:auto,0,251,ok
getri,float,256,1,256,3.5459,3.5453,0.0007,1615.00,4.679e-07,1024,vendor:auto,3.017e-07,251,ok
getrf,float,256,1,512,6.1436,6.1351,0.0039,932.12,3.521e-07,2048,vendor:auto,0,251,ok
getri,float,256,1,512,8.0097,8.0177,0.0049,1429.93,4.302e-07,2048,vendor:auto,3.521e-07,251,ok
getrf,float,256,1,1024,17.6239,17.5345,0.0170,649.87,3.225e-07,4096,vendor:auto,0,249,ok
getri,float,256,1,1024,18.1879,18.1580,0.0024,1259.43,4.282e-07,4096,vendor:auto,3.225e-07,249,ok
getrf,float,256,1,2048,31.4096,31.4608,0.0094,729.28,3.395e-07,8192,vendor:auto,0,250,ok
getri,float,256,1,2048,41.7457,41.7034,0.0020,1097.43,4.253e-07,8192,vendor:auto,3.395e-07,250,ok
getrf,float,1024,1,1,48.9200,48.9218,0.0001,14.63,5.042e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,2,50.2029,50.2030,0.0001,28.52,6.285e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,4,50.2087,50.2115,0.0002,57.03,6.257e-07,512,vendor:auto,0,1018,ok
getrf,float,1024,1,8,50.2234,50.2753,0.0016,114.02,6.703e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,16,51.4856,51.4786,0.0003,222.46,6.591e-07,512,vendor:auto,0,1016,ok
getrf,float,1024,1,32,63.4057,63.3903,0.0004,361.27,5.042e-07,512,vendor:auto,0,1012,ok
getrf,float,1024,1,64,71.7344,71.7285,0.0002,638.65,5.685e-07,512,vendor:auto,0,1012,ok
getrf,float,1024,1,128,94.6219,94.6876,0.0016,968.34,7.493e-07,512,vendor:auto,0,1019,ok
getrf,float,1024,1,256,170.2554,170.3542,0.0015,1076.34,7.288e-07,1024,vendor:auto,0,1014,ok
getrf,float,2048,1,1,363.0451,363.0408,0.0000,15.77,1.087e-06,512,vendor:auto,0,2041,ok
getrf,float,2048,1,2,373.4094,373.4088,0.0000,30.67,1.087e-06,512,vendor:auto,0,2036,ok
getrf,float,2048,1,4,383.2079,383.1875,0.0001,59.78,1.087e-06,512,vendor:auto,0,2036,ok
getrf,float,2048,1,8,451.2401,451.2984,0.0003,101.53,1.087e-06,512,vendor:auto,0,2039,ok
getrf,float,2048,1,16,486.9529,486.9389,0.0001,188.16,1.087e-06,512,vendor:auto,0,2039,ok
getrf,float,2048,1,32,519.0712,519.0831,0.0001,353.04,1.087e-06,512,vendor:auto,0,2041,ok
getrf,float,2048,1,64,550.4645,550.4509,0.0002,665.81,1.087e-06,512,vendor:auto,0,2039,ok
getrf,cdouble,64,1,1,0.2259,0.2271,0.0082,0.77,1.061e-15,512,vendor:auto,0,59,ok
getri,cdouble,64,1,1,0.4120,0.4119,0.0005,0.85,9.243e-16,512,vendor:auto,1.061e-15,59,ok
getrf,cdouble,64,1,2,0.2262,0.2263,0.0012,1.55,1.061e-15,512,vendor:auto,0,57,ok
getri,cdouble,64,1,2,0.4128,0.4143,0.0079,1.69,1.146e-15,512,vendor:auto,1.061e-15,57,ok
getrf,cdouble,64,1,4,0.2257,0.2258,0.0014,3.10,1.061e-15,512,vendor:auto,0,58,ok
getri,cdouble,64,1,4,0.4134,0.4138,0.0024,3.38,9.111e-16,512,vendor:auto,1.061e-15,58,ok
getrf,cdouble,64,1,8,0.2279,0.2278,0.0016,6.14,1.061e-15,512,vendor:auto,0,59,ok
getri,cdouble,64,1,8,0.4131,0.4133,0.0008,6.77,1.269e-15,512,vendor:auto,1.061e-15,59,ok
getrf,cdouble,64,1,16,0.2260,0.2260,0.0014,12.37,1.077e-15,512,vendor:auto,0,61,ok
getri,cdouble,64,1,16,0.4128,0.4131,0.0019,13.55,1.126e-15,512,vendor:auto,1.077e-15,61,ok
getrf,cdouble,64,1,32,0.2263,0.2263,0.0019,24.71,1.061e-15,512,vendor:auto,0,58,ok
getri,cdouble,64,1,32,0.4134,0.4134,0.0007,27.06,9.428e-16,512,vendor:auto,1.061e-15,58,ok
getrf,cdouble,64,1,64,0.2278,0.2280,0.0022,49.10,1.061e-15,512,vendor:auto,0,60,ok
getri,cdouble,64,1,64,0.4135,0.4135,0.0004,54.10,1.146e-15,512,vendor:auto,1.061e-15,60,ok
getrf,cdouble,64,1,128,0.2293,0.2293,0.0021,97.54,1.061e-15,512,vendor:auto,0,57,ok
getri,cdouble,64,1,128,0.4134,0.4134,0.0004,108.22,9.064e-16,512,vendor:auto,1.061e-15,57,ok
