== LAUNCH_FAIL / BAD ==
   n pivman cdouble n=78 batch=4096 wg=256 slm=101668 : None
   Excessive allocation of local memory on the device(adapter error )40 None None n=None batch=None wg=None slm=None : None
== discarded, relative sd > 10% ==
   n nopiv float n=32 batch=4096 relsd=0.2034
   n pivman double n=16 batch=4096 relsd=0.2963
   n swaponly double n=24 batch=4096 relsd=0.2266
   n nopiv cfloat n=32 batch=4096 relsd=0.1531
   n pivman cfloat n=32 batch=4096 relsd=0.1077

== pivot cost vs the unpivoted lower bound, by n (batch 4096, wg 256) ==
type         n   batch   nopiv_ms    swap_ms  pivman_ms  pivgrp_ms  swap/np   man/np   grp/np    slm_nopiv   slm_pivman
cdouble     16    4096     0.1534     0.1574     0.2334     0.5328     1.03     1.52     3.47         4368         7428
cdouble     24    4096     0.3270     0.3374     0.4517     0.9009     1.03     1.38     2.76         9616        12676
cdouble     32    4096     0.6213     0.6280     0.8284     1.3871     1.01     1.33     2.23        16912        19972
cdouble     48    4096     2.0611     2.0704     2.5420     3.3319     1.00     1.23     1.62        37648        40708
cdouble     64    4096     5.1024     5.3150     6.7260     7.4650     1.04     1.32     1.46        66576        69636
cdouble     78    4096     8.4937     8.7625        nan    11.4054     1.03      nan     1.34        98608            -
cfloat      16    4096     0.0424     0.0502     0.1125     0.1395     1.18     2.65     3.29         2188         4228
cfloat      24    4096     0.0762     0.0894     0.1806     0.2275     1.17     2.37     2.99         4812         6852
cfloat      48    4096     0.3399     0.3682     0.6018     0.6229     1.08     1.77     1.83        18828        20868
cfloat      64    4096     0.9096     0.9957     1.5101     1.4755     1.09     1.66     1.62        33292        35332
cfloat      96    4096     4.0302     4.1534     5.6009     5.4617     1.03     1.39     1.36        74508        76548
cfloat     110    4096     5.6251     5.7644     7.3791     7.2749     1.02     1.31     1.29        97692        99732
double      16    4096     0.0621     0.0685        nan     0.4391     1.10      nan     7.07         2192            -
double      24    4096     0.1267        nan     0.2539     0.6921      nan     2.00     5.46         4816         7876
double      32    4096     0.2329     0.2418     0.3932     0.9887     1.04     1.69     4.25         8464        11524
double      48    4096     0.6365     0.6530     0.9373     1.7819     1.03     1.47     2.80        18832        21892
double      64    4096     1.6403     1.6666     2.3596     3.3366     1.02     1.44     2.03        33296        36356
double      96    4096     5.8912     6.0834     8.1682     9.3258     1.03     1.39     1.58        74512        77572
double     110    4096     8.3023     8.5692    11.1958    12.3394     1.03     1.35     1.49        97696       100756
float       16    4096     0.0394     0.0471     0.1045     0.1299     1.20     2.65     3.30         1100         3140
float       24    4096     0.0674     0.0791     0.1633     0.2053     1.17     2.42     3.05         2412         4452
float       48    4096     0.2539     0.2733     0.4244     0.5248     1.08     1.67     2.07         9420        11460
float       64    4096     0.4839     0.5206     0.7352     0.8329     1.08     1.52     1.72        16652        18692
float       96    4096     1.9153     2.0142     2.7860     2.7516     1.05     1.45     1.44        37260        39300
float      128    4096     6.5424     6.7030     8.8448     9.0016     1.02     1.35     1.38        66060        68100
float      152    4096    10.2384    10.3466    13.0175    12.7820     1.01     1.27     1.25        93036        95076

== pivot cost vs the unpivoted lower bound, by batch (float n=64, wg 256) ==
type         n   batch   nopiv_ms    swap_ms  pivman_ms  pivgrp_ms  swap/np   man/np   grp/np    slm_nopiv   slm_pivman
float       64     128     0.0424     0.0456     0.0786     0.0739     1.08     1.85     1.74        16652        18692
float       64     256     0.0504     0.0537     0.0868     0.0861     1.07     1.72     1.71        16652        18692
float       64     512     0.0763     0.0822     0.1166     0.1293     1.08     1.53     1.69        16652        18692
float       64    1024     0.1358     0.1474     0.2128     0.2368     1.09     1.57     1.74        16652        18692
float       64    2048     0.2588     0.2801     0.3967     0.4451     1.08     1.53     1.72        16652        18692
float       64    4096     0.4829     0.5154     0.7350     0.8319     1.07     1.52     1.72        16652        18692
float       64    8192     0.9373     1.0015     1.4290     1.6172     1.07     1.52     1.73        16652        18692
float       64   16384     1.8686     1.9941     2.8354     3.2132     1.07     1.52     1.72        16652        18692

== the n ladder across the 48 KB band (float, batch 1024, wg 256) ==
type         n   batch   nopiv_ms    swap_ms  pivman_ms  pivgrp_ms  swap/np   man/np   grp/np    slm_nopiv   slm_pivman
float      104    1024     0.5686        nan     0.8047     0.8060      nan     1.42     1.42        43692        45732
float      106    1024     0.5982        nan     0.8439     0.8317      nan     1.41     1.39        45380        47420
float      108    1024     0.6360        nan     0.8697     0.8735      nan     1.37     1.37        47100        49140
float      109    1024     0.6430        nan     0.8905     0.8868      nan     1.38     1.38        47536        49576
float      110    1024     0.6603        nan     1.5425     0.9045      nan     2.34     1.37        48852        50892
float      111    1024     0.6742        nan     1.5654     0.9223      nan     2.32     1.37        49296        51336
float      112    1024     1.0910        nan     1.5953     1.5473      nan     1.46     1.42        50636        52676
float      113    1024     1.1145        nan     1.6265     1.5943      nan     1.46     1.43        51088        53128
float      116    1024     1.1905        nan     1.7189     1.6704      nan     1.44     1.40        54300        56340
