op,type,n,batch,vendor_ms,native_ms,speedup,vendor_GFLOPs,native_GFLOPs,vendor_route,native_route,vendor_resid,native_resid,vendor_ws,native_ws
getrf,cdouble,32,8192,1.4824,3.5768,0.414,120.7,50.0,vendor:auto,native:cta,1.42e-15,1.42e-15,32768,294912
getrf,cdouble,64,8192,9.3836,21.8249,0.430,152.6,65.6,vendor:auto,native:cta,1.15e-15,1.33e-15,32768,294912
getrf,cdouble,128,4096,24.5716,73.0080,0.337,233.1,78.4,vendor:auto,native:blocked,1.49e-15,1.47e-15,16384,147456
getrf,cdouble,256,2048,84.2757,171.6780,0.491,271.8,133.4,vendor:auto,native:blocked,1.58e-15,1.49e-15,8192,73728
getrf,cdouble,512,512,162.7805,232.3881,0.700,281.4,197.1,vendor:auto,native:blocked,2.96e-15,2.88e-15,2048,18432
getrf,cdouble,1024,128,351.3949,366.0875,0.960,260.8,250.3,vendor:auto,native:blocked,4.41e-15,4.41e-15,512,4608
getrf,cdouble,2048,32,2589.0239,694.0979,3.730,70.8,264.0,vendor:auto,native:blocked,5.21e-15,5.48e-15,512,2560
getrf,cfloat,32,8192,0.2495,0.4194,0.595,717.2,426.6,vendor:auto,native:cta,3.39e-07,2.68e-07,32768,294912
getrf,cfloat,64,8192,2.7826,3.3616,0.828,514.5,425.9,vendor:auto,native:cta,3.21e-07,2.79e-07,32768,294912
getrf,cfloat,128,4096,6.9605,18.1661,0.383,822.7,315.2,vendor:auto,native:blocked,3.72e-07,1.88e-07,16384,147456
getrf,cfloat,256,2048,39.5905,49.1756,0.805,578.6,465.8,vendor:auto,native:blocked,3.21e-07,3.88e-07,8192,73728
getrf,cfloat,512,512,77.1697,63.2630,1.220,593.7,724.2,vendor:auto,native:blocked,5.95e-07,4.95e-07,2048,18432
getrf,cfloat,1024,128,122.4686,74.4866,1.644,748.2,1230.1,vendor:auto,native:blocked,6.16e-07,4.96e-07,512,4608
getrf,cfloat,2048,32,562.3675,111.8273,5.029,325.9,1638.7,vendor:auto,native:blocked,9.05e-07,7.34e-07,512,2560
getrf,double,32,8192,0.5636,1.8085,0.312,317.5,99.0,vendor:auto,native:cta,9.20e-16,9.20e-16,32768,294912
getrf,double,64,8192,3.2708,10.4860,0.312,437.7,136.5,vendor:auto,native:blocked,7.69e-16,7.69e-16,32768,294912
getrf,double,128,4096,8.7727,33.1242,0.265,652.8,172.9,vendor:auto,native:blocked,1.30e-15,1.30e-15,16384,147456
getrf,double,256,2048,46.1650,74.7285,0.618,496.2,306.5,vendor:auto,native:blocked,1.85e-15,1.85e-15,8192,73728
getrf,double,512,512,59.5809,90.7127,0.657,768.9,505.0,vendor:auto,native:blocked,3.34e-15,3.13e-15,2048,18432
getrf,double,1024,128,111.6129,121.1296,0.921,820.9,756.4,vendor:auto,native:blocked,4.37e-15,4.37e-15,512,4608
getrf,double,2048,32,588.7513,212.7088,2.768,311.3,861.5,vendor:auto,native:blocked,1.12e-14,1.12e-14,512,2560
getrf,float,32,8192,0.1574,0.2890,0.545,1136.9,619.2,vendor:auto,native:cta,3.27e-07,3.28e-07,32768,294912
getrf,float,64,8192,2.6219,1.6244,1.614,546.0,881.4,vendor:auto,native:cta,1.90e-07,4.10e-07,32768,294912
getrf,float,128,4096,5.7653,7.8530,0.734,993.3,729.2,vendor:auto,native:cta,2.56e-07,3.71e-07,16384,147456
getrf,float,256,2048,31.5038,32.6267,0.966,727.1,702.1,vendor:auto,native:blocked,3.39e-07,3.65e-07,8192,73728
getrf,float,512,512,49.8927,40.3979,1.235,918.2,1134.0,vendor:auto,native:blocked,4.13e-07,3.75e-07,2048,18432
getrf,float,1024,128,94.5832,46.6207,2.029,968.7,1965.3,vendor:auto,native:blocked,7.49e-07,6.90e-07,512,4608
getrf,float,2048,32,517.3550,70.9561,7.291,354.2,2582.6,vendor:auto,native:blocked,1.09e-06,6.24e-07,512,2560
getri,cdouble,32,8192,3.3432,14.4192,0.232,107.1,24.8,vendor:auto|vendor:auto,native:cta|native:blocked,9.08e-16,5.40e-16,32768,0
getri,cdouble,64,8192,20.0717,42.8061,0.469,142.7,66.9,vendor:auto|vendor:auto,native:cta|native:blocked,7.22e-16,7.56e-16,32768,0
getri,cdouble,128,4096,67.3898,108.2273,0.623,170.0,105.8,vendor:auto|vendor:auto,native:blocked|native:blocked,1.78e-15,1.35e-15,16384,0
getri,cdouble,256,2048,244.3824,289.3678,0.845,187.5,158.3,vendor:auto|vendor:auto,native:blocked|native:blocked,2.21e-15,1.82e-15,8192,0
getri,cdouble,512,512,467.1747,488.6795,0.956,196.1,187.5,vendor:auto|vendor:auto,native:blocked|native:blocked,2.68e-15,2.53e-15,2048,0
getri,cdouble,1024,128,1005.3343,885.1907,1.136,182.3,207.0,vendor:auto|vendor:auto,native:blocked|native:blocked,3.46e-15,3.37e-15,512,0
getri,cdouble,2048,32,7684.7586,1674.7728,4.589,47.7,218.8,vendor:auto|vendor:auto,native:blocked|native:blocked,5.18e-15,4.94e-15,512,0
getri,cfloat,32,8192,0.3809,1.7382,0.219,939.6,205.9,vendor:auto|vendor:auto,native:cta|native:blocked,5.03e-07,2.60e-07,32768,0
getri,cfloat,64,8192,1.9454,5.6489,0.344,1471.9,506.9,vendor:auto|vendor:auto,native:cta|native:blocked,4.36e-07,3.56e-07,32768,0
getri,cfloat,128,4096,13.5716,12.8151,1.059,843.9,893.7,vendor:auto|vendor:auto,native:blocked|native:blocked,3.65e-07,2.38e-07,16384,0
getri,cfloat,256,2048,60.3261,29.1834,2.067,759.4,1569.8,vendor:auto|vendor:auto,native:blocked|native:blocked,4.83e-07,6.63e-07,8192,0
getri,cfloat,512,512,107.5486,34.5557,3.112,852.0,2651.6,vendor:auto|vendor:auto,native:blocked|native:blocked,6.91e-07,4.28e-07,2048,0
getri,cfloat,1024,128,277.5252,45.7085,6.072,660.3,4009.1,vendor:auto|vendor:auto,native:blocked|native:blocked,8.38e-07,6.42e-07,512,0
getri,cfloat,2048,32,1740.8797,67.3244,25.858,210.5,5443.9,vendor:auto|vendor:auto,native:blocked|native:blocked,1.14e-06,7.40e-07,512,0
getri,double,32,8192,0.8902,3.8811,0.229,402.1,92.2,vendor:auto|vendor:auto,native:cta|native:blocked,6.81e-16,5.68e-16,32768,0
getri,double,64,8192,5.1864,9.7899,0.530,552.1,292.5,vendor:auto|vendor:auto,native:blocked|native:blocked,1.02e-15,7.94e-16,32768,0
getri,double,128,4096,17.1773,19.0342,0.902,666.8,601.7,vendor:auto|vendor:auto,native:blocked|native:blocked,1.13e-15,1.25e-15,16384,0
getri,double,256,2048,66.5255,57.1443,1.164,688.6,801.7,vendor:auto|vendor:auto,native:blocked|native:blocked,1.68e-15,1.79e-15,8192,0
getri,double,512,512,140.3012,108.3449,1.295,653.1,845.7,vendor:auto|vendor:auto,native:blocked|native:blocked,3.00e-15,2.55e-15,2048,0
getri,double,1024,128,242.6533,209.1047,1.160,755.2,876.4,vendor:auto|vendor:auto,native:blocked|native:blocked,4.11e-15,3.89e-15,512,0
getri,double,2048,32,1756.8944,412.0162,4.264,208.6,889.5,vendor:auto|vendor:auto,native:blocked|native:blocked,6.11e-15,5.77e-15,512,0
getri,float,32,8192,0.3526,0.6256,0.564,1015.0,572.1,vendor:auto|vendor:auto,native:cta|native:blocked,2.84e-07,2.82e-07,32768,0
getri,float,64,8192,1.7167,1.9998,0.858,1668.0,1431.8,vendor:auto|vendor:auto,native:cta|native:blocked,3.21e-07,3.14e-07,32768,0
getri,float,128,4096,5.4005,4.2400,1.274,2120.8,2701.2,vendor:auto|vendor:auto,native:cta|native:blocked,3.53e-07,7.78e-07,16384,0
getri,float,256,2048,41.6235,14.4117,2.888,1100.7,3178.9,vendor:auto|vendor:auto,native:blocked|native:blocked,3.79e-07,3.35e-07,8192,0
getri,float,512,512,69.3968,16.8000,4.131,1320.3,5453.9,vendor:auto|vendor:auto,native:blocked|native:blocked,5.17e-07,4.36e-07,2048,0
getri,float,1024,128,216.8045,23.9141,9.066,845.2,7662.9,vendor:auto|vendor:auto,native:blocked|native:blocked,6.33e-07,6.98e-07,512,0
getri,float,2048,32,1472.7937,43.3916,33.942,248.8,8446.4,vendor:auto|vendor:auto,native:blocked|native:blocked,9.36e-07,8.95e-07,512,0
getrs,cdouble,32,8192,1.2976,13.9988,0.093,12.9,1.2,vendor:auto|vendor:auto,native:cta|native:blocked,5.73e-16,4.56e-16,0,0
getrs,cdouble,64,8192,3.4400,31.3279,0.110,19.5,2.1,vendor:auto|vendor:auto,native:cta|native:blocked,5.91e-16,8.62e-16,0,0
getrs,cdouble,128,4096,4.1048,41.2516,0.100,32.7,3.2,vendor:auto|vendor:auto,native:blocked|native:blocked,1.06e-15,7.86e-16,0,0
getrs,cdouble,256,2048,5.4495,63.4295,0.086,49.3,4.2,vendor:auto|vendor:auto,native:blocked|native:blocked,1.14e-15,1.16e-15,0,0
getrs,cdouble,512,512,4.5234,54.3756,0.083,59.3,4.9,vendor:auto|vendor:auto,native:blocked|native:blocked,1.87e-15,1.87e-15,0,0
getrs,cdouble,1024,128,6.7124,44.7231,0.150,40.0,6.0,vendor:auto|vendor:auto,native:blocked|native:blocked,2.38e-15,2.48e-15,0,0
