== vendor arm: AFTER / BEFORE, getrf and getri
op     type     n      batch       before      after    ratio route(after)
getrf  cdouble  32     32          0.0797     0.0795    0.997 vendor:auto
getrf  cdouble  32     1024        0.1902     0.1904    1.001 vendor:auto
getrf  cdouble  64     32          0.2269     0.2271    1.001 vendor:auto
getrf  cdouble  64     1024        1.2415     1.2399    0.999 vendor:auto
getrf  cdouble  128    32          1.0128     1.0130    1.000 vendor:auto
getrf  cdouble  128    1024        6.3397     6.3505    1.002 vendor:auto
getrf  cdouble  256    32          6.2374     6.2375    1.000 vendor:auto
getrf  cdouble  256    1024       43.1445    43.2020    1.001 vendor:auto
getrf  cdouble  512    32         44.1355    44.1066    0.999 vendor:auto
getrf  cdouble  512    1024      317.9309   317.1160    0.997 vendor:auto
getrf  cdouble  1024   32        333.6628   333.5885    1.000 vendor:auto
getrf  cdouble  2048   32       2588.8991  2593.6531    1.002 vendor:auto
getrf  cfloat   32     32          0.0362     0.0361    0.997 vendor:auto
getrf  cfloat   32     1024        0.0412     0.0414    1.005 vendor:auto
getrf  cfloat   64     32          0.0846     0.0849    1.004 vendor:auto
getrf  cfloat   64     1024        0.3693     0.3726    1.009 vendor:auto
getrf  cfloat   128    32          0.2484     0.2490    1.002 vendor:auto
getrf  cfloat   128    1024        1.9183     1.9047    0.993 vendor:auto
getrf  cfloat   256    32          1.1864     1.1857    0.999 vendor:auto
getrf  cfloat   256    1024       20.2901    20.3113    1.001 vendor:auto
getrf  cfloat   512    32          8.4441     8.1945    0.970 vendor:auto
getrf  cfloat   512    1024      153.1457   152.6403    0.997 vendor:auto
getrf  cfloat   1024   32         74.1108    73.9619    0.998 vendor:auto
getrf  cfloat   2048   32        565.6264   565.5639    1.000 vendor:auto
getrf  double   32     32          0.0554     0.0556    1.004 vendor:auto
getrf  double   32     1024        0.0886     0.0869    0.981 vendor:auto
getrf  double   64     32          0.1287     0.1289    1.002 vendor:auto
getrf  double   64     1024        0.5326     0.5338    1.002 vendor:auto
getrf  double   128    32          0.4506     0.4485    0.995 vendor:auto
getrf  double   128    1024        2.6243     2.6092    0.994 vendor:auto
getrf  double   256    32          2.3352     2.3366    1.001 vendor:auto
getrf  double   256    1024       21.5376    21.7057    1.008 vendor:auto
getrf  double   512    32         12.1232    12.1236    1.000 vendor:auto
getrf  double   512    1024      112.8056   113.2448    1.004 vendor:auto
getrf  double   1024   32         79.6650    79.7562    1.001 vendor:auto
getrf  double   2048   32        588.2995   588.0931    1.000 vendor:auto
getrf  float    32     32          0.0330     0.0329    0.997 vendor:auto
getrf  float    32     1024        0.0376     0.0351    0.934 vendor:auto   <-- MOVED
getrf  float    64     32          0.0810     0.0814    1.005 vendor:auto
getrf  float    64     1024        0.4062     0.4184    1.030 vendor:auto
getrf  float    128    32          0.2343     0.2345    1.001 vendor:auto
getrf  float    128    1024        1.7147     1.7207    1.003 vendor:auto
getrf  float    256    32          1.2057     1.2050    0.999 vendor:auto
getrf  float    256    1024       17.1158    17.6430    1.031 vendor:auto
getrf  float    512    32          7.0422     7.0306    0.998 vendor:auto
getrf  float    512    1024      132.2709   134.5231    1.017 vendor:auto
getrf  float    1024   32         64.0448    63.5344    0.992 vendor:auto
getrf  float    2048   32        519.3576   518.9734    0.999 vendor:auto
getri  cdouble  32     32          0.0925     0.0897    0.970 vendor:auto|vendor:auto
getri  cdouble  32     1024        0.4434     0.4434    1.000 vendor:auto|vendor:auto
getri  cdouble  64     32          0.4125     0.4133    1.002 vendor:auto|vendor:auto
getri  cdouble  64     1024        2.5931     2.5933    1.000 vendor:auto|vendor:auto
getri  cdouble  128    32          2.4804     2.4903    1.004 vendor:auto|vendor:auto
getri  cdouble  128    1024       17.1929    17.1960    1.000 vendor:auto|vendor:auto
getri  cdouble  256    32         17.0192    17.0639    1.003 vendor:auto|vendor:auto
getri  cdouble  256    1024      123.1520   123.1774    1.000 vendor:auto|vendor:auto
getri  cdouble  512    32        126.7546   127.1045    1.003 vendor:auto|vendor:auto
getri  cdouble  512    1024      930.1892   932.6097    1.003 vendor:auto|vendor:auto
getri  cdouble  1024   32        977.8593   979.9901    1.002 vendor:auto|vendor:auto
getri  cdouble  2048   32       7670.9565  7684.0557    1.002 vendor:auto|vendor:auto
getri  cfloat   32     32          0.0365     0.0361    0.989 vendor:auto|vendor:auto
getri  cfloat   32     1024        0.0696     0.0697    1.001 vendor:auto|vendor:auto
getri  cfloat   64     32          0.1010     0.1019    1.009 vendor:auto|vendor:auto
getri  cfloat   64     1024        0.2762     0.2805    1.016 vendor:auto|vendor:auto
getri  cfloat   128    32          0.4974     0.4983    1.002 vendor:auto|vendor:auto
