== grid : 168 cells usable, 0 skipped
   shipped vendor-free route: 83 cells FUSED, 85 cells COMPOSITION

type     n      nrhs   batch       cuBLAS     BEFORE      AFTER arm             b/cub    a/cub
float    32     1      8192        0.1234     0.6154     0.0503 fused           0.201    2.453
float    32     2      8192        0.1316     0.6121     0.0700 fused           0.215    1.880
float    32     4      8192        0.1513     0.6315     0.1122 fused           0.240    1.348
float    32     16     8192        0.3962     0.7923     0.7923 composition     0.500    0.500
float    32     64     8192        2.0275     1.5014     1.5014 composition     1.350    1.350
float    32     128    8192        5.2949     2.5230     2.5230 composition     2.099    2.099
float    64     1      8192        0.3073     1.4439     0.1787 fused           0.213    1.720
float    64     2      8192        0.3261     1.4378     0.2024 fused           0.227    1.611
float    64     4      8192        0.3833     1.4873     0.2796 fused           0.258    1.371
float    64     16     8192        0.9723     2.1011     2.1011 composition     0.463    0.463
float    64     64     8192        8.2213     3.6906     3.6906 composition     2.228    2.228
float    64     128    8192       19.8586     6.3326     6.3326 composition     3.136    3.136
float    128    1      4096        0.6366     1.7971     0.3479 fused           0.354    1.830
float    128    2      4096        0.6394     1.7844     0.3542 fused           0.358    1.805
float    128    4      4096        0.7082     1.7894     0.4165 fused           0.396    1.700
float    128    16     4096        1.3048     2.3119     2.3119 composition     0.564    0.564
float    128    64     4096        8.7511     5.4444     5.4444 composition     1.607    1.607
float    128    128    4096       22.0759     9.4418     9.4418 composition     2.338    2.338
float    256    1      2048        1.3174     2.5947     0.6917 fused           0.508    1.905
float    256    2      2048        1.3219     2.5735     0.6725 fused           0.514    1.966
float    256    4      2048        1.3502     2.5930     0.7763 fused           0.521    1.739
float    256    16     2048        2.0661     3.1764     3.1764 composition     0.650    0.650
float    256    64     2048        8.9331     8.1632     8.1632 composition     1.094    1.094
float    256    128    2048       31.5133    19.5917    19.5917 composition     1.609    1.609
float    512    1      512         1.4427     2.5491     0.6498 fused           0.566    2.220
float    512    2      512         1.4186     2.4946     0.6507 fused           0.569    2.180
float    512    4      512         1.4139     2.4946     0.7468 fused           0.567    1.893
float    512    16     512         1.7755     2.6983     2.6983 composition     0.658    0.658
float    512    64     512         4.7980     3.4772     3.4772 composition     1.380    1.380
float    512    128    512        10.5548     8.3143     8.3143 composition     1.269    1.269
float    1024   1      128         1.8944     2.9240     0.7682 fused           0.648    2.466
float    1024   2      128         2.0918     3.1443     0.8067 fused           0.665    2.593
float    1024   4      128         2.0680     3.7215     1.1065 fused           0.556    1.869
float    1024   16     128         2.6004     3.9296     3.9296 composition     0.662    0.662
float    1024   64     128         6.5284     4.0645     4.0645 composition     1.606    1.606
float    1024   128    128        11.8538     5.3551     5.3551 composition     2.214    2.214
float    2048   1      32          2.9304     4.8532     1.2883 fused           0.604    2.275
float    2048   2      32          2.9940     4.9181     1.2297 fused           0.609    2.435
float    2048   4      32          3.1347     5.1335     2.0546 fused           0.611    1.526
float    2048   16     32          4.5233     6.9542     6.9542 composition     0.650    0.650
float    2048   64     32         12.1517     8.6683     8.6683 composition     1.402    1.402
float    2048   128    32         21.7933     9.3741     9.3741 composition     2.325    2.325
double   32     1      8192        0.7171     3.7656     0.1868 fused           0.190    3.839
double   32     2      8192        0.7254     3.7658     0.3539 fused           0.193    2.050
double   32     4      8192        0.5904     3.7945     0.6980 fused           0.156    0.846
double   32     16     8192        0.9695     3.9857     3.9857 composition     0.243    0.243
double   32     64     8192        6.0750     4.8838     4.8838 composition     1.244    1.244
double   32     128    8192       13.6998     5.9519     5.9519 composition     2.302    2.302
double   64     1      8192        1.6483     8.0164     0.4520 fused           0.206    3.647
double   64     2      8192        1.6657     8.0077     0.7672 fused           0.208    2.171
double   64     4      8192        1.4076     8.0645     1.5248 fused           0.175    0.923
double   64     16     8192        2.5295     8.5700     8.5700 composition     0.295    0.295
double   64     64     8192       16.7768    12.4047    12.4047 composition     1.352    1.352
double   64     128    8192       34.6247    16.9215    16.9215 composition     2.046    2.046
