== cuBLAS : wp6_lu getrs_vendor.csv against this directory's vendor arm
type     n      nrhs   batch          wp6       here here/wp6
cdouble  64     1      8192        3.4448     3.4530   1.0024
cdouble  64     64     8192       43.3298    43.3397   1.0002
cdouble  256    1      2048        5.4505     5.4655   1.0028
cdouble  256    64     2048       80.8434    80.8881   1.0006
cdouble  512    1      256         3.4263     3.4222   0.9988
cdouble  512    1      512         4.5217     4.5269   1.0012
cdouble  512    2      256         8.5410     8.5429   1.0002
cdouble  512    8      64          3.8544     3.8546   1.0001
cdouble  512    8      128         5.4808     5.4155   0.9881
cdouble  512    8      256         8.5440     8.5449   1.0001
cdouble  512    8      512        14.7730    14.7929   1.0013
cdouble  512    8      1024       28.8017    28.9215   1.0042
cdouble  512    64     512        67.8717    67.9211   1.0007
cdouble  1024   1      128         6.7180     6.7100   0.9988
cdouble  1024   64     128        64.4428    64.4771   1.0005
cdouble  2048   1      32         11.1155    11.1235   1.0007
cdouble  2048   64     32         71.4935    71.4975   1.0001
cfloat   64     1      8192        0.4376     0.4365   0.9975
cfloat   64     64     8192       11.2119    11.2997   1.0078
cfloat   256    1      2048        1.7665     1.7635   0.9983
cfloat   256    64     2048       14.1080    14.1023   0.9996
cfloat   512    1      256         1.3736     1.3524   0.9846
cfloat   512    1      512         1.9524     1.9541   1.0009
cfloat   512    2      256         1.3567     1.3620   1.0039
cfloat   512    8      256         1.3794     1.3826   1.0023
cfloat   512    64     512         7.1182     7.1401   1.0031
cfloat   1024   1      128         2.4763     2.4778   1.0006
cfloat   1024   64     128         7.5893     7.6065   1.0023
cfloat   2048   1      32          3.5207     3.5222   1.0004
cfloat   2048   64     32         13.1417    13.1607   1.0014
double   64     1      8192        1.6478     1.6483   1.0003
double   64     64     8192       16.7894    16.7768   0.9992
double   256    1      2048        2.7735     2.7832   1.0035
double   256    64     2048       26.8568    26.9233   1.0025
double   512    1      256         2.0080     1.9805   0.9863
double   512    1      512         2.5158     2.5172   1.0006
double   512    2      256         3.4188     3.4170   0.9995
double   512    8      256         3.1870     3.1886   1.0005
double   512    64     512        19.8244    19.8333   1.0004
double   1024   1      128         3.7544     3.7526   0.9995
double   1024   64     128        20.2513    20.2407   0.9995
double   2048   1      32          6.1971     6.1909   0.9990
double   2048   64     32         26.1506    26.1471   0.9999
float    64     1      8192        0.3090     0.3073   0.9945
float    64     64     8192        8.3264     8.2213   0.9874
float    256    1      2048        1.3358     1.3174   0.9862
float    256    64     2048        8.9156     8.9331   1.0020
float    512    1      256         1.1013     1.1019   1.0005
float    512    1      512         1.4490     1.4427   0.9957
float    512    2      256         1.0620     1.0671   1.0048
float    512    8      64          0.7232     0.7022   0.9710
float    512    8      128         0.8401     0.8413   1.0014
float    512    8      256         1.0155     1.0190   1.0034
float    512    8      512         1.4443     1.4157   0.9802
float    512    8      1024        2.3496     2.3342   0.9934
float    512    64     512         4.8176     4.7980   0.9959
float    1024   1      128         1.8833     1.8944   1.0059
float    1024   64     128         6.5479     6.5284   0.9970
float    2048   1      32          2.9333     2.9304   0.9990
float    2048   64     32         12.1488    12.1517   1.0002
   60 shared cells, worst disagreement 2.90 %, 0 cells above 5 %

== the composition (BEFORE) : wp6_lu getrs_native.csv against this directory's blocked arm
type     n      nrhs   batch          wp6       here here/wp6
cdouble  64     1      8192       31.3276    31.4547   1.0041
cdouble  64     64     8192       51.1314    51.2257   1.0018
cdouble  256    1      2048       63.4283    63.4671   1.0006
cdouble  256    64     2048      103.5203   103.5498   1.0003
cdouble  512    1      512        54.3779    54.4051   1.0005
cdouble  512    8      512        54.3361    54.3509   1.0003
cdouble  512    64     512        76.3395    76.3730   1.0004
cdouble  1024   1      128        44.7267    44.7590   1.0007
cdouble  1024   64     128        59.2491    59.2539   1.0001
cdouble  2048   1      32         50.8876    50.9048   1.0003
cdouble  2048   64     32        182.0607   182.0211   0.9998
cfloat   64     1      8192        2.7518     2.7604   1.0031
cfloat   64     64     8192        9.0212     9.0356   1.0016
cfloat   256    1      2048        4.9372     4.9438   1.0013
cfloat   256    64     2048       15.0820    15.1312   1.0033
cfloat   512    1      512         4.6155     4.6205   1.0011
cfloat   512    64     512         8.1244     8.1338   1.0012
cfloat   1024   1      128         4.5009     4.5043   1.0008
cfloat   1024   64     128         6.7874     6.8344   1.0069
cfloat   2048   1      32          7.2673     7.2750   1.0011
cfloat   2048   64     32         12.1755    12.2195   1.0036
double   64     1      8192        7.9773     8.0164   1.0049
double   64     64     8192       12.3521    12.4047   1.0043
double   256    1      2048       10.8181    10.8629   1.0041
double   256    64     2048       26.9351    27.0066   1.0027
double   512    1      512         7.8034     7.8318   1.0036
double   512    64     512        18.8578    18.8487   0.9995
double   1024   1      128         5.5442     5.5554   1.0020
double   1024   64     128        16.1815    16.1876   1.0004
double   2048   1      32          8.4058     8.4451   1.0047
double   2048   64     32         21.0717    21.1758   1.0049
float    64     1      8192        1.4419     1.4439   1.0014
float    64     64     8192        3.6826     3.6906   1.0022
float    256    1      2048        2.5920     2.5947   1.0010
float    256    64     2048        8.1018     8.1632   1.0076
float    512    1      512         2.5511     2.5491   0.9992
float    512    8      512         2.5242     2.5295   1.0021
float    512    64     512         3.4812     3.4772   0.9989
float    1024   1      128         2.9125     2.9240   1.0039
float    1024   64     128         4.0453     4.0645   1.0047
float    2048   1      32          4.8396     4.8532   1.0028
float    2048   64     32          8.6428     8.6683   1.0030
   42 shared cells, worst disagreement 0.76 %, 0 cells above 5 %

