arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,float,64,64,4096,N,vendor:auto,0.02089,0.02091,0.0070,3312.9,3.487,0.00e+00,64
native:direct,float,64,64,4096,N,native:direct,0.01945,0.01951,0.0089,3557.8,3.745,0.00e+00,64
vendor,double,64,64,4096,N,vendor:auto,0.14946,0.14962,0.0022,926.1,0.975,0.00e+00,64
native:direct,double,64,64,4096,N,native:direct,0.15604,0.15617,0.0025,887.0,0.934,0.00e+00,64
vendor,cfloat,64,64,4096,N,vendor:auto,0.13484,0.13485,0.0014,1026.5,1.080,0.00e+00,64
native:direct,cfloat,64,64,4096,N,native:direct,0.15548,0.15540,0.0019,890.2,0.937,0.00e+00,64
vendor,cdouble,64,64,4096,N,vendor:auto,0.29264,0.29262,0.0012,946.0,0.996,0.00e+00,64
native:direct,cdouble,64,64,4096,N,native:direct,0.30706,0.30657,0.0047,901.5,0.949,0.00e+00,64
vendor,float,64,64,4096,T,vendor:auto,0.06503,0.06507,0.0025,1064.2,1.120,0.00e+00,64
native:direct,float,64,64,4096,T,native:direct,0.05498,0.05562,0.0331,1258.6,1.325,0.00e+00,64
native:cta,float,64,64,4096,T,native:cta,0.04021,0.04032,0.0077,1721.1,1.812,0.00e+00,64
vendor,double,64,64,4096,T,vendor:auto,0.14923,0.14923,0.0011,927.5,0.976,0.00e+00,64
native:direct,double,64,64,4096,T,native:direct,0.27419,0.27428,0.0027,504.8,0.531,0.00e+00,64
native:cta,double,64,64,4096,T,native:cta,0.15383,0.15387,0.0013,899.8,0.947,0.00e+00,64
vendor,cfloat,64,64,4096,T,vendor:auto,0.14755,0.14757,0.0008,938.1,0.987,0.00e+00,64
native:direct,cfloat,64,64,4096,T,native:direct,0.26949,0.26964,0.0056,513.6,0.541,0.00e+00,64
native:cta,cfloat,64,64,4096,T,native:cta,0.15370,0.15370,0.0009,900.5,0.948,0.00e+00,64
vendor,cdouble,64,64,4096,T,vendor:auto,0.29196,0.29188,0.0013,948.2,0.998,0.00e+00,64
native:direct,cdouble,64,64,4096,T,native:direct,1.05325,1.07336,0.0518,262.8,0.277,0.00e+00,64
native:cta,cdouble,64,64,4096,T,native:cta,0.39108,0.39106,0.0004,707.9,0.745,0.00e+00,64
vendor,float,64,64,4096,C,vendor:auto,0.06639,0.06648,0.0022,1042.4,1.097,0.00e+00,64
native:direct,float,64,64,4096,C,native:direct,0.05469,0.05531,0.0337,1265.4,1.332,0.00e+00,64
native:cta,float,64,64,4096,C,native:cta,0.04045,0.04042,0.0022,1710.8,1.801,0.00e+00,64
vendor,double,64,64,4096,C,vendor:auto,0.14894,0.14896,0.0009,929.3,0.978,0.00e+00,64
native:direct,double,64,64,4096,C,native:direct,0.27352,0.27365,0.0021,506.0,0.533,0.00e+00,64
native:cta,double,64,64,4096,C,native:cta,0.15374,0.15380,0.0012,900.3,0.948,0.00e+00,64
vendor,cfloat,64,64,4096,C,vendor:auto,0.14737,0.14747,0.0014,939.2,0.989,0.00e+00,64
native:direct,cfloat,64,64,4096,C,native:direct,0.26899,0.26894,0.0035,514.6,0.542,0.00e+00,64
native:cta,cfloat,64,64,4096,C,native:cta,0.15333,0.15334,0.0012,902.7,0.950,0.00e+00,64
vendor,cdouble,64,64,4096,C,vendor:auto,0.29193,0.29201,0.0011,948.3,0.998,0.00e+00,64
native:direct,cdouble,64,64,4096,C,native:direct,1.05466,1.05460,0.0020,262.5,0.276,0.00e+00,64
native:cta,cdouble,64,64,4096,C,native:cta,0.39120,0.42913,0.1659,707.6,0.745,0.00e+00,64
vendor,float,128,128,2048,N,vendor:auto,0.15269,0.15289,0.0046,892.8,0.940,0.00e+00,128
native:direct,float,128,128,2048,N,native:direct,0.15177,0.15177,0.0021,898.2,0.945,0.00e+00,128
vendor,double,128,128,2048,N,vendor:auto,0.29175,0.29180,0.0015,934.5,0.984,0.00e+00,128
native:direct,double,128,128,2048,N,native:direct,0.29554,0.29529,0.0021,922.5,0.971,0.00e+00,128
vendor,cfloat,128,128,2048,N,vendor:auto,0.29624,0.33602,0.2226,920.3,0.969,0.00e+00,128
native:direct,cfloat,128,128,2048,N,native:direct,0.29687,0.31559,0.1677,918.4,0.967,0.00e+00,128
vendor,cdouble,128,128,2048,N,vendor:auto,0.59125,0.59146,0.0029,922.2,0.971,0.00e+00,128
native:direct,cdouble,128,128,2048,N,native:direct,0.58845,0.58776,0.0019,926.6,0.975,0.00e+00,128
vendor,float,128,128,2048,T,vendor:auto,0.15199,0.15207,0.0012,896.9,0.944,0.00e+00,128
native:direct,float,128,128,2048,T,native:direct,0.26197,0.26240,0.0030,520.3,0.548,0.00e+00,128
native:cta,float,128,128,2048,T,native:cta,0.15073,0.15074,0.0008,904.4,0.952,0.00e+00,128
vendor,double,128,128,2048,T,vendor:auto,0.29060,0.29094,0.0022,938.2,0.988,0.00e+00,128
native:direct,double,128,128,2048,T,native:direct,1.04099,1.04108,0.0013,261.9,0.276,0.00e+00,128
native:cta,double,128,128,2048,T,native:cta,0.29825,0.29872,0.0037,914.1,0.962,0.00e+00,128
vendor,cfloat,128,128,2048,T,vendor:auto,0.28722,0.28731,0.0008,949.2,0.999,0.00e+00,128
native:direct,cfloat,128,128,2048,T,native:direct,1.04538,1.04792,0.0089,260.8,0.275,0.00e+00,128
native:cta,cfloat,128,128,2048,T,native:cta,0.29687,0.29692,0.0008,918.3,0.967,0.00e+00,128
vendor,cdouble,128,128,2048,T,vendor:auto,0.59408,0.59471,0.0032,917.8,0.966,0.00e+00,128
native:direct,cdouble,128,128,2048,T,native:direct,2.07138,2.11124,0.0372,263.2,0.277,0.00e+00,128
native:cta,cdouble,128,128,2048,T,native:cta,0.59415,0.59393,0.0008,917.7,0.966,0.00e+00,128
vendor,float,128,128,2048,C,vendor:auto,0.15233,0.15231,0.0004,894.8,0.942,0.00e+00,128
native:direct,float,128,128,2048,C,native:direct,0.26259,0.26268,0.0024,519.1,0.546,0.00e+00,128
native:cta,float,128,128,2048,C,native:cta,0.15122,0.20602,0.3776,901.4,0.949,0.00e+00,128
vendor,double,128,128,2048,C,vendor:auto,0.28985,0.31057,0.1892,940.6,0.990,0.00e+00,128
native:direct,double,128,128,2048,C,native:direct,1.03965,1.04000,0.0010,262.2,0.276,0.00e+00,128
native:cta,double,128,128,2048,C,native:cta,0.29820,0.29821,0.0012,914.3,0.962,0.00e+00,128
vendor,cfloat,128,128,2048,C,vendor:auto,0.28912,0.28926,0.0009,943.0,0.993,0.00e+00,128
native:direct,cfloat,128,128,2048,C,native:direct,1.04292,1.04264,0.0034,261.4,0.275,0.00e+00,128
native:cta,cfloat,128,128,2048,C,native:cta,0.29689,0.29693,0.0004,918.3,0.967,0.00e+00,128
vendor,cdouble,128,128,2048,C,vendor:auto,0.61639,0.61637,0.0056,884.6,0.931,0.00e+00,128
native:direct,cdouble,128,128,2048,C,native:direct,2.07171,2.11571,0.0380,263.2,0.277,0.00e+00,128
native:cta,cdouble,128,128,2048,C,native:cta,0.59404,0.59418,0.0009,917.9,0.966,0.00e+00,128
vendor,float,256,256,1024,N,vendor:auto,0.29461,0.29460,0.0010,918.3,0.967,0.00e+00,256
native:direct,float,256,256,1024,N,native:direct,0.29279,0.29288,0.0014,924.0,0.973,0.00e+00,256
vendor,double,256,256,1024,N,vendor:auto,0.58010,0.58007,0.0007,932.7,0.982,0.00e+00,256
native:direct,double,256,256,1024,N,native:direct,0.57551,0.57546,0.0006,940.2,0.990,0.00e+00,256
vendor,cfloat,256,256,1024,N,vendor:auto,0.57792,0.57798,0.0004,936.2,0.986,0.00e+00,256
native:direct,cfloat,256,256,1024,N,native:direct,0.57976,0.57981,0.0008,933.3,0.982,0.00e+00,256
vendor,cdouble,256,256,1024,N,vendor:auto,1.15456,1.19520,0.0650,937.3,0.987,0.00e+00,256
native:direct,cdouble,256,256,1024,N,native:direct,1.15537,1.19244,0.0625,936.6,0.986,0.00e+00,256
vendor,float,256,256,1024,T,vendor:auto,0.29502,0.29506,0.0010,917.0,0.965,0.00e+00,256
native:direct,float,256,256,1024,T,native:direct,1.02025,1.02086,0.0030,265.2,0.279,0.00e+00,256
native:cta,float,256,256,1024,T,native:cta,0.29429,0.31776,0.2087,919.3,0.968,0.00e+00,256
vendor,double,256,256,1024,T,vendor:auto,0.56748,0.56752,0.0004,953.5,1.004,0.00e+00,256
native:direct,double,256,256,1024,T,native:direct,2.06439,2.06440,0.0021,262.1,0.276,0.00e+00,256
native:cta,double,256,256,1024,T,native:cta,0.58123,0.58138,0.0012,930.9,0.980,0.00e+00,256
vendor,cfloat,256,256,1024,T,vendor:auto,0.58123,0.58122,0.0005,930.9,0.980,0.00e+00,256
native:direct,cfloat,256,256,1024,T,native:direct,2.07124,2.11369,0.0422,261.2,0.275,0.00e+00,256
native:cta,cfloat,256,256,1024,T,native:cta,0.58132,0.58139,0.0007,930.7,0.980,0.00e+00,256
vendor,cdouble,256,256,1024,T,vendor:auto,3.33876,3.38735,0.0360,324.1,0.341,0.00e+00,256
native:direct,cdouble,256,256,1024,T,native:direct,4.31927,4.38013,0.0401,250.5,0.264,0.00e+00,256
native:cta,cdouble,256,256,1024,T,native:cta,1.16223,1.16237,0.0008,931.1,0.980,0.00e+00,256
vendor,float,256,256,1024,C,vendor:auto,0.29510,0.29508,0.0008,916.7,0.965,0.00e+00,256
native:direct,float,256,256,1024,C,native:direct,1.01553,1.01658,0.0027,266.4,0.280,0.00e+00,256
native:cta,float,256,256,1024,C,native:cta,0.29297,0.29298,0.0007,923.4,0.972,0.00e+00,256
vendor,double,256,256,1024,C,vendor:auto,0.56785,0.56776,0.0005,952.8,1.003,0.00e+00,256
native:direct,double,256,256,1024,C,native:direct,2.06222,2.08016,0.0256,262.4,0.276,0.00e+00,256
native:cta,double,256,256,1024,C,native:cta,0.58081,0.58075,0.0006,931.6,0.981,0.00e+00,256
vendor,cfloat,256,256,1024,C,vendor:auto,0.58137,0.58141,0.0010,930.7,0.980,0.00e+00,256
native:direct,cfloat,256,256,1024,C,native:direct,2.09706,2.12329,0.0425,258.0,0.272,0.00e+00,256
native:cta,cfloat,256,256,1024,C,native:cta,0.58007,0.58015,0.0004,932.8,0.982,0.00e+00,256
vendor,cdouble,256,256,1024,C,vendor:auto,3.50132,3.51572,0.0188,309.1,0.325,0.00e+00,256
native:direct,cdouble,256,256,1024,C,native:direct,4.32690,4.40897,0.0391,250.1,0.263,0.00e+00,256
native:cta,cdouble,256,256,1024,C,native:cta,1.16139,1.16162,0.0007,931.8,0.981,0.00e+00,256
vendor,float,512,512,512,N,vendor:auto,0.57497,0.57503,0.0008,937.4,0.987,0.00e+00,512
native:direct,float,512,512,512,N,native:direct,0.57581,0.57577,0.0027,936.0,0.985,0.00e+00,512
vendor,double,512,512,512,N,vendor:auto,1.14094,1.14120,0.0007,944.8,0.995,0.00e+00,512
native:direct,double,512,512,512,N,native:direct,1.13604,1.13713,0.0028,948.9,0.999,0.00e+00,512
vendor,cfloat,512,512,512,N,vendor:auto,1.13843,1.13838,0.0003,946.9,0.997,0.00e+00,512
native:direct,cfloat,512,512,512,N,native:direct,1.14601,1.18540,0.0636,940.6,0.990,0.00e+00,512
vendor,cdouble,512,512,512,N,vendor:auto,2.27682,2.29798,0.0265,946.9,0.997,0.00e+00,512
native:direct,cdouble,512,512,512,N,native:direct,2.29314,2.29050,0.0028,940.1,0.990,0.00e+00,512
vendor,float,512,512,512,T,vendor:auto,0.57679,0.57709,0.0011,934.4,0.984,0.00e+00,512
native:direct,float,512,512,512,T,native:direct,2.05398,2.05552,0.0021,262.4,0.276,0.00e+00,512
native:cta,float,512,512,512,T,native:cta,0.57574,0.61598,0.1230,936.1,0.985,0.00e+00,512
vendor,double,512,512,512,T,vendor:auto,1.12698,1.12702,0.0003,956.5,1.007,0.00e+00,512
native:direct,double,512,512,512,T,native:direct,4.30428,4.38966,0.0407,250.4,0.264,0.00e+00,512
native:cta,double,512,512,512,T,native:cta,1.14262,1.14289,0.0006,943.4,0.993,0.00e+00,512
vendor,cfloat,512,512,512,T,vendor:auto,1.14414,1.14428,0.0003,942.1,0.992,0.00e+00,512
native:direct,cfloat,512,512,512,T,native:direct,4.34680,4.41716,0.0429,248.0,0.261,0.00e+00,512
native:cta,cfloat,512,512,512,T,native:cta,1.14467,1.18545,0.0650,941.7,0.991,0.00e+00,512
vendor,cdouble,512,512,512,T,vendor:auto,2.31886,2.31801,0.0026,929.7,0.979,0.00e+00,512
native:direct,cdouble,512,512,512,T,native:direct,8.75835,8.87119,0.0205,246.2,0.259,0.00e+00,512
native:cta,cdouble,512,512,512,T,native:cta,2.29136,2.29160,0.0005,940.9,0.990,0.00e+00,512
vendor,float,512,512,512,C,vendor:auto,0.57752,0.59540,0.0851,933.2,0.982,0.00e+00,512
native:direct,float,512,512,512,C,native:direct,2.06524,2.06701,0.0035,261.0,0.275,0.00e+00,512
native:cta,float,512,512,512,C,native:cta,0.57503,0.61706,0.1274,937.3,0.987,0.00e+00,512
vendor,double,512,512,512,C,vendor:auto,1.12680,1.12679,0.0004,956.6,1.007,0.00e+00,512
native:direct,double,512,512,512,C,native:direct,4.30107,4.35519,0.0245,250.6,0.264,0.00e+00,512
native:cta,double,512,512,512,C,native:cta,1.14316,1.14310,0.0004,942.9,0.993,0.00e+00,512
vendor,cfloat,512,512,512,C,vendor:auto,1.14299,1.14308,0.0003,943.1,0.993,0.00e+00,512
native:direct,cfloat,512,512,512,C,native:direct,4.39000,4.44959,0.0399,245.5,0.258,0.00e+00,512
native:cta,cfloat,512,512,512,C,native:cta,1.14281,1.14295,0.0004,943.2,0.993,0.00e+00,512
vendor,cdouble,512,512,512,C,vendor:auto,2.51085,2.56862,0.0501,858.6,0.904,0.00e+00,512
native:direct,cdouble,512,512,512,C,native:direct,8.75577,8.91064,0.0327,246.2,0.259,0.00e+00,512
native:cta,cdouble,512,512,512,C,native:cta,2.29062,2.29045,0.0004,941.2,0.991,0.00e+00,512
vendor,float,1024,1024,256,N,vendor:auto,1.13634,1.17794,0.0666,946.8,0.997,0.00e+00,1024
native:direct,float,1024,1024,256,N,native:direct,1.14319,1.14233,0.0030,941.1,0.991,0.00e+00,1024
