arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,256,256,1,C,vendor:auto,0.00945,0.00947,0.0163,111.8,0.118,0.00e+00,256
native:cta,cdouble,256,256,1,C,native:cta,0.00720,0.00721,0.0062,146.8,0.155,0.00e+00,256
vendor,cdouble,256,256,8,C,vendor:auto,0.01203,0.01205,0.0062,702.8,0.740,0.00e+00,256
native:cta,cdouble,256,256,8,C,native:cta,0.01208,0.01209,0.0099,699.8,0.737,0.00e+00,256
vendor,cdouble,256,256,32,C,vendor:auto,0.02151,0.02150,0.0035,1572.3,1.655,0.00e+00,256
native:cta,cdouble,256,256,32,C,native:cta,0.03034,0.03092,0.0526,1114.5,1.173,0.00e+00,256
vendor,cdouble,256,256,64,C,vendor:auto,0.08453,0.08445,0.0094,800.1,0.842,0.00e+00,256
native:cta,cdouble,256,256,64,C,native:cta,0.05456,0.05482,0.0129,1239.6,1.305,0.00e+00,256
vendor,cdouble,256,256,128,C,vendor:auto,0.15428,0.17178,0.2857,876.8,0.923,0.00e+00,256
native:cta,cdouble,256,256,128,C,native:cta,0.15673,0.15661,0.0043,863.0,0.908,0.00e+00,256
vendor,cdouble,256,256,256,C,vendor:auto,0.29506,0.29505,0.0018,916.9,0.965,0.00e+00,256
native:cta,cdouble,256,256,256,C,native:cta,0.29995,0.30014,0.0038,901.9,0.949,0.00e+00,256
vendor,cdouble,256,256,512,C,vendor:auto,1.65900,1.70411,0.0516,326.1,0.343,0.00e+00,256
native:cta,cdouble,256,256,512,C,native:cta,0.58684,0.58694,0.0017,922.0,0.971,0.00e+00,256
vendor,cdouble,256,256,1024,C,vendor:auto,3.49063,3.53732,0.0320,310.0,0.326,0.00e+00,256
native:cta,cdouble,256,256,1024,C,native:cta,1.16080,1.16090,0.0005,932.2,0.981,0.00e+00,256
vendor,cdouble,256,256,2048,C,vendor:auto,7.12119,7.23638,0.0392,303.9,0.320,0.00e+00,256
native:cta,cdouble,256,256,2048,C,native:cta,2.31087,2.36388,0.0432,936.6,0.986,0.00e+00,256
vendor,cdouble,64,2048,1,C,vendor:auto,0.01081,0.01090,0.0121,197.2,0.208,0.00e+00,64
native:cta,cdouble,64,2048,1,C,native:cta,0.00915,0.00915,0.0093,232.9,0.245,0.00e+00,64
vendor,cdouble,64,2048,8,C,vendor:auto,0.01647,0.01666,0.0280,1035.1,1.090,0.00e+00,64
native:cta,cdouble,64,2048,8,C,native:cta,0.03019,0.03018,0.0025,564.8,0.594,0.00e+00,64
vendor,cdouble,64,2048,32,C,vendor:auto,0.03664,0.03677,0.0089,1860.8,1.959,0.00e+00,64
native:cta,cdouble,64,2048,32,C,native:cta,0.10189,0.10184,0.0013,669.2,0.704,0.00e+00,64
vendor,cdouble,64,2048,64,C,vendor:auto,0.39400,0.39439,0.0031,346.1,0.364,0.00e+00,64
native:cta,cdouble,64,2048,64,C,native:cta,0.19931,0.19933,0.0009,684.3,0.720,0.00e+00,64
vendor,cdouble,64,2048,128,C,vendor:auto,0.79148,0.79080,0.0056,344.6,0.363,0.00e+00,64
native:cta,cdouble,64,2048,128,C,native:cta,0.39070,0.39086,0.0011,698.1,0.735,0.00e+00,64
vendor,cdouble,64,2048,256,C,vendor:auto,1.56353,1.55609,0.0090,348.9,0.367,0.00e+00,64
native:cta,cdouble,64,2048,256,C,native:cta,0.77369,0.77371,0.0003,705.1,0.742,0.00e+00,64
vendor,cdouble,64,2048,512,C,vendor:auto,3.08223,3.12242,0.0390,354.0,0.373,0.00e+00,64
native:cta,cdouble,64,2048,512,C,native:cta,1.53997,1.57870,0.0464,708.5,0.746,0.00e+00,64
vendor,cdouble,64,2048,1024,C,vendor:auto,6.13620,6.10872,0.0201,355.6,0.374,0.00e+00,64
native:cta,cdouble,64,2048,1024,C,native:cta,3.07063,3.09922,0.0259,710.6,0.748,0.00e+00,64
vendor,cdouble,64,2048,2048,C,vendor:auto,12.27864,12.39551,0.0313,355.4,0.374,0.00e+00,64
native:cta,cdouble,64,2048,2048,C,native:cta,6.13329,6.25516,0.0262,711.6,0.749,0.00e+00,64
