arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,128,512,64,C,vendor:auto,0.03937,0.03919,0.0150,1721.3,1.812,0.00e+00,128
native:cta,cdouble,128,512,64,C,native:cta,0.07054,0.07055,0.0018,960.6,1.011,0.00e+00,128
vendor,cdouble,128,512,128,C,vendor:auto,0.15147,0.15148,0.0024,894.8,0.942,0.00e+00,128
native:cta,cdouble,128,512,128,C,native:cta,0.15765,0.15767,0.0029,859.7,0.905,0.00e+00,128
vendor,cdouble,128,512,256,C,vendor:auto,0.29313,0.29344,0.0022,924.7,0.973,0.00e+00,128
native:cta,cdouble,128,512,256,C,native:cta,0.30128,0.30126,0.0016,899.7,0.947,0.00e+00,128
vendor,cdouble,128,512,512,C,vendor:auto,1.63377,1.67278,0.0462,331.8,0.349,0.00e+00,128
native:cta,cdouble,128,512,512,C,native:cta,0.59055,0.59060,0.0013,918.0,0.966,0.00e+00,128
vendor,cdouble,64,256,128,C,vendor:auto,0.02447,0.02444,0.0082,1398.2,1.472,0.00e+00,64
native:cta,cdouble,64,256,128,C,native:cta,0.05389,0.05389,0.0025,634.8,0.668,0.00e+00,64
vendor,cdouble,64,256,256,C,vendor:auto,0.08835,0.08820,0.0125,774.4,0.815,0.00e+00,64
native:cta,cdouble,64,256,256,C,native:cta,0.10193,0.10190,0.0014,671.3,0.707,0.00e+00,64
vendor,cdouble,64,256,512,C,vendor:auto,0.33790,0.33659,0.0071,405.0,0.426,0.00e+00,64
native:cta,cdouble,64,256,512,C,native:cta,0.19946,0.19940,0.0007,686.0,0.722,0.00e+00,64
vendor,cdouble,64,256,1024,C,vendor:auto,0.73613,0.73684,0.0021,371.8,0.391,0.00e+00,64
native:cta,cdouble,64,256,1024,C,native:cta,0.39110,0.43078,0.1727,699.8,0.737,0.00e+00,64
