arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,48,64,20345,C,vendor:auto,1.05879,1.05887,0.0010,978.9,1.030,0.00e+00,48
native:cta,cdouble,48,64,20345,C,native:cta,2.24412,2.24410,0.0001,461.9,0.486,0.00e+00,48
vendor,cdouble,48,128,10172,C,vendor:auto,1.29330,1.32009,0.0809,795.3,0.837,0.00e+00,48
native:cta,cdouble,48,128,10172,C,native:cta,2.24414,2.24431,0.0003,458.3,0.482,0.00e+00,48
vendor,cdouble,48,256,5086,C,vendor:auto,1.35865,1.35383,0.0669,754.2,0.794,0.00e+00,48
native:cta,cdouble,48,256,5086,C,native:cta,2.24451,2.29492,0.0421,456.5,0.481,0.00e+00,48
vendor,cdouble,48,512,2543,C,vendor:auto,1.39274,1.37720,0.0788,734.3,0.773,0.00e+00,48
native:cta,cdouble,48,512,2543,C,native:cta,2.24475,2.24477,0.0001,455.6,0.480,0.00e+00,48
vendor,cdouble,48,1024,1271,C,vendor:auto,1.47799,1.48495,0.1220,691.0,0.727,0.00e+00,48
native:cta,cdouble,48,1024,1271,C,native:cta,2.24520,2.24532,0.0002,454.9,0.479,0.00e+00,48
vendor,cdouble,48,2048,635,C,vendor:auto,2.24580,2.26600,0.0366,454.2,0.478,0.00e+00,48
native:cta,cdouble,48,2048,635,C,native:cta,2.24327,2.31128,0.0556,454.7,0.479,0.00e+00,48
vendor,cdouble,64,64,15258,C,vendor:auto,1.05974,1.06148,0.0049,973.1,1.024,0.00e+00,64
native:cta,cdouble,64,64,15258,C,native:cta,1.43952,1.43929,0.0003,716.3,0.754,0.00e+00,64
vendor,cdouble,64,128,7629,C,vendor:auto,2.73519,2.80761,0.0564,374.2,0.394,0.00e+00,64
native:cta,cdouble,64,128,7629,C,native:cta,1.44003,1.44002,0.0005,710.7,0.748,0.00e+00,64
vendor,cdouble,64,256,3814,C,vendor:auto,2.71810,2.76542,0.0382,375.0,0.395,0.00e+00,64
native:cta,cdouble,64,256,3814,C,native:cta,1.43888,1.43904,0.0003,708.4,0.746,0.00e+00,64
vendor,cdouble,64,512,1907,C,vendor:auto,2.70972,2.76350,0.0357,375.5,0.395,0.00e+00,64
native:cta,cdouble,64,512,1907,C,native:cta,1.44014,1.44066,0.0008,706.5,0.744,0.00e+00,64
vendor,cdouble,64,1024,953,C,vendor:auto,2.71605,2.74138,0.0310,374.0,0.394,0.00e+00,64
native:cta,cdouble,64,1024,953,C,native:cta,1.43806,1.47581,0.0483,706.4,0.744,0.00e+00,64
vendor,cdouble,64,2048,476,C,vendor:auto,2.88894,2.85316,0.0188,351.1,0.370,0.00e+00,64
native:cta,cdouble,64,2048,476,C,native:cta,1.43667,1.43677,0.0004,706.0,0.743,0.00e+00,64
vendor,cdouble,96,64,10172,C,vendor:auto,1.13500,1.17385,0.0630,904.0,0.952,0.00e+00,96
native:cta,cdouble,96,64,10172,C,native:cta,1.12915,1.12918,0.0003,908.6,0.956,0.00e+00,96
vendor,cdouble,96,128,5086,C,vendor:auto,1.10879,1.10879,0.0007,918.3,0.967,0.00e+00,96
native:cta,cdouble,96,128,5086,C,native:cta,1.12882,1.12886,0.0003,902.0,0.949,0.00e+00,96
vendor,cdouble,96,256,2543,C,vendor:auto,2.96885,3.02501,0.0390,341.6,0.360,0.00e+00,96
native:cta,cdouble,96,256,2543,C,native:cta,1.12911,1.12941,0.0008,898.3,0.946,0.00e+00,96
vendor,cdouble,96,512,1271,C,vendor:auto,3.01655,3.08888,0.0421,335.5,0.353,0.00e+00,96
native:cta,cdouble,96,512,1271,C,native:cta,1.12870,1.12874,0.0002,896.5,0.944,0.00e+00,96
vendor,cdouble,96,1024,635,C,vendor:auto,3.02900,3.08531,0.0350,333.5,0.351,0.00e+00,96
native:cta,cdouble,96,1024,635,C,native:cta,1.13068,1.13153,0.0020,893.4,0.940,0.00e+00,96
vendor,cdouble,96,2048,317,C,vendor:auto,3.05739,3.09972,0.0329,329.7,0.347,0.00e+00,96
native:cta,cdouble,96,2048,317,C,native:cta,1.12622,1.14645,0.0500,895.1,0.942,0.00e+00,96
vendor,cdouble,128,64,7629,C,vendor:auto,1.21484,1.21386,0.0084,842.4,0.887,0.00e+00,128
native:cta,cdouble,128,64,7629,C,native:cta,1.10364,1.10350,0.0005,927.3,0.976,0.00e+00,128
vendor,cdouble,128,128,3814,C,vendor:auto,1.15217,1.15115,0.0046,881.3,0.928,0.00e+00,128
