arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld
vendor,cdouble,48,64,20345,T,vendor:auto,1.05819,1.10114,0.0740,979.5,1.031,0.00e+00,48
native:cta,cdouble,48,64,20345,T,native:cta,2.24442,2.29367,0.0410,461.8,0.486,0.00e+00,48
vendor,cdouble,48,128,10172,T,vendor:auto,1.30651,1.32520,0.0801,787.3,0.829,0.00e+00,48
native:cta,cdouble,48,128,10172,T,native:cta,2.24484,2.30677,0.0432,458.2,0.482,0.00e+00,48
vendor,cdouble,48,256,5086,T,vendor:auto,1.33058,1.39219,0.0696,770.1,0.811,0.00e+00,48
native:cta,cdouble,48,256,5086,T,native:cta,2.24516,2.24516,0.0001,456.4,0.480,0.00e+00,48
vendor,cdouble,48,512,2543,T,vendor:auto,1.41592,1.42203,0.0954,722.3,0.760,0.00e+00,48
native:cta,cdouble,48,512,2543,T,native:cta,2.24492,2.26558,0.0259,455.6,0.480,0.00e+00,48
vendor,cdouble,48,1024,1271,T,vendor:auto,1.31895,1.34019,0.0860,774.4,0.815,0.00e+00,48
native:cta,cdouble,48,1024,1271,T,native:cta,2.24394,2.29388,0.0418,455.2,0.479,0.00e+00,48
vendor,cdouble,48,2048,635,T,vendor:auto,2.16146,2.19484,0.0497,471.9,0.497,0.00e+00,48
native:cta,cdouble,48,2048,635,T,native:cta,2.24076,2.27019,0.0367,455.2,0.479,0.00e+00,48
vendor,cdouble,64,64,15258,T,vendor:auto,1.05933,1.05945,0.0005,973.4,1.025,0.00e+00,64
native:cta,cdouble,64,64,15258,T,native:cta,1.43930,1.47827,0.0496,716.5,0.754,0.00e+00,64
vendor,cdouble,64,128,7629,T,vendor:auto,2.70818,2.72848,0.0316,377.9,0.398,0.00e+00,64
native:cta,cdouble,64,128,7629,T,native:cta,1.43933,1.43935,0.0001,711.0,0.748,0.00e+00,64
vendor,cdouble,64,256,3814,T,vendor:auto,2.71294,2.76304,0.0386,375.7,0.396,0.00e+00,64
native:cta,cdouble,64,256,3814,T,native:cta,1.43959,1.47841,0.0498,708.1,0.745,0.00e+00,64
vendor,cdouble,64,512,1907,T,vendor:auto,2.71033,2.70654,0.0065,375.4,0.395,0.00e+00,64
native:cta,cdouble,64,512,1907,T,native:cta,1.43867,1.43870,0.0002,707.2,0.744,0.00e+00,64
vendor,cdouble,64,1024,953,T,vendor:auto,2.71571,2.75959,0.0356,374.1,0.394,0.00e+00,64
native:cta,cdouble,64,1024,953,T,native:cta,1.43782,1.43864,0.0015,706.5,0.744,0.00e+00,64
vendor,cdouble,64,2048,476,T,vendor:auto,2.72758,2.74988,0.0431,371.9,0.391,0.00e+00,64
native:cta,cdouble,64,2048,476,T,native:cta,1.43689,1.47569,0.0494,705.9,0.743,0.00e+00,64
vendor,cdouble,96,64,10172,T,vendor:auto,1.13530,1.13569,0.0010,903.7,0.951,0.00e+00,96
native:cta,cdouble,96,64,10172,T,native:cta,1.12905,1.12911,0.0001,908.7,0.957,0.00e+00,96
vendor,cdouble,96,128,5086,T,vendor:auto,1.10321,1.14384,0.0667,922.9,0.971,0.00e+00,96
native:cta,cdouble,96,128,5086,T,native:cta,1.12901,1.17047,0.0664,901.8,0.949,0.00e+00,96
vendor,cdouble,96,256,2543,T,vendor:auto,2.85234,2.86525,0.0094,355.6,0.374,0.00e+00,96
native:cta,cdouble,96,256,2543,T,native:cta,1.12911,1.12912,0.0004,898.3,0.946,0.00e+00,96
vendor,cdouble,96,512,1271,T,vendor:auto,2.94219,2.98545,0.0379,343.9,0.362,0.00e+00,96
native:cta,cdouble,96,512,1271,T,native:cta,1.13028,1.17244,0.0674,895.3,0.942,0.00e+00,96
vendor,cdouble,96,1024,635,T,vendor:auto,2.95952,2.99236,0.0298,341.3,0.359,0.00e+00,96
native:cta,cdouble,96,1024,635,T,native:cta,1.13773,1.14399,0.0136,887.9,0.935,0.00e+00,96
vendor,cdouble,96,2048,317,T,vendor:auto,2.97340,3.02130,0.0332,339.0,0.357,0.00e+00,96
native:cta,cdouble,96,2048,317,T,native:cta,1.12602,1.12611,0.0002,895.2,0.942,0.00e+00,96
vendor,cdouble,128,64,7629,T,vendor:auto,1.27497,1.29683,0.0497,802.7,0.845,0.00e+00,128
native:cta,cdouble,128,64,7629,T,native:cta,1.10339,1.10366,0.0010,927.5,0.976,0.00e+00,128
vendor,cdouble,128,128,3814,T,vendor:auto,1.10133,1.10166,0.0010,922.0,0.971,0.00e+00,128
native:cta,cdouble,128,128,3814,T,native:cta,1.09721,1.13803,0.0679,925.5,0.974,0.00e+00,128
vendor,cdouble,128,256,1907,T,vendor:auto,2.80957,2.84908,0.0369,360.0,0.379,0.00e+00,128
native:cta,cdouble,128,256,1907,T,native:cta,1.09180,1.09177,0.0006,926.5,0.975,0.00e+00,128
vendor,cdouble,128,512,953,T,vendor:auto,2.83599,2.86305,0.0371,355.8,0.375,0.00e+00,128
native:cta,cdouble,128,512,953,T,native:cta,1.09056,1.09077,0.0010,925.3,0.974,0.00e+00,128
vendor,cdouble,128,1024,476,T,vendor:auto,2.87461,2.90600,0.0396,350.3,0.369,0.00e+00,128
native:cta,cdouble,128,1024,476,T,native:cta,1.08617,1.08621,0.0006,927.1,0.976,0.00e+00,128
vendor,cdouble,128,2048,238,T,vendor:auto,2.87724,2.86569,0.0109,349.8,0.368,0.00e+00,128
native:cta,cdouble,128,2048,238,T,native:cta,1.08639,1.09706,0.0214,926.5,0.975,0.00e+00,128
vendor,cdouble,192,64,5086,T,vendor:auto,1.08293,1.08243,0.0014,942.6,0.992,0.00e+00,192
native:cta,cdouble,192,64,5086,T,native:cta,1.09807,1.13772,0.0656,929.6,0.979,0.00e+00,192
vendor,cdouble,192,128,2543,T,vendor:auto,1.11197,1.15479,0.0697,911.0,0.959,0.00e+00,192
native:cta,cdouble,192,128,2543,T,native:cta,1.08987,1.12941,0.0663,929.4,0.978,0.00e+00,192
vendor,cdouble,192,256,1271,T,vendor:auto,3.11316,3.14261,0.0297,324.0,0.341,0.00e+00,192
native:cta,cdouble,192,256,1271,T,native:cta,1.08489,1.08500,0.0006,929.7,0.979,0.00e+00,192
vendor,cdouble,192,512,635,T,vendor:auto,3.07547,3.13184,0.0352,327.1,0.344,0.00e+00,192
native:cta,cdouble,192,512,635,T,native:cta,1.08202,1.08192,0.0008,929.7,0.979,0.00e+00,192
vendor,cdouble,192,1024,317,T,vendor:auto,3.04265,3.08800,0.0317,329.8,0.347,0.00e+00,192
native:cta,cdouble,192,1024,317,T,native:cta,1.07975,1.11879,0.0664,929.3,0.978,0.00e+00,192
vendor,cdouble,192,2048,158,T,vendor:auto,3.04507,3.08244,0.0335,328.3,0.346,0.00e+00,192
native:cta,cdouble,192,2048,158,T,native:cta,1.07483,1.07495,0.0006,930.1,0.979,0.00e+00,192
vendor,cdouble,256,64,3814,T,vendor:auto,1.06498,1.06492,0.0010,957.1,1.008,0.00e+00,256
native:cta,cdouble,256,64,3814,T,native:cta,1.09407,1.09444,0.0012,931.7,0.981,0.00e+00,256
vendor,cdouble,256,128,1907,T,vendor:auto,1.09296,1.09306,0.0007,925.5,0.974,0.00e+00,256
native:cta,cdouble,256,128,1907,T,native:cta,1.08779,1.10676,0.0492,929.9,0.979,0.00e+00,256
vendor,cdouble,256,256,953,T,vendor:auto,3.09479,3.13580,0.0346,325.4,0.343,0.00e+00,256
native:cta,cdouble,256,256,953,T,native:cta,1.08236,1.08197,0.0009,930.5,0.979,0.00e+00,256
vendor,cdouble,256,512,476,T,vendor:auto,3.10088,3.13125,0.0312,323.8,0.341,0.00e+00,256
native:cta,cdouble,256,512,476,T,native:cta,1.07924,1.12081,0.0700,930.4,0.979,0.00e+00,256
vendor,cdouble,256,1024,238,T,vendor:auto,3.12614,3.17105,0.0338,320.9,0.338,0.00e+00,256
native:cta,cdouble,256,1024,238,T,native:cta,1.07765,1.07815,0.0013,930.8,0.980,0.00e+00,256
vendor,cdouble,256,2048,128,T,vendor:auto,3.35347,3.41406,0.0368,321.6,0.339,0.00e+00,256
native:cta,cdouble,256,2048,128,T,native:cta,1.15830,1.15975,0.0039,931.1,0.980,0.00e+00,256
vendor,cdouble,320,64,3051,T,vendor:auto,1.18158,1.17951,0.0117,862.0,0.907,0.00e+00,320
native:cta,cdouble,320,64,3051,T,native:cta,1.09166,1.09179,0.0011,933.0,0.982,0.00e+00,320
vendor,cdouble,320,128,1525,T,vendor:auto,1.12135,1.12080,0.0027,901.0,0.948,0.00e+00,320
native:cta,cdouble,320,128,1525,T,native:cta,1.08283,1.12274,0.0667,933.1,0.982,0.00e+00,320
vendor,cdouble,320,256,762,T,vendor:auto,3.23495,3.27889,0.0281,310.9,0.327,0.00e+00,320
native:cta,cdouble,320,256,762,T,native:cta,1.07924,1.07920,0.0008,931.9,0.981,0.00e+00,320
vendor,cdouble,320,512,381,T,vendor:auto,3.24124,3.29061,0.0351,309.7,0.326,0.00e+00,320
native:cta,cdouble,320,512,381,T,native:cta,1.07603,1.07594,0.0008,932.9,0.982,0.00e+00,320
vendor,cdouble,320,1024,190,T,vendor:auto,3.23258,3.28074,0.0320,309.4,0.326,0.00e+00,320
native:cta,cdouble,320,1024,190,T,native:cta,1.07304,1.11301,0.0688,932.1,0.981,0.00e+00,320
vendor,cdouble,320,2048,128,T,vendor:auto,4.38068,4.44460,0.0438,307.5,0.324,0.00e+00,320
native:cta,cdouble,320,2048,128,T,native:cta,1.43937,1.43915,0.0007,935.8,0.985,0.00e+00,320
vendor,cdouble,384,64,2543,T,vendor:auto,1.12239,1.16225,0.0659,907.2,0.955,0.00e+00,384
