arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len
vendor,cfloat,1,2048,512,N,vendor:auto,0.01479,0.01485,0.0143,1134.4,1.194,0.00e+00,1,1,2048
native:direct,cfloat,1,2048,512,N,native:direct,0.17102,0.17098,0.0007,98.1,0.103,0.00e+00,1,1,2048
vendor,float,1,2048,512,N,vendor:auto,0.01343,0.01353,0.0168,624.6,0.658,0.00e+00,1,1,2048
native:direct,float,1,2048,512,N,native:direct,0.08814,0.08811,0.0014,95.2,0.100,0.00e+00,1,1,2048
vendor,double,1,2048,512,N,vendor:auto,0.02358,0.02378,0.0283,711.5,0.749,0.00e+00,1,1,2048
native:direct,double,1,2048,512,N,native:direct,0.12176,0.12184,0.0025,137.8,0.145,0.00e+00,1,1,2048
vendor,cfloat,1,512,512,N,vendor:auto,0.00903,0.00903,0.0135,464.9,0.489,0.00e+00,1,1,512
native:direct,cfloat,1,512,512,N,native:direct,0.04780,0.04781,0.0031,87.8,0.092,0.00e+00,1,1,512
vendor,cfloat,4,1024,512,N,vendor:auto,0.01368,0.01376,0.0113,1534.3,1.615,0.00e+00,4,4,1024
native:direct,cfloat,4,1024,512,N,native:direct,0.04988,0.04990,0.0021,420.7,0.443,0.00e+00,4,4,1024
vendor,cdouble,1,2048,512,N,vendor:auto,0.05965,0.05972,0.0073,562.7,0.592,0.00e+00,1,1,2048
native:direct,cdouble,1,2048,512,N,native:direct,0.24808,0.24805,0.0005,135.3,0.142,0.00e+00,1,1,2048
vendor,double,4,1024,512,N,vendor:auto,0.01539,0.01543,0.0087,1363.6,1.435,0.00e+00,4,4,1024
native:direct,double,4,1024,512,N,native:direct,0.05464,0.05468,0.0016,384.1,0.404,0.00e+00,4,4,1024
vendor,cdouble,4,1024,512,N,vendor:auto,0.03478,0.03472,0.0124,1207.0,1.271,0.00e+00,4,4,1024
native:direct,cdouble,4,1024,512,N,native:direct,0.12119,0.12125,0.0018,346.4,0.365,0.00e+00,4,4,1024
vendor,float,16,2048,512,N,vendor:auto,0.02348,0.02358,0.0101,3037.9,3.198,0.00e+00,16,16,2048
native:direct,float,16,2048,512,N,native:direct,0.06129,0.05978,0.0374,1163.9,1.225,0.00e+00,16,16,2048
vendor,cdouble,1,512,512,N,vendor:auto,0.02151,0.02155,0.0052,390.4,0.411,0.00e+00,1,1,512
native:direct,cdouble,1,512,512,N,native:direct,0.06626,0.06626,0.0015,126.7,0.133,0.00e+00,1,1,512
vendor,double,1,512,512,N,vendor:auto,0.01121,0.01125,0.0224,374.5,0.394,0.00e+00,1,1,512
native:direct,double,1,512,512,N,native:direct,0.03448,0.03446,0.0025,121.8,0.128,0.00e+00,1,1,512
vendor,float,1,512,512,N,vendor:auto,0.00834,0.00836,0.0105,251.8,0.265,0.00e+00,1,1,512
native:direct,float,1,512,512,N,native:direct,0.02592,0.02590,0.0033,81.0,0.085,0.00e+00,1,1,512
vendor,float,4,1024,512,N,vendor:auto,0.01038,0.01039,0.0117,1011.3,1.064,0.00e+00,4,4,1024
native:direct,float,4,1024,512,N,native:direct,0.02754,0.02756,0.0026,381.0,0.401,0.00e+00,4,4,1024
vendor,cdouble,64,64,512,T,vendor:auto,0.02442,0.02448,0.0146,1417.2,1.492,0.00e+00,64,64,64
native:cta,cdouble,64,64,512,T,native:cta,0.05399,0.05399,0.0024,641.0,0.675,0.00e+00,64,64,64
vendor,cdouble,64,64,512,C,vendor:auto,0.02391,0.02395,0.0134,1447.3,1.523,0.00e+00,64,64,64
native:cta,cdouble,64,64,512,C,native:cta,0.05502,0.05505,0.0027,628.9,0.662,0.00e+00,64,64,64
