pooled cdouble transposed cells: 241  (fit 197, oos 44)
vendor GB/s where native WINS >=1.15x : min 304  median 334  max 803  (n=68)
vendor GB/s elsewhere                 : min 557  median 892  max 1863  (n=173)

clause                                                       adm  wins  worst missed  verdict
m in [64,320] and n >= 128                                   147    63   0.36      5  fails
m in [64,320] and n >= 128 and A >= 128 MB                   107    57   0.97     11  fails
m in [64,320] and n >= 128 and A >= 256 MB                    74    44   0.97     24  fails
m in [64,320] and n >= 128 and A >= 512 MB                    34    26   1.01     42  fails
m in [64,320] and n >= 128 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [64,320] and n >= 256                                   101    61   0.36      7  fails
m in [64,320] and n >= 256 and A >= 128 MB                    85    57   0.97     11  fails
m in [64,320] and n >= 256 and A >= 256 MB                    60    44   0.99     24  fails
m in [64,320] and n >= 256 and A >= 512 MB                    30    26   1.01     42  fails
m in [64,320] and n >= 256 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [64,320] and n >= 320                                    66    48   0.36     20  fails
m in [64,320] and n >= 320 and A >= 128 MB                    62    46   0.98     22  fails
m in [64,320] and n >= 320 and A >= 256 MB                    48    36   0.99     32  fails
m in [64,320] and n >= 320 and A >= 512 MB                    26    22   1.01     46  fails
m in [64,320] and n >= 320 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [64,320] and n >= 384                                    66    48   0.36     20  fails
m in [64,320] and n >= 384 and A >= 128 MB                    62    46   0.98     22  fails
m in [64,320] and n >= 384 and A >= 256 MB                    48    36   0.99     32  fails
m in [64,320] and n >= 384 and A >= 512 MB                    26    22   1.01     46  fails
m in [64,320] and n >= 384 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [64,320] and n >= 512                                    56    38   0.36     30  fails
m in [64,320] and n >= 512 and A >= 128 MB                    52    36   0.98     32  fails
m in [64,320] and n >= 512 and A >= 256 MB                    42    30   0.99     38  fails
m in [64,320] and n >= 512 and A >= 512 MB                    22    18   1.01     50  fails
m in [64,320] and n >= 512 and A >= 1024 MB                   10    10   2.72     58  PASSES
m in [64,320] and n >= 768                                    20    20   1.90     48  PASSES
m in [64,320] and n >= 768 and A >= 128 MB                    20    20   1.90     48  PASSES
