arm,type,out_len,red_len,batch,transA,ld,kernel,grid,block,sectors_per_ld,occupancy_pct,dram_pct
native:direct,cdouble,1,2048,512,N,0,GemvDirectNKernel,(16 1 1),(32 1 1),32.00,2.08,7.03
native:direct,cdouble,2,2048,512,N,0,GemvDirectNKernel,(32 1 1),(32 1 1),16.00,2.08,8.53
native:direct,cdouble,4,2048,512,N,0,GemvDirectNKernel,(64 1 1),(32 1 1),12.00,2.08,15.63
native:direct,cdouble,8,2048,512,N,0,GemvDirectNKernel,(128 1 1),(32 1 1),10.00,2.08,28.87
native:direct,cdouble,16,2048,512,N,0,GemvDirectNKernel,(256 1 1),(32 1 1),9.00,4.15,53.92
native:direct,cdouble,24,2048,512,N,0,GemvDirectNKernel,(384 1 1),(32 1 1),9.00,6.19,63.66
native:direct,cdouble,31,2048,512,N,0,GemvDirectNKernel,(496 1 1),(32 1 1),9.50,8.01,74.94
native:direct,cdouble,32,2048,512,N,0,GemvDirectNKernel,(512 1 1),(32 1 1),8.50,8.27,85.35
native:direct,cdouble,33,2048,512,N,0,GemvDirectNKernel,(528 1 1),(32 1 1),9.45,8.42,74.20
native:direct,cdouble,48,2048,512,N,0,GemvDirectNKernel,(768 1 1),(32 1 1),8.67,12.38,90.78
native:direct,cdouble,64,2048,512,N,0,GemvDirectNKernel,(512 1 1),(64 1 1),8.50,16.58,95.89
native:direct,cdouble,128,2048,512,N,0,GemvDirectNKernel,(512 1 1),(128 1 1),8.50,33.23,97.22
native:direct,cdouble,256,2048,512,N,0,GemvDirectNKernel,(512 1 1),(256 1 1),8.50,66.33,97.05
native:direct,float,1,2048,512,N,0,GemvDirectNKernel,(16 1 1),(32 1 1),32.00,2.08,6.27
native:direct,float,8,2048,512,N,0,GemvDirectNKernel,(128 1 1),(32 1 1),4.00,2.08,39.23
native:direct,float,16,2048,512,N,0,GemvDirectNKernel,(256 1 1),(32 1 1),3.00,4.12,69.47
native:direct,float,32,2048,512,N,0,GemvDirectNKernel,(512 1 1),(32 1 1),2.50,8.24,91.44
native:direct,float,64,2048,512,N,0,GemvDirectNKernel,(512 1 1),(64 1 1),2.50,16.47,95.29
native:direct,float,128,2048,512,N,0,GemvDirectNKernel,(512 1 1),(128 1 1),2.50,33.09,96.26
native:direct,cdouble,16,2048,512,N,17,GemvDirectNKernel,(256 1 1),(32 1 1),9.50,4.14,51.63
native:direct,cdouble,16,2048,512,N,24,GemvDirectNKernel,(256 1 1),(32 1 1),9.00,4.15,51.32
native:direct,cdouble,64,2048,512,N,65,GemvDirectNKernel,(512 1 1),(64 1 1),8.75,16.56,95.62
native:direct,cdouble,64,2048,512,N,72,GemvDirectNKernel,(512 1 1),(64 1 1),8.50,16.52,93.24
native:cta,cdouble,256,32,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,91.83,38.53
native:cta,cdouble,256,48,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),8.00,94.70,42.12
native:cta,cdouble,256,64,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,90.10,64.79
native:cta,cdouble,256,96,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,92.35,81.30
native:cta,cdouble,256,128,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,86.44,93.43
native:cta,cdouble,256,192,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,82.67,94.04
native:cta,cdouble,256,256,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,82.43,94.35
native:cta,cdouble,256,512,512,T,0,GemvCtaTKernel,(16384 1 1),(256 1 1),16.00,85.88,95.58
