arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB
vendor,cdouble,96,384,384,T,vendor:auto,0.66627,0.66846,0.0084,344.4,0.362,0.00e+00,96,216
native:cta,cdouble,96,384,384,T,native:cta,0.26582,0.26601,0.0025,863.1,0.909,0.00e+00,96,216
vendor,cdouble,96,384,384,C,vendor:auto,0.68531,0.68537,0.0041,334.8,0.352,0.00e+00,96,216
native:cta,cdouble,96,384,384,C,native:cta,0.26483,0.26488,0.0006,866.4,0.912,0.00e+00,96,216
vendor,cdouble,96,768,320,T,vendor:auto,1.11558,1.11659,0.0034,342.3,0.360,0.00e+00,96,360
native:cta,cdouble,96,768,320,T,native:cta,0.43425,0.43423,0.0006,879.5,0.926,0.00e+00,96,360
vendor,cdouble,96,768,320,C,vendor:auto,1.16750,1.16334,0.0113,327.1,0.344,0.00e+00,96,360
native:cta,cdouble,96,768,320,C,native:cta,0.43413,0.43410,0.0006,879.7,0.926,0.00e+00,96,360
vendor,cdouble,96,1024,320,T,vendor:auto,1.45442,1.45403,0.0069,350.0,0.368,0.00e+00,96,480
native:cta,cdouble,96,1024,320,T,native:cta,0.57560,0.57561,0.0006,884.4,0.931,0.00e+00,96,480
vendor,cdouble,96,1024,320,C,vendor:auto,1.49945,1.49904,0.0111,339.5,0.357,0.00e+00,96,480
native:cta,cdouble,96,1024,320,C,native:cta,0.57540,0.57539,0.0003,884.7,0.931,0.00e+00,96,480
vendor,cdouble,160,192,1024,T,vendor:auto,0.57237,0.57227,0.0011,889.4,0.936,0.00e+00,160,480
native:cta,cdouble,160,192,1024,T,native:cta,0.55519,0.55502,0.0010,916.9,0.965,0.00e+00,160,480
vendor,cdouble,160,192,1024,C,vendor:auto,0.58998,0.59023,0.0028,862.9,0.908,0.00e+00,160,480
native:cta,cdouble,160,192,1024,C,native:cta,0.55512,0.55572,0.0037,917.1,0.965,0.00e+00,160,480
vendor,cdouble,160,384,640,T,vendor:auto,1.98769,1.99262,0.0116,319.3,0.336,0.00e+00,160,600
native:cta,cdouble,160,384,640,T,native:cta,0.68810,0.68826,0.0008,922.4,0.971,0.00e+00,160,600
vendor,cdouble,160,384,640,C,vendor:auto,1.99561,1.99646,0.0057,318.1,0.335,0.00e+00,160,600
native:cta,cdouble,160,384,640,C,native:cta,0.68834,0.68838,0.0006,922.1,0.971,0.00e+00,160,600
vendor,cdouble,160,768,192,T,vendor:auto,1.18962,1.18990,0.0079,319.7,0.337,0.00e+00,160,360
native:cta,cdouble,160,768,192,T,native:cta,0.41775,0.41818,0.0028,910.4,0.958,0.00e+00,160,360
vendor,cdouble,160,768,192,C,vendor:auto,1.22248,1.22366,0.0052,311.1,0.327,0.00e+00,160,360
native:cta,cdouble,160,768,192,C,native:cta,0.41805,0.41831,0.0017,909.8,0.958,0.00e+00,160,360
vendor,cdouble,224,192,640,T,vendor:auto,0.48939,0.48951,0.0028,908.6,0.956,0.00e+00,224,420
