arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,call
vendor,float,512,1,512,N,vendor:auto,0.01281,0.01282,0.0166,163.8,0.172,0.00e+00,512,512,1,call2
native:direct,float,512,1,512,N,native:direct,0.00742,0.00744,0.0307,283.0,0.298,0.00e+00,512,512,1,call2
vendor,float,512,1,512,C,vendor:auto,0.00871,0.00869,0.0080,241.1,0.254,0.00e+00,512,1,512,call1
native:cta,float,512,1,512,C,native:cta,0.00674,0.00676,0.0168,311.3,0.328,0.00e+00,512,1,512,call1
vendor,float,512,2,512,N,vendor:auto,0.00979,0.00994,0.0405,321.6,0.338,0.00e+00,512,512,2,call2
native:direct,float,512,2,512,N,native:direct,0.00767,0.00769,0.0139,410.5,0.432,0.00e+00,512,512,2,call2
vendor,float,512,2,512,C,vendor:auto,0.00898,0.00902,0.0283,350.6,0.369,0.00e+00,512,2,512,call1
native:cta,float,512,2,512,C,native:cta,0.00766,0.00771,0.0300,411.0,0.433,0.00e+00,512,2,512,call1
vendor,float,512,4,512,N,vendor:auto,0.00914,0.00913,0.0142,574.6,0.605,0.00e+00,512,512,4,call2
native:direct,float,512,4,512,N,native:direct,0.00679,0.00678,0.0125,773.5,0.814,0.00e+00,512,512,4,call2
vendor,float,512,4,512,C,vendor:auto,0.00785,0.00790,0.0197,669.1,0.704,0.00e+00,512,4,512,call1
native:cta,float,512,4,512,C,native:cta,0.00688,0.00691,0.0101,763.0,0.803,0.00e+00,512,4,512,call1
vendor,float,512,8,512,N,vendor:auto,0.00915,0.00918,0.0242,1032.8,1.087,0.00e+00,512,512,8,call2
native:direct,float,512,8,512,N,native:direct,0.00742,0.00745,0.0092,1274.4,1.341,0.00e+00,512,512,8,call2
vendor,float,512,8,512,C,vendor:auto,0.00926,0.00922,0.0111,1021.0,1.075,0.00e+00,512,8,512,call1
native:cta,float,512,8,512,C,native:cta,0.00775,0.00774,0.0057,1220.3,1.285,0.00e+00,512,8,512,call1
vendor,float,512,16,512,N,vendor:auto,0.01102,0.01108,0.0120,1620.7,1.706,0.00e+00,512,512,16,call2
native:direct,float,512,16,512,N,native:direct,0.00889,0.00892,0.0108,2009.5,2.115,0.00e+00,512,512,16,call2
vendor,float,512,16,512,C,vendor:auto,0.01075,0.01079,0.0098,1660.6,1.748,0.00e+00,512,16,512,call1
native:cta,float,512,16,512,C,native:cta,0.00987,0.00984,0.0190,1809.6,1.905,0.00e+00,512,16,512,call1
vendor,float,512,32,512,N,vendor:auto,0.01392,0.01396,0.0084,2489.8,2.621,0.00e+00,512,512,32,call2
native:direct,float,512,32,512,N,native:direct,0.01227,0.01226,0.0087,2824.6,2.973,0.00e+00,512,512,32,call2
vendor,float,512,32,512,C,vendor:auto,0.01450,0.01456,0.0116,2391.3,2.517,0.00e+00,512,32,512,call1
native:cta,float,512,32,512,C,native:cta,0.01330,0.01335,0.0139,2606.3,2.743,0.00e+00,512,32,512,call1
vendor,float,512,64,512,N,vendor:auto,0.02049,0.02052,0.0113,3332.9,3.508,0.00e+00,512,512,64,call2
native:direct,float,512,64,512,N,native:direct,0.01876,0.01881,0.0059,3639.9,3.831,0.00e+00,512,512,64,call2
vendor,float,512,64,512,C,vendor:auto,0.02174,0.02185,0.0116,3141.9,3.307,0.00e+00,512,64,512,call1
native:cta,float,512,64,512,C,native:cta,0.02043,0.02044,0.0047,3343.2,3.519,0.00e+00,512,64,512,call1
vendor,float,2048,1,512,N,vendor:auto,0.02567,0.02569,0.0050,326.9,0.344,0.00e+00,2048,2048,1,call2
native:direct,float,2048,1,512,N,native:direct,0.00863,0.00865,0.0101,972.4,1.024,0.00e+00,2048,2048,1,call2
vendor,float,2048,1,512,C,vendor:auto,0.01217,0.01220,0.0089,689.7,0.726,0.00e+00,2048,1,2048,call1
native:cta,float,2048,1,512,C,native:cta,0.00815,0.00817,0.0055,1029.1,1.083,0.00e+00,2048,1,2048,call1
vendor,float,2048,2,512,N,vendor:auto,0.01321,0.01318,0.0068,953.0,1.003,0.00e+00,2048,2048,2,call2
native:direct,float,2048,2,512,N,native:direct,0.01087,0.01084,0.0128,1157.6,1.219,0.00e+00,2048,2048,2,call2
vendor,float,2048,2,512,C,vendor:auto,0.01145,0.01153,0.0343,1099.5,1.157,0.00e+00,2048,2,2048,call1
native:cta,float,2048,2,512,C,native:cta,0.00972,0.00971,0.0137,1295.1,1.363,0.00e+00,2048,2,2048,call1
vendor,float,2048,4,512,N,vendor:auto,0.01403,0.01412,0.0101,1494.9,1.574,0.00e+00,2048,2048,4,call2
native:direct,float,2048,4,512,N,native:direct,0.00999,0.01022,0.0777,2099.7,2.210,0.00e+00,2048,2048,4,call2
vendor,float,2048,4,512,C,vendor:auto,0.01284,0.01281,0.0158,1634.4,1.720,0.00e+00,2048,4,2048,call1
native:cta,float,2048,4,512,C,native:cta,0.01010,0.01010,0.0065,2078.0,2.187,0.00e+00,2048,4,2048,call1
vendor,float,2048,8,512,N,vendor:auto,0.01524,0.01529,0.0139,2477.7,2.608,0.00e+00,2048,2048,8,call2
native:direct,float,2048,8,512,N,native:direct,0.01243,0.01244,0.0088,3038.7,3.199,0.00e+00,2048,2048,8,call2
vendor,float,2048,8,512,C,vendor:auto,0.01464,0.01459,0.0106,2579.4,2.715,0.00e+00,2048,8,2048,call1
native:cta,float,2048,8,512,C,native:cta,0.01325,0.01325,0.0059,2850.0,3.000,0.00e+00,2048,8,2048,call1
vendor,float,2048,16,512,N,vendor:auto,0.02199,0.02204,0.0063,3243.9,3.415,0.00e+00,2048,2048,16,call2
native:direct,float,2048,16,512,N,native:direct,0.02179,0.02183,0.0072,3273.2,3.445,0.00e+00,2048,2048,16,call2
vendor,float,2048,16,512,C,vendor:auto,0.02183,0.02186,0.0083,3267.5,3.439,0.00e+00,2048,16,2048,call1
native:cta,float,2048,16,512,C,native:cta,0.02416,0.02417,0.0036,2952.6,3.108,0.00e+00,2048,16,2048,call1
vendor,float,2048,32,512,N,vendor:auto,0.15713,0.15719,0.0020,881.3,0.928,0.00e+00,2048,2048,32,call2
native:direct,float,2048,32,512,N,native:direct,0.15577,0.15580,0.0009,889.0,0.936,0.00e+00,2048,2048,32,call2
vendor,float,2048,32,512,C,vendor:auto,0.15259,0.15267,0.0025,907.5,0.955,0.00e+00,2048,32,2048,call1
native:cta,float,2048,32,512,C,native:cta,0.15192,0.15191,0.0016,911.5,0.960,0.00e+00,2048,32,2048,call1
vendor,float,2048,64,512,N,vendor:auto,0.30020,0.30027,0.0012,908.6,0.956,0.00e+00,2048,2048,64,call2
native:direct,float,2048,64,512,N,native:direct,0.29942,0.29950,0.0016,911.0,0.959,0.00e+00,2048,2048,64,call2
vendor,float,2048,64,512,C,vendor:auto,0.29326,0.29330,0.0008,930.1,0.979,0.00e+00,2048,64,2048,call1
native:cta,float,2048,64,512,C,native:cta,0.29219,0.29224,0.0007,933.5,0.983,0.00e+00,2048,64,2048,call1
vendor,cdouble,512,1,512,N,vendor:auto,0.01774,0.01774,0.0050,473.2,0.498,0.00e+00,512,512,1,call2
native:direct,cdouble,512,1,512,N,native:direct,0.01105,0.01108,0.0077,759.8,0.800,0.00e+00,512,512,1,call2
vendor,cdouble,512,1,512,C,vendor:auto,0.01586,0.01589,0.0156,529.4,0.557,0.00e+00,512,1,512,call1
native:cta,cdouble,512,1,512,C,native:cta,0.00878,0.00878,0.0090,955.8,1.006,0.00e+00,512,1,512,call1
vendor,cdouble,512,2,512,N,vendor:auto,0.01751,0.01755,0.0145,719.6,0.758,0.00e+00,512,512,2,call2
native:direct,cdouble,512,2,512,N,native:direct,0.01262,0.01260,0.0068,998.4,1.051,0.00e+00,512,512,2,call2
