arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,1,64,512,N,vendor:auto,0.00877,0.00881,0.0266,30.1,0.032,0.00e+00,1,1,64,0
native:direct,float,1,64,512,N,native:direct,0.01050,0.01052,0.0126,25.2,0.026,0.00e+00,1,1,64,0
vendor,double,1,64,512,N,vendor:auto,0.00929,0.00928,0.0184,56.8,0.060,0.00e+00,1,1,64,0
native:direct,double,1,64,512,N,native:direct,0.01016,0.01021,0.0262,52.0,0.055,0.00e+00,1,1,64,0
vendor,cfloat,1,64,512,N,vendor:auto,0.00866,0.00896,0.0978,61.0,0.064,0.00e+00,1,1,64,0
native:direct,cfloat,1,64,512,N,native:direct,0.01068,0.01068,0.0062,49.5,0.052,0.00e+00,1,1,64,0
vendor,cdouble,1,64,512,N,vendor:auto,0.00926,0.00931,0.0271,114.1,0.120,0.00e+00,1,1,64,0
native:direct,cdouble,1,64,512,N,native:direct,0.01310,0.01311,0.0052,80.7,0.085,0.00e+00,1,1,64,0
vendor,float,64,1,512,T,vendor:auto,0.00760,0.00760,0.0156,34.7,0.037,0.00e+00,64,1,64,0
native:direct,float,64,1,512,T,native:direct,0.00806,0.00801,0.0170,32.8,0.035,0.00e+00,64,1,64,0
native:cta,float,64,1,512,T,native:cta,0.00728,0.00731,0.0218,36.3,0.038,0.00e+00,64,1,64,0
vendor,double,64,1,512,T,vendor:auto,0.00816,0.00829,0.0324,64.8,0.068,0.00e+00,64,1,64,0
native:direct,double,64,1,512,T,native:direct,0.00932,0.00933,0.0089,56.7,0.060,0.00e+00,64,1,64,0
native:cta,double,64,1,512,T,native:cta,0.00618,0.00627,0.0288,85.5,0.090,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,T,vendor:auto,0.00784,0.00784,0.0063,67.4,0.071,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,T,native:direct,0.01070,0.01071,0.0041,49.4,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,T,native:cta,0.00605,0.00595,0.0262,87.4,0.092,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,T,vendor:auto,0.00909,0.00915,0.0159,116.3,0.122,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,T,native:direct,0.01361,0.01362,0.0029,77.6,0.082,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,T,native:cta,0.00657,0.00660,0.0188,160.9,0.169,0.00e+00,64,1,64,0
vendor,float,64,1,512,C,vendor:auto,0.00778,0.00780,0.0088,33.9,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,C,native:direct,0.00807,0.00808,0.0099,32.7,0.034,0.00e+00,64,1,64,0
native:cta,float,64,1,512,C,native:cta,0.00603,0.00605,0.0183,43.8,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,C,vendor:auto,0.00826,0.00830,0.0148,63.9,0.067,0.00e+00,64,1,64,0
native:direct,double,64,1,512,C,native:direct,0.00917,0.00922,0.0089,57.6,0.061,0.00e+00,64,1,64,0
native:cta,double,64,1,512,C,native:cta,0.00714,0.00708,0.0281,74.0,0.078,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,C,vendor:auto,0.00807,0.00802,0.0183,65.5,0.069,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,C,native:direct,0.01069,0.01070,0.0040,49.4,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,C,native:cta,0.00614,0.00612,0.0268,86.1,0.091,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,C,vendor:auto,0.01067,0.01074,0.0241,99.0,0.104,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,C,native:direct,0.01362,0.01362,0.0030,77.6,0.082,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,C,native:cta,0.00672,0.00672,0.0098,157.2,0.165,0.00e+00,64,1,64,0
vendor,float,1,512,512,N,vendor:auto,0.00873,0.00877,0.0150,240.5,0.253,0.00e+00,1,1,512,0
native:direct,float,1,512,512,N,native:direct,0.02552,0.02554,0.0034,82.2,0.087,0.00e+00,1,1,512,0
vendor,double,1,512,512,N,vendor:auto,0.01141,0.01151,0.0176,368.0,0.387,0.00e+00,1,1,512,0
native:direct,double,1,512,512,N,native:direct,0.03408,0.03408,0.0017,123.2,0.130,0.00e+00,1,1,512,0
vendor,cfloat,1,512,512,N,vendor:auto,0.00894,0.00895,0.0136,469.4,0.494,0.00e+00,1,1,512,0
native:direct,cfloat,1,512,512,N,native:direct,0.04631,0.04628,0.0037,90.7,0.095,0.00e+00,1,1,512,0
vendor,cdouble,1,512,512,N,vendor:auto,0.02156,0.02150,0.0059,389.4,0.410,0.00e+00,1,1,512,0
native:direct,cdouble,1,512,512,N,native:direct,0.06601,0.06597,0.0021,127.2,0.134,0.00e+00,1,1,512,0
vendor,float,512,1,512,T,vendor:auto,0.00844,0.00848,0.0226,248.8,0.262,0.00e+00,512,1,512,0
native:direct,float,512,1,512,T,native:direct,0.02571,0.02570,0.0023,81.7,0.086,0.00e+00,512,1,512,0
native:cta,float,512,1,512,T,native:cta,0.00633,0.00634,0.0127,331.6,0.349,0.00e+00,512,1,512,0
vendor,double,512,1,512,T,vendor:auto,0.01140,0.01173,0.0852,368.2,0.388,0.00e+00,512,1,512,0
native:direct,double,512,1,512,T,native:direct,0.03551,0.03552,0.0028,118.2,0.124,0.00e+00,512,1,512,0
native:cta,double,512,1,512,T,native:cta,0.00708,0.00706,0.0136,593.2,0.624,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,T,vendor:auto,0.00909,0.00912,0.0213,461.8,0.486,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,T,native:direct,0.04668,0.04706,0.0181,89.9,0.095,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,T,native:cta,0.00670,0.00669,0.0167,627.0,0.660,0.00e+00,512,1,512,0
vendor,cdouble,512,1,512,T,vendor:auto,0.02146,0.02151,0.0057,391.3,0.412,0.00e+00,512,1,512,0
native:direct,cdouble,512,1,512,T,native:direct,0.06890,0.06888,0.0014,121.9,0.128,0.00e+00,512,1,512,0
native:cta,cdouble,512,1,512,T,native:cta,0.00871,0.00873,0.0089,964.5,1.015,0.00e+00,512,1,512,0
vendor,float,512,1,512,C,vendor:auto,0.00850,0.00858,0.0250,246.9,0.260,0.00e+00,512,1,512,0
native:direct,float,512,1,512,C,native:direct,0.02563,0.02563,0.0044,81.9,0.086,0.00e+00,512,1,512,0
native:cta,float,512,1,512,C,native:cta,0.00645,0.00646,0.0086,325.4,0.342,0.00e+00,512,1,512,0
vendor,double,512,1,512,C,vendor:auto,0.01139,0.01138,0.0088,368.5,0.388,0.00e+00,512,1,512,0
