arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
vendor,cdouble,32,128,128,T,vendor:auto,0.01301,0.01300,0.0139,670.1,0.705,0.00e+00,32,8,0
native:cta,cdouble,32,128,128,T,native:cta,0.02587,0.02644,0.0670,337.0,0.355,0.00e+00,32,8,0
vendor,cdouble,32,128,256,T,vendor:auto,0.01690,0.01714,0.0389,1031.7,1.086,0.00e+00,32,16,0
native:cta,cdouble,32,128,256,T,native:cta,0.04566,0.04563,0.0014,381.8,0.402,0.00e+00,32,16,0
vendor,cdouble,32,128,512,T,vendor:auto,0.02491,0.02494,0.0105,1399.8,1.473,0.00e+00,32,32,0
native:cta,cdouble,32,128,512,T,native:cta,0.08578,0.08577,0.0018,406.4,0.428,0.00e+00,32,32,0
vendor,cdouble,32,256,128,T,vendor:auto,0.01688,0.01691,0.0174,1028.9,1.083,0.00e+00,32,16,0
native:cta,cdouble,32,256,128,T,native:cta,0.04584,0.04584,0.0016,378.9,0.399,0.00e+00,32,16,0
vendor,cdouble,32,256,256,T,vendor:auto,0.02496,0.02498,0.0125,1391.8,1.465,0.00e+00,32,32,0
native:cta,cdouble,32,256,256,T,native:cta,0.08570,0.08569,0.0014,405.3,0.427,0.00e+00,32,32,0
vendor,cdouble,32,256,512,T,vendor:auto,0.04000,0.04019,0.0186,1736.7,1.828,0.00e+00,32,64,0
native:cta,cdouble,32,256,512,T,native:cta,0.16544,0.16546,0.0008,419.9,0.442,0.00e+00,32,64,0
vendor,cdouble,32,512,128,T,vendor:auto,0.02499,0.02490,0.0150,1387.4,1.460,0.00e+00,32,32,0
native:cta,cdouble,32,512,128,T,native:cta,0.08569,0.08569,0.0009,404.6,0.426,0.00e+00,32,32,0
vendor,cdouble,32,512,256,T,vendor:auto,0.03986,0.03985,0.0020,1739.6,1.831,0.00e+00,32,64,0
native:cta,cdouble,32,512,256,T,native:cta,0.16525,0.16528,0.0011,419.6,0.442,0.00e+00,32,64,0
vendor,cdouble,32,512,512,T,vendor:auto,0.16062,0.16081,0.0028,863.4,0.909,0.00e+00,32,128,0
native:cta,cdouble,32,512,512,T,native:cta,0.32575,0.32576,0.0006,425.7,0.448,0.00e+00,32,128,0
vendor,cdouble,48,128,128,T,vendor:auto,0.01447,0.01444,0.0128,894.8,0.942,0.00e+00,48,12,0
native:cta,cdouble,48,128,128,T,native:cta,0.03413,0.03416,0.0032,379.2,0.399,0.00e+00,48,12,0
vendor,cdouble,48,128,256,T,vendor:auto,0.02127,0.02137,0.0123,1217.2,1.281,0.00e+00,48,24,0
native:cta,cdouble,48,128,256,T,native:cta,0.06230,0.06230,0.0012,415.5,0.437,0.00e+00,48,24,0
vendor,cdouble,48,128,512,T,vendor:auto,0.03194,0.03203,0.0066,1621.2,1.706,0.00e+00,48,48,0
native:cta,cdouble,48,128,512,T,native:cta,0.11879,0.11879,0.0010,435.8,0.459,0.00e+00,48,48,0
vendor,cdouble,48,256,128,T,vendor:auto,0.02134,0.02133,0.0191,1208.2,1.272,0.00e+00,48,24,0
native:cta,cdouble,48,256,128,T,native:cta,0.06240,0.06244,0.0020,413.3,0.435,0.00e+00,48,24,0
vendor,cdouble,48,256,256,T,vendor:auto,0.03203,0.03201,0.0086,1610.1,1.695,0.00e+00,48,48,0
native:cta,cdouble,48,256,256,T,native:cta,0.11873,0.11875,0.0011,434.4,0.457,0.00e+00,48,48,0
vendor,cdouble,48,256,512,T,vendor:auto,0.18100,0.17996,0.0318,569.9,0.600,0.00e+00,48,96,0
native:cta,cdouble,48,256,512,T,native:cta,0.23350,0.23344,0.0010,441.8,0.465,0.00e+00,48,96,0
vendor,cdouble,48,512,128,T,vendor:auto,0.03186,0.03198,0.0101,1615.6,1.701,0.00e+00,48,48,0
native:cta,cdouble,48,512,128,T,native:cta,0.11864,0.11869,0.0008,433.9,0.457,0.00e+00,48,48,0
vendor,cdouble,48,512,256,T,vendor:auto,0.18213,0.18170,0.0326,565.3,0.595,0.00e+00,48,96,0
native:cta,cdouble,48,512,256,T,native:cta,0.23352,0.23348,0.0008,440.9,0.464,0.00e+00,48,96,0
vendor,cdouble,48,512,512,T,vendor:auto,0.30590,0.31177,0.0611,673.1,0.709,0.00e+00,48,192,0
native:cta,cdouble,48,512,512,T,native:cta,0.45911,0.45912,0.0004,448.5,0.472,0.00e+00,48,192,0
vendor,cdouble,64,128,128,T,vendor:auto,0.01594,0.01612,0.0339,1077.5,1.134,0.00e+00,64,16,0
native:cta,cdouble,64,128,128,T,native:cta,0.03008,0.03012,0.0036,570.9,0.601,0.00e+00,64,16,0
vendor,cdouble,64,128,256,T,vendor:auto,0.02460,0.02463,0.0140,1396.0,1.470,0.00e+00,64,32,0
native:cta,cdouble,64,128,256,T,native:cta,0.05419,0.05446,0.0174,633.7,0.667,0.00e+00,64,32,0
vendor,cdouble,64,128,512,T,vendor:auto,0.03761,0.03785,0.0199,1826.0,1.922,0.00e+00,64,64,0
native:cta,cdouble,64,128,512,T,native:cta,0.10254,0.10254,0.0019,669.8,0.705,0.00e+00,64,64,0
vendor,cdouble,64,256,128,T,vendor:auto,0.02470,0.02473,0.0080,1385.2,1.458,0.00e+00,64,32,0
native:cta,cdouble,64,256,128,T,native:cta,0.05422,0.05425,0.0033,631.0,0.664,0.00e+00,64,32,0
vendor,cdouble,64,256,256,T,vendor:auto,0.03734,0.03737,0.0059,1832.2,1.929,0.00e+00,64,64,0
native:cta,cdouble,64,256,256,T,native:cta,0.10254,0.10257,0.0015,667.2,0.702,0.00e+00,64,64,0
vendor,cdouble,64,256,512,T,vendor:auto,0.37521,0.37569,0.0043,364.7,0.384,0.00e+00,64,128,0
native:cta,cdouble,64,256,512,T,native:cta,0.20016,0.20010,0.0014,683.7,0.720,0.00e+00,64,128,0
vendor,cdouble,64,512,128,T,vendor:auto,0.03721,0.03725,0.0050,1835.1,1.932,0.00e+00,64,64,0
native:cta,cdouble,64,512,128,T,native:cta,0.10235,0.10240,0.0013,667.2,0.702,0.00e+00,64,64,0
vendor,cdouble,64,512,256,T,vendor:auto,0.37668,0.37636,0.0030,362.6,0.382,0.00e+00,64,128,0
native:cta,cdouble,64,512,256,T,native:cta,0.20014,0.20012,0.0009,682.4,0.718,0.00e+00,64,128,0
vendor,cdouble,64,512,512,T,vendor:auto,0.74803,0.74817,0.0028,365.2,0.384,0.00e+00,64,256,0
native:cta,cdouble,64,512,512,T,native:cta,0.39276,0.39274,0.0007,695.5,0.732,0.00e+00,64,256,0
vendor,cdouble,80,128,128,T,vendor:auto,0.01752,0.01751,0.0081,1221.6,1.286,0.00e+00,80,20,0
native:cta,cdouble,80,128,128,T,native:cta,0.03438,0.03439,0.0028,622.4,0.655,0.00e+00,80,20,0
vendor,cdouble,80,128,256,T,vendor:auto,0.02917,0.02927,0.0113,1467.1,1.544,0.00e+00,80,40,0
native:cta,cdouble,80,128,256,T,native:cta,0.06233,0.06235,0.0015,686.6,0.723,0.00e+00,80,40,0
