arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,note
vendor,float,256,256,512,T,vendor:auto,0.15222,0.15218,0.0011,888.6,0.935,0.00e+00,256,same_shape
native:cta,float,256,256,512,T,native:cta,0.15105,0.15109,0.0013,895.5,0.943,0.00e+00,256,same_shape
vendor,float,288,384,384,T,vendor:auto,0.18933,0.18932,0.0013,902.7,0.950,0.00e+00,288,same_shape
native:cta,float,288,384,384,T,native:cta,0.18789,0.18787,0.0007,909.6,0.957,0.00e+00,288,same_shape
vendor,float,160,1024,384,T,vendor:auto,0.27436,0.27439,0.0011,923.9,0.973,0.00e+00,160,same_shape
native:cta,float,160,1024,384,T,native:cta,0.27519,0.27530,0.0013,921.1,0.970,0.00e+00,160,same_shape
vendor,double,256,256,512,T,vendor:auto,0.29461,0.29467,0.0008,918.3,0.967,0.00e+00,256,same_shape
native:cta,double,256,256,512,T,native:cta,0.29420,0.29424,0.0012,919.5,0.968,0.00e+00,256,same_shape
vendor,double,288,384,384,T,vendor:auto,0.36977,0.36988,0.0008,924.4,0.973,0.00e+00,288,same_shape
native:cta,double,288,384,384,T,native:cta,0.36957,0.36950,0.0005,924.9,0.974,0.00e+00,288,same_shape
vendor,double,160,1024,384,T,vendor:auto,0.54644,0.54637,0.0006,927.7,0.977,0.00e+00,160,same_shape
native:cta,double,160,1024,384,T,native:cta,0.54723,0.54746,0.0016,926.4,0.975,0.00e+00,160,same_shape
vendor,cfloat,256,256,512,T,vendor:auto,0.29349,0.29362,0.0011,921.8,0.970,0.00e+00,256,same_shape
native:cta,cfloat,256,256,512,T,native:cta,0.29328,0.29340,0.0009,922.4,0.971,0.00e+00,256,same_shape
vendor,cfloat,288,384,384,T,vendor:auto,0.36908,0.36912,0.0004,926.1,0.975,0.00e+00,288,same_shape
native:cta,cfloat,288,384,384,T,native:cta,0.37027,0.37037,0.0010,923.1,0.972,0.00e+00,288,same_shape
vendor,cfloat,160,1024,384,T,vendor:auto,0.54768,0.54782,0.0010,925.6,0.974,0.00e+00,160,same_shape
native:cta,cfloat,160,1024,384,T,native:cta,0.54610,0.54610,0.0004,928.3,0.977,0.00e+00,160,same_shape
vendor,cdouble,256,256,512,T,vendor:auto,1.60068,1.59779,0.0086,338.0,0.356,0.00e+00,256,same_shape
native:cta,cdouble,256,256,512,T,native:cta,0.58699,0.58727,0.0019,921.8,0.970,0.00e+00,256,same_shape
vendor,cdouble,288,384,384,T,vendor:auto,2.10594,2.10349,0.0060,324.6,0.342,0.00e+00,288,same_shape
native:cta,cdouble,288,384,384,T,native:cta,0.73711,0.73768,0.0016,927.4,0.976,0.00e+00,288,same_shape
vendor,cdouble,160,1024,384,T,vendor:auto,3.15918,3.15742,0.0060,320.9,0.338,0.00e+00,160,same_shape
native:cta,cdouble,160,1024,384,T,native:cta,1.09273,1.09264,0.0006,927.9,0.977,0.00e+00,160,same_shape
vendor,float,256,256,8192,T,vendor:auto,2.30333,2.30345,0.0003,939.6,0.989,0.00e+00,256,matched_bytes
native:cta,float,256,256,8192,T,native:cta,2.30239,2.30398,0.0026,940.0,0.989,0.00e+00,256,matched_bytes
vendor,double,256,256,4096,T,vendor:auto,2.28794,2.28798,0.0003,945.9,0.996,0.00e+00,256,matched_bytes
native:cta,double,256,256,4096,T,native:cta,2.30054,2.30063,0.0003,940.8,0.990,0.00e+00,256,matched_bytes
vendor,cfloat,256,256,4096,T,vendor:auto,2.29888,2.29890,0.0002,941.4,0.991,0.00e+00,256,matched_bytes
native:cta,cfloat,256,256,4096,T,native:cta,2.30070,2.30068,0.0002,940.7,0.990,0.00e+00,256,matched_bytes
vendor,cdouble,256,256,2048,T,vendor:auto,6.69967,6.70753,0.0062,323.0,0.340,0.00e+00,256,matched_bytes
native:cta,cdouble,256,256,2048,T,native:cta,2.31128,2.31968,0.0089,936.4,0.986,0.00e+00,256,matched_bytes
