tag,type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr,ld
typecheck,double,256,256,2048,Trans,1.13096,1.16512,0.0627,956.8,1.063,0.00e+00,256
typecheck,cdouble,256,256,1024,Trans,3.32945,3.37791,0.0315,325.0,0.361,0.00e+00,256
typecheck,cfloat,256,256,2048,Trans,1.15509,1.15531,0.0006,936.8,1.041,0.00e+00,256
typecheck,float,256,256,4096,Trans,1.15592,1.15587,0.0003,936.2,1.040,0.00e+00,256
typecheck,double,64,256,8192,Trans,1.13341,1.16710,0.0625,965.9,1.073,0.00e+00,64
typecheck,cdouble,64,256,4096,Trans,2.91551,2.95403,0.0324,375.5,0.417,0.00e+00,64
typecheck,cfloat,64,256,8192,Trans,1.13252,1.15231,0.0546,966.6,1.074,0.00e+00,64
typecheck,float,64,256,16384,Trans,1.13279,1.16865,0.0655,966.4,1.074,0.00e+00,64
batchdep2,cdouble,64,512,128,Trans,0.08329,0.08333,0.0061,819.8,0.911,0.00e+00,64
batchdep2,cdouble,64,512,256,Trans,0.36764,0.36790,0.0027,371.5,0.413,0.00e+00,64
batchdep2,cdouble,64,512,384,Trans,0.54853,0.54830,0.0037,373.5,0.415,0.00e+00,64
batchdep2,cdouble,64,512,512,Trans,0.73562,0.73590,0.0021,371.3,0.413,0.00e+00,64
batchdep2,cdouble,64,512,768,Trans,1.10128,1.10111,0.0026,372.0,0.413,0.00e+00,64
batchdep2,cdouble,64,512,1024,Trans,1.46664,1.49907,0.0466,372.5,0.414,0.00e+00,64
batchdep2,cdouble,64,512,2048,Trans,2.92308,2.96273,0.0318,373.8,0.415,0.00e+00,64
batchdep2,cdouble,64,512,4096,Trans,5.90918,5.98667,0.0311,369.8,0.411,0.00e+00,64
