tag,type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr,ld
mboundary,cdouble,48,128,10922,Trans,1.47846,1.50067,0.0967,747.0,0.830,0.00e+00,48
mboundary,cdouble,64,128,8192,Trans,2.91398,2.96456,0.0376,377.1,0.419,0.00e+00,64
mboundary,cdouble,80,128,6553,Trans,2.96482,3.07703,0.0580,369.5,0.411,0.00e+00,80
mboundary,cdouble,96,128,5461,Trans,1.18355,1.18359,0.0005,923.7,1.026,0.00e+00,96
mboundary,cdouble,112,128,4681,Trans,1.18259,1.21652,0.0592,923.1,1.026,0.00e+00,112
mboundary,cdouble,128,128,4096,Trans,1.18263,1.21604,0.0589,922.1,1.025,0.00e+00,128
mboundary,cdouble,144,128,3640,Trans,1.18307,1.21607,0.0585,920.8,1.023,0.00e+00,144
mboundary,cdouble,160,128,3276,Trans,1.20734,1.24055,0.0573,901.6,1.002,0.00e+00,160
mboundary,cdouble,192,128,2730,Trans,1.18739,1.18764,0.0013,915.8,1.018,0.00e+00,192
mboundary,cdouble,224,128,2340,Trans,1.17835,1.21226,0.0606,922.2,1.025,0.00e+00,224
mboundary,cdouble,256,128,2048,Trans,1.17220,1.17272,0.0013,926.7,1.030,0.00e+00,256
mboundary,cdouble,288,128,1820,Trans,1.18120,1.21473,0.0584,919.1,1.021,0.00e+00,288
mboundary,cdouble,320,128,1638,Trans,1.20060,1.20237,0.0040,903.9,1.004,0.00e+00,320
mboundary,cdouble,384,128,1365,Trans,1.19405,1.21267,0.0466,908.4,1.009,0.00e+00,384
mboundary,cdouble,448,128,1170,Trans,1.18118,1.18135,0.0016,917.9,1.020,0.00e+00,448
mboundary,cdouble,512,128,1024,Trans,1.17587,1.20756,0.0583,922.1,1.025,0.00e+00,512
mboundary,cdouble,48,256,5461,Trans,1.42623,1.44555,0.0676,771.4,0.857,0.00e+00,48
mboundary,cdouble,64,256,4096,Trans,2.92720,2.96417,0.0306,374.0,0.416,0.00e+00,64
mboundary,cdouble,80,256,3276,Trans,2.97296,3.01273,0.0407,367.0,0.408,0.00e+00,80
mboundary,cdouble,96,256,2730,Trans,3.12293,3.14635,0.0366,348.7,0.387,0.00e+00,96
mboundary,cdouble,112,256,2340,Trans,2.63537,2.65679,0.0372,412.6,0.458,0.00e+00,112
mboundary,cdouble,128,256,2048,Trans,3.05023,3.08427,0.0416,356.1,0.396,0.00e+00,128
mboundary,cdouble,144,256,1820,Trans,2.82954,2.86097,0.0354,383.5,0.426,0.00e+00,144
mboundary,cdouble,160,256,1638,Trans,3.36079,3.39975,0.0280,322.7,0.359,0.00e+00,160
mboundary,cdouble,192,256,1365,Trans,3.29323,3.33767,0.0352,328.9,0.365,0.00e+00,192
mboundary,cdouble,224,256,1170,Trans,3.23956,3.27824,0.0268,334.1,0.371,0.00e+00,224
mboundary,cdouble,256,256,1024,Trans,3.35411,3.45149,0.0489,322.6,0.358,0.00e+00,256
mboundary,cdouble,288,256,910,Trans,3.23091,3.27524,0.0312,334.7,0.372,0.00e+00,288
mboundary,cdouble,320,256,819,Trans,3.47467,3.50443,0.0300,311.1,0.346,0.00e+00,320
mboundary,cdouble,384,256,682,Trans,1.19188,1.22440,0.0572,905.9,1.007,0.00e+00,384
mboundary,cdouble,448,256,585,Trans,1.18880,1.19861,0.0181,908.5,1.009,0.00e+00,448
mboundary,cdouble,512,256,512,Trans,1.19726,1.22866,0.0562,902.1,1.002,0.00e+00,512
ldtest,cdouble,256,256,1024,Trans,3.38802,3.41374,0.0251,319.4,0.355,0.00e+00,256
ldtest,cdouble,256,256,1024,Trans,3.52530,3.56833,0.0277,307.0,0.341,0.00e+00,257
ldtest,cdouble,256,256,1024,Trans,3.33083,3.36955,0.0307,324.9,0.361,0.00e+00,264
ldtest,cdouble,256,256,1024,Trans,3.48797,3.53086,0.0236,310.2,0.345,0.00e+00,320
ldtest,cdouble,64,2048,512,Trans,2.92776,2.99070,0.0410,372.7,0.414,0.00e+00,64
ldtest,cdouble,64,2048,512,Trans,3.11967,3.16620,0.0333,349.7,0.389,0.00e+00,65
ldtest,cdouble,64,2048,512,Trans,2.91833,2.95918,0.0400,373.9,0.415,0.00e+00,72
ldtest,cdouble,64,2048,512,Trans,3.12265,3.16486,0.0288,349.4,0.388,0.00e+00,128
ldctrl,cdouble,512,512,256,Trans,1.16884,1.16941,0.0022,922.2,1.025,0.00e+00,512
ldctrl,cdouble,512,512,256,Trans,1.50155,1.53262,0.0428,717.9,0.798,0.00e+00,513
ldctrl,cdouble,512,512,256,Trans,1.18760,1.18809,0.0045,907.7,1.009,0.00e+00,520
batchdep,cdouble,256,256,64,Trans,0.08382,0.08416,0.0113,806.8,0.896,0.00e+00,256
batchdep,cdouble,256,256,128,Trans,0.15380,0.15391,0.0033,879.5,0.977,0.00e+00,256
batchdep,cdouble,256,256,256,Trans,0.29584,0.32703,0.2051,914.5,1.016,0.00e+00,256
batchdep,cdouble,256,256,512,Trans,1.60572,1.63773,0.0422,337.0,0.374,0.00e+00,256
batchdep,cdouble,256,256,1024,Trans,3.32364,3.37301,0.0317,325.6,0.362,0.00e+00,256
batchdep,cdouble,256,256,2048,Trans,6.76655,6.91129,0.0427,319.8,0.355,0.00e+00,256
batchdep,cdouble,256,256,4096,Trans,13.66964,13.83359,0.0215,316.7,0.352,0.00e+00,256
batchdep,cdouble,256,256,64,NoTrans,0.03726,0.03712,0.0108,1814.9,2.017,0.00e+00,256
batchdep,cdouble,256,256,256,NoTrans,0.29817,0.29806,0.0025,907.3,1.008,0.00e+00,256
batchdep,cdouble,256,256,1024,NoTrans,1.15385,1.15441,0.0011,937.8,1.042,0.00e+00,256
batchdep,cdouble,256,256,4096,NoTrans,4.58794,4.64321,0.0375,943.5,1.048,0.00e+00,256
