type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr
cdouble,32,32,32768,Trans,0.58789,0.58771,0.0023,970.3,1.078,0.00e+00
cdouble,32,32,32768,NoTrans,0.62464,0.62477,0.0007,913.2,1.015,0.00e+00
cdouble,32,64,32768,Trans,1.16948,1.21054,0.0742,961.2,1.068,0.00e+00
cdouble,32,64,32768,NoTrans,1.13631,1.13651,0.0008,989.2,1.099,0.00e+00
cdouble,32,128,16384,Trans,1.19273,1.19032,0.0028,935.4,1.039,0.00e+00
cdouble,32,128,16384,NoTrans,1.20310,1.23497,0.0566,927.3,1.030,0.00e+00
cdouble,32,256,8192,Trans,1.18166,1.20323,0.0570,940.6,1.045,0.00e+00
cdouble,32,256,8192,NoTrans,1.19227,1.21022,0.0471,932.3,1.036,0.00e+00
cdouble,32,512,4096,Trans,1.18817,1.18865,0.0030,933.7,1.037,0.00e+00
cdouble,32,512,4096,NoTrans,1.18081,1.18091,0.0009,939.5,1.044,0.00e+00
cdouble,32,1024,2048,Trans,1.41956,1.41922,0.0023,780.8,0.868,0.00e+00
cdouble,32,1024,2048,NoTrans,1.24229,1.24172,0.0030,892.2,0.991,0.00e+00
cdouble,32,2048,1024,Trans,1.43533,1.43541,0.0024,771.8,0.858,0.00e+00
cdouble,32,2048,1024,NoTrans,1.25751,1.25921,0.0031,881.0,0.979,0.00e+00
cdouble,64,32,32768,Trans,1.13457,1.13470,0.0005,990.7,1.101,0.00e+00
cdouble,64,32,32768,NoTrans,1.21937,1.23400,0.0375,921.8,1.024,0.00e+00
cdouble,64,64,16384,Trans,1.13020,1.13003,0.0004,979.7,1.089,0.00e+00
cdouble,64,64,16384,NoTrans,1.13470,1.16976,0.0649,975.8,1.084,0.00e+00
cdouble,64,128,8192,Trans,2.92356,2.98184,0.0386,375.9,0.418,0.00e+00
cdouble,64,128,8192,NoTrans,1.18010,1.19018,0.0213,931.2,1.035,0.00e+00
cdouble,64,256,4096,Trans,2.91731,2.95840,0.0356,375.2,0.417,0.00e+00
cdouble,64,256,4096,NoTrans,1.17453,1.20695,0.0575,932.0,1.036,0.00e+00
cdouble,64,512,2048,Trans,2.90544,2.95476,0.0330,376.1,0.418,0.00e+00
cdouble,64,512,2048,NoTrans,1.16825,1.16888,0.0018,935.3,1.039,0.00e+00
cdouble,64,1024,1024,Trans,2.91430,2.95304,0.0315,374.6,0.416,0.00e+00
cdouble,64,1024,1024,NoTrans,1.24212,1.24314,0.0024,878.8,0.976,0.00e+00
cdouble,64,2048,512,Trans,2.92023,2.97246,0.0398,373.6,0.415,0.00e+00
cdouble,64,2048,512,NoTrans,1.24565,1.26217,0.0458,875.9,0.973,0.00e+00
cdouble,128,32,16384,Trans,1.37672,1.37652,0.0042,810.4,0.900,0.00e+00
cdouble,128,32,16384,NoTrans,1.21055,1.22802,0.0448,921.6,1.024,0.00e+00
cdouble,128,64,8192,Trans,1.37510,1.38205,0.0231,799.1,0.888,0.00e+00
cdouble,128,64,8192,NoTrans,1.18682,1.21993,0.0577,925.9,1.029,0.00e+00
cdouble,128,128,4096,Trans,1.18236,1.21382,0.0556,922.3,1.025,0.00e+00
cdouble,128,128,4096,NoTrans,1.16907,1.16956,0.0010,932.8,1.036,0.00e+00
cdouble,128,256,2048,Trans,3.05198,3.08765,0.0328,355.9,0.395,0.00e+00
cdouble,128,256,2048,NoTrans,1.15941,1.15934,0.0009,937.0,1.041,0.00e+00
cdouble,128,512,1024,Trans,3.06769,3.09840,0.0320,353.4,0.393,0.00e+00
cdouble,128,512,1024,NoTrans,1.16026,1.15938,0.0021,934.5,1.038,0.00e+00
