
=== transA = NoTrans ===
type         m     n  batch      tr     A_MB    med_ms     GB/s  %roof    rsd    relerr
float       32    32   8192 NoTrans     32.0    0.0162   2205.9   245% L2  0.006   0.0e+00
double      32    32   8192 NoTrans     64.0    0.0706   1009.5   112% L2  0.003   0.0e+00
cfloat      32    32   8192 NoTrans     64.0    0.0664   1074.3   119% L2  0.003   0.0e+00
cdouble     32    32   8192 NoTrans    128.0    0.1641    868.8    96%  0.335   0.0e+00
float       64    64   4096 NoTrans     64.0    0.0222   3119.2   347% L2  0.006   0.0e+00
double      64    64   4096 NoTrans    128.0    0.1485    932.3   104%  0.002   0.0e+00
cfloat      64    64   4096 NoTrans    128.0    0.1487    931.1   103%  0.001   0.0e+00
cdouble     64    64   4096 NoTrans    256.0    0.2922    947.5   105%  0.002   0.0e+00
float      128   128   2048 NoTrans    128.0    0.1524    894.6    99%  0.350   0.0e+00
double     128   128   2048 NoTrans    256.0    0.2883    945.6   105%  0.001   0.0e+00
cfloat     128   128   2048 NoTrans    256.0    0.2959    921.5   102%  0.001   0.0e+00
cdouble    128   128   2048 NoTrans    512.0    0.5938    918.2   102%  0.099   0.0e+00
float      256   256   1024 NoTrans    256.0    0.2942    919.4   102%  0.158   0.0e+00
double     256   256   1024 NoTrans    512.0    0.5805    932.1   104%  0.001   0.0e+00
cfloat     256   256   1024 NoTrans    512.0    0.8254    655.5    73%  0.203   0.0e+00
cdouble    256   256   1024 NoTrans   1024.0    1.1561    936.0   104%  0.052   0.0e+00
float      512   512    512 NoTrans    512.0    0.5742    938.6   104%  0.103   0.0e+00
double     512   512    512 NoTrans   1024.0    1.1429    943.2   105%  0.053   0.0e+00
cfloat     512   512    512 NoTrans   1024.0    1.1400    945.5   105%  0.004   0.0e+00
cdouble    512   512    512 NoTrans   2048.0    2.7462    785.0    87%  0.078   0.0e+00
float     1024  1024    256 NoTrans   1024.0    1.1346    948.2   105%  0.057   0.0e+00
double    1024  1024    256 NoTrans   2048.0    2.2916    938.9   104%  0.041   0.0e+00
cfloat    1024  1024    256 NoTrans   2048.0    2.2582    952.8   106%  0.038   0.0e+00
cdouble   1024  1024    256 NoTrans   4096.0    4.5168    952.8   106%  0.025   0.0e+00
float     2048  2048    128 NoTrans   2048.0    2.2565    952.6   106%  0.036   0.0e+00
double    2048  2048    128 NoTrans   4096.0    4.5478    945.3   105%  0.043   0.0e+00
cfloat    2048  2048    128 NoTrans   4096.0    4.4960    956.2   106%  0.038   0.0e+00
cdouble   2048  2048    128 NoTrans   8192.0    9.5740    898.1   100%  0.026   0.0e+00
float       64    64   8192 NoTrans    128.0    0.1557    888.8    99%  0.002   0.0e+00
double      64    64   8192 NoTrans    256.0    0.2896    955.9   106%  0.002   0.0e+00
cfloat      64    64   8192 NoTrans    256.0    0.2755   1004.7   112%  0.001   0.0e+00
cdouble     64    64   8192 NoTrans    512.0    0.5723    967.4   108%  0.000   0.0e+00
float     2048  2048     64 NoTrans   1024.0    1.1335    948.2   105%  0.053   0.0e+00
double    2048  2048     64 NoTrans   2048.0    2.2816    942.2   105%  0.048   0.0e+00
cfloat    2048  2048     64 NoTrans   2048.0    2.2536    953.8   106%  0.035   0.0e+00
cdouble   2048  2048     64 NoTrans   4096.0    4.8041    894.9    99%  0.023   0.0e+00
float     2048    64   1024 NoTrans    512.0    0.5928    920.2   102%  0.097   0.0e+00
double    2048    64   1024 NoTrans   1024.0    1.1345    961.7   107%  0.056   0.0e+00
cfloat    2048    64   1024 NoTrans   1024.0    1.1333    962.7   107%  0.000   0.0e+00
cdouble   2048    64   1024 NoTrans   2048.0    2.3452    930.4   103%  0.035   0.0e+00
float       64  2048   1024 NoTrans    512.0    0.5784    943.1   105%  0.083   0.0e+00
double      64  2048   1024 NoTrans   1024.0    1.1505    948.3   105%  0.054   0.0e+00
cfloat      64  2048   1024 NoTrans   1024.0    1.1278    967.4   108%  0.001   0.0e+00
cdouble     64  2048   1024 NoTrans   2048.0    2.4701    883.4    98%  0.036   0.0e+00
float       32    32  65536 NoTrans    256.0    0.2899    983.7   109%  0.001   0.0e+00
double      32    32  65536 NoTrans    512.0    0.5738    994.1   110%  0.001   0.0e+00
cfloat      32    32  65536 NoTrans    512.0    0.5757    990.8   110%  0.105   0.0e+00
cdouble     32    32  65536 NoTrans   1024.0    1.2413    919.1   102%  0.048   0.0e+00
float       64    64  16384 NoTrans    256.0    0.3040    910.6   101%  0.001   0.0e+00
double      64    64  16384 NoTrans    512.0    0.5701    971.2   108%  0.108   0.0e+00
cfloat      64    64  16384 NoTrans    512.0    0.5701    971.1   108%  0.000   0.0e+00
cdouble     64    64  16384 NoTrans   1024.0    1.1364    974.4   108%  0.058   0.0e+00

=== transA = Trans ===
type         m     n  batch      tr     A_MB    med_ms     GB/s  %roof    rsd    relerr
float       32    32   8192   Trans     32.0    0.0206   1729.5   192% L2  0.005   0.0e+00
double      32    32   8192   Trans     64.0    0.0716    995.6   111% L2  0.002   0.0e+00
cfloat      32    32   8192   Trans     64.0    0.0689   1035.0   115% L2  0.003   0.0e+00
cdouble     32    32   8192   Trans    128.0    0.1530    931.9   103%  0.005   0.0e+00
float       64    64   4096   Trans     64.0    0.0669   1033.7   115% L2  0.002   0.0e+00
double      64    64   4096   Trans    128.0    0.1497    924.6   103%  0.005   0.0e+00
cfloat      64    64   4096   Trans    128.0    0.1468    942.8   105%  0.001   0.0e+00
cdouble     64    64   4096   Trans    256.0    0.2916    949.4   106%  0.001   0.0e+00
float      128   128   2048   Trans    128.0    0.1519    897.7   100%  0.001   0.0e+00
double     128   128   2048   Trans    256.0    0.2882    946.0   105%  0.245   0.0e+00
cfloat     128   128   2048   Trans    256.0    0.4981    547.3    61%  0.273   0.0e+00
cdouble    128   128   2048   Trans    512.0    0.9766    558.3    62%  0.193   0.0e+00
float      256   256   1024   Trans    256.0    0.2954    915.8   102%  0.023   0.0e+00
double     256   256   1024   Trans    512.0    0.5712    947.2   105%  0.007   0.0e+00
cfloat     256   256   1024   Trans    512.0    0.5809    931.4   103%  0.101   0.0e+00
cdouble    256   256   1024   Trans   1024.0    3.3529    322.7    36%  0.024   0.0e+00
float      512   512    512   Trans    512.0    0.5784    931.9   103%  0.007   0.0e+00
double     512   512    512   Trans   1024.0    1.1295    954.4   106%  0.051   0.0e+00
cfloat     512   512    512   Trans   1024.0    1.1453    941.2   105%  0.052   0.0e+00
cdouble    512   512    512   Trans   2048.0    2.3247    927.4   103%  0.064   0.0e+00
float     1024  1024    256   Trans   1024.0    1.1292    952.7   106%  0.002   0.0e+00
double    1024  1024    256   Trans   2048.0    2.2456    958.2   106%  0.035   0.0e+00
cfloat    1024  1024    256   Trans   2048.0    2.2646    950.1   106%  0.035   0.0e+00
cdouble   1024  1024    256   Trans   4096.0    4.6006    935.4   104%  0.024   0.0e+00
float     2048  2048    128   Trans   2048.0    2.2454    957.3   106%  0.032   0.0e+00
double    2048  2048    128   Trans   4096.0    4.4839    958.8   106%  0.030   0.0e+00
cfloat    2048  2048    128   Trans   4096.0    4.4829    959.0   107%  0.023   0.0e+00
cdouble   2048  2048    128   Trans   8192.0    9.2842    926.1   103%  0.023   0.0e+00
float       64    64   8192   Trans    128.0    0.1482    933.8   104%  0.001   0.0e+00
double      64    64   8192   Trans    256.0    0.2893    956.8   106%  0.001   0.0e+00
cfloat      64    64   8192   Trans    256.0    0.2887    958.9   106%  0.000   0.0e+00
cdouble     64    64   8192   Trans    512.0    0.5663    977.7   109%  0.001   0.0e+00
float     2048  2048     64   Trans   1024.0    1.1262    954.3   106%  0.000   0.0e+00
double    2048  2048     64   Trans   2048.0    2.2465    956.9   106%  0.032   0.0e+00
cfloat    2048  2048     64   Trans   2048.0    2.2446    957.7   106%  0.032   0.0e+00
cdouble   2048  2048     64   Trans   4096.0    4.6812    918.4   102%  0.025   0.0e+00
float     2048    64   1024   Trans    512.0    0.5782    943.4   105%  0.001   0.0e+00
double    2048    64   1024   Trans   1024.0    1.1262    968.8   108%  0.000   0.0e+00
cfloat    2048    64   1024   Trans   1024.0    1.1487    949.8   106%  0.000   0.0e+00
cdouble   2048    64   1024   Trans   2048.0    2.3681    921.4   102%  0.034   0.0e+00
float       64  2048   1024   Trans    512.0    0.5696    957.8   106%  0.002   0.0e+00
double      64  2048   1024   Trans   1024.0    1.1247    970.0   108%  0.000   0.0e+00
cfloat      64  2048   1024   Trans   1024.0    1.1325    963.4   107%  0.000   0.0e+00
cdouble     64  2048   1024   Trans   2048.0    5.8305    374.3    42%  0.044   0.0e+00
float       32    32  65536   Trans    256.0    0.2912    979.3   109%  0.000   0.0e+00
double      32    32  65536   Trans    512.0    0.5701   1000.5   111%  0.002   0.0e+00
cfloat      32    32  65536   Trans    512.0    0.5917    964.1   107%  0.104   0.0e+00
cdouble     32    32  65536   Trans   1024.0    1.2323    925.8   103%  0.058   0.0e+00
float       64    64  16384   Trans    256.0    0.2882    960.6   107%  0.000   0.0e+00
double      64    64  16384   Trans    512.0    0.5689    973.2   108%  0.003   0.0e+00
cfloat      64    64  16384   Trans    512.0    0.5682    974.4   108%  0.001   0.0e+00
cdouble     64    64  16384   Trans   1024.0    1.1363    974.5   108%  0.057   0.0e+00

=== DRAM-resident cells sorted by %roof (worst first) ===
type         m     n  batch      tr     A_MB    med_ms     GB/s  %roof    rsd    relerr
cdouble    256   256   1024   Trans   1024.0    3.3529    322.7    36%  0.024   0.0e+00
cdouble     64  2048   1024   Trans   2048.0    5.8305    374.3    42%  0.044   0.0e+00
cfloat     128   128   2048   Trans    256.0    0.4981    547.3    61%  0.273   0.0e+00
cdouble    128   128   2048   Trans    512.0    0.9766    558.3    62%  0.193   0.0e+00
cfloat     256   256   1024 NoTrans    512.0    0.8254    655.5    73%  0.203   0.0e+00
cdouble    512   512    512 NoTrans   2048.0    2.7462    785.0    87%  0.078   0.0e+00
cdouble     32    32   8192 NoTrans    128.0    0.1641    868.8    96%  0.335   0.0e+00
cdouble     64  2048   1024 NoTrans   2048.0    2.4701    883.4    98%  0.036   0.0e+00
float       64    64   8192 NoTrans    128.0    0.1557    888.8    99%  0.002   0.0e+00
float      128   128   2048 NoTrans    128.0    0.1524    894.6    99%  0.350   0.0e+00
cdouble   2048  2048     64 NoTrans   4096.0    4.8041    894.9    99%  0.023   0.0e+00
float      128   128   2048   Trans    128.0    0.1519    897.7   100%  0.001   0.0e+00
cdouble   2048  2048    128 NoTrans   8192.0    9.5740    898.1   100%  0.026   0.0e+00
float       64    64  16384 NoTrans    256.0    0.3040    910.6   101%  0.001   0.0e+00
float      256   256   1024   Trans    256.0    0.2954    915.8   102%  0.023   0.0e+00
cdouble    128   128   2048 NoTrans    512.0    0.5938    918.2   102%  0.099   0.0e+00
cdouble   2048  2048     64   Trans   4096.0    4.6812    918.4   102%  0.025   0.0e+00
cdouble     32    32  65536 NoTrans   1024.0    1.2413    919.1   102%  0.048   0.0e+00
float      256   256   1024 NoTrans    256.0    0.2942    919.4   102%  0.158   0.0e+00
float     2048    64   1024 NoTrans    512.0    0.5928    920.2   102%  0.097   0.0e+00
cfloat     128   128   2048 NoTrans    256.0    0.2959    921.5   102%  0.001   0.0e+00
cdouble   2048    64   1024   Trans   2048.0    2.3681    921.4   102%  0.034   0.0e+00
double      64    64   4096   Trans    128.0    0.1497    924.6   103%  0.005   0.0e+00
cdouble   2048  2048    128   Trans   8192.0    9.2842    926.1   103%  0.023   0.0e+00
cdouble     32    32  65536   Trans   1024.0    1.2323    925.8   103%  0.058   0.0e+00
cdouble    512   512    512   Trans   2048.0    2.3247    927.4   103%  0.064   0.0e+00
cdouble   2048    64   1024 NoTrans   2048.0    2.3452    930.4   103%  0.035   0.0e+00
cdouble     32    32   8192   Trans    128.0    0.1530    931.9   103%  0.005   0.0e+00
cfloat      64    64   4096 NoTrans    128.0    0.1487    931.1   103%  0.001   0.0e+00
cfloat     256   256   1024   Trans    512.0    0.5809    931.4   103%  0.101   0.0e+00
float      512   512    512   Trans    512.0    0.5784    931.9   103%  0.007   0.0e+00
double      64    64   4096 NoTrans    128.0    0.1485    932.3   104%  0.002   0.0e+00
double     256   256   1024 NoTrans    512.0    0.5805    932.1   104%  0.001   0.0e+00
float       64    64   8192   Trans    128.0    0.1482    933.8   104%  0.001   0.0e+00
cdouble   1024  1024    256   Trans   4096.0    4.6006    935.4   104%  0.024   0.0e+00
cdouble    256   256   1024 NoTrans   1024.0    1.1561    936.0   104%  0.052   0.0e+00
float      512   512    512 NoTrans    512.0    0.5742    938.6   104%  0.103   0.0e+00
double    1024  1024    256 NoTrans   2048.0    2.2916    938.9   104%  0.041   0.0e+00
cfloat     512   512    512   Trans   1024.0    1.1453    941.2   105%  0.052   0.0e+00
double    2048  2048     64 NoTrans   2048.0    2.2816    942.2   105%  0.048   0.0e+00
cfloat      64    64   4096   Trans    128.0    0.1468    942.8   105%  0.001   0.0e+00
double     512   512    512 NoTrans   1024.0    1.1429    943.2   105%  0.053   0.0e+00
float     2048    64   1024   Trans    512.0    0.5782    943.4   105%  0.001   0.0e+00
float       64  2048   1024 NoTrans    512.0    0.5784    943.1   105%  0.083   0.0e+00
double    2048  2048    128 NoTrans   4096.0    4.5478    945.3   105%  0.043   0.0e+00
double     128   128   2048 NoTrans    256.0    0.2883    945.6   105%  0.001   0.0e+00
double     128   128   2048   Trans    256.0    0.2882    946.0   105%  0.245   0.0e+00
cfloat     512   512    512 NoTrans   1024.0    1.1400    945.5   105%  0.004   0.0e+00
double     256   256   1024   Trans    512.0    0.5712    947.2   105%  0.007   0.0e+00
cdouble     64    64   4096 NoTrans    256.0    0.2922    947.5   105%  0.002   0.0e+00
float     1024  1024    256 NoTrans   1024.0    1.1346    948.2   105%  0.057   0.0e+00
float     2048  2048     64 NoTrans   1024.0    1.1335    948.2   105%  0.053   0.0e+00
double      64  2048   1024 NoTrans   1024.0    1.1505    948.3   105%  0.054   0.0e+00
cdouble     64    64   4096   Trans    256.0    0.2916    949.4   106%  0.001   0.0e+00
cfloat    2048    64   1024   Trans   1024.0    1.1487    949.8   106%  0.000   0.0e+00
cfloat    1024  1024    256   Trans   2048.0    2.2646    950.1   106%  0.035   0.0e+00
float     2048  2048    128 NoTrans   2048.0    2.2565    952.6   106%  0.036   0.0e+00
cfloat    1024  1024    256 NoTrans   2048.0    2.2582    952.8   106%  0.038   0.0e+00
cdouble   1024  1024    256 NoTrans   4096.0    4.5168    952.8   106%  0.025   0.0e+00
float     1024  1024    256   Trans   1024.0    1.1292    952.7   106%  0.002   0.0e+00
double     512   512    512   Trans   1024.0    1.1295    954.4   106%  0.051   0.0e+00
cfloat    2048  2048     64 NoTrans   2048.0    2.2536    953.8   106%  0.035   0.0e+00
float     2048  2048     64   Trans   1024.0    1.1262    954.3   106%  0.000   0.0e+00
cfloat    2048  2048    128 NoTrans   4096.0    4.4960    956.2   106%  0.038   0.0e+00
double      64    64   8192 NoTrans    256.0    0.2896    955.9   106%  0.002   0.0e+00
double      64    64   8192   Trans    256.0    0.2893    956.8   106%  0.001   0.0e+00
double    2048  2048     64   Trans   2048.0    2.2465    956.9   106%  0.032   0.0e+00
float     2048  2048    128   Trans   2048.0    2.2454    957.3   106%  0.032   0.0e+00
