type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr
float,32,32,8192,NoTrans,0.01616,0.01619,0.0065,2205.9,2.451,0.00e+00
double,32,32,8192,NoTrans,0.07064,0.07060,0.0026,1009.5,1.122,0.00e+00
cfloat,32,32,8192,NoTrans,0.06637,0.06634,0.0025,1074.3,1.194,0.00e+00
cdouble,32,32,8192,NoTrans,0.16413,0.18883,0.3351,868.8,0.965,0.00e+00
float,32,32,8192,Trans,0.02061,0.02063,0.0053,1729.5,1.922,0.00e+00
double,32,32,8192,Trans,0.07162,0.07172,0.0023,995.6,1.106,0.00e+00
cfloat,32,32,8192,Trans,0.06889,0.06892,0.0025,1035.0,1.150,0.00e+00
cdouble,32,32,8192,Trans,0.15302,0.15323,0.0046,931.9,1.035,0.00e+00
float,64,64,4096,NoTrans,0.02219,0.02216,0.0065,3119.2,3.466,0.00e+00
double,64,64,4096,NoTrans,0.14847,0.14864,0.0023,932.3,1.036,0.00e+00
cfloat,64,64,4096,NoTrans,0.14866,0.14863,0.0008,931.1,1.035,0.00e+00
cdouble,64,64,4096,NoTrans,0.29217,0.29230,0.0021,947.5,1.053,0.00e+00
float,64,64,4096,Trans,0.06695,0.06696,0.0022,1033.7,1.149,0.00e+00
double,64,64,4096,Trans,0.14970,0.14988,0.0053,924.6,1.027,0.00e+00
cfloat,64,64,4096,Trans,0.14681,0.14677,0.0009,942.8,1.048,0.00e+00
cdouble,64,64,4096,Trans,0.29158,0.29168,0.0011,949.4,1.055,0.00e+00
float,128,128,2048,NoTrans,0.15238,0.17651,0.3497,894.6,0.994,0.00e+00
double,128,128,2048,NoTrans,0.28833,0.28839,0.0007,945.6,1.051,0.00e+00
cfloat,128,128,2048,NoTrans,0.29585,0.29586,0.0010,921.5,1.024,0.00e+00
cdouble,128,128,2048,NoTrans,0.59385,0.61650,0.0986,918.2,1.020,0.00e+00
float,128,128,2048,Trans,0.15185,0.15186,0.0013,897.7,0.997,0.00e+00
double,128,128,2048,Trans,0.28819,0.30830,0.2446,946.0,1.051,0.00e+00
cfloat,128,128,2048,Trans,0.49815,0.45344,0.2726,547.3,0.608,0.00e+00
cdouble,128,128,2048,Trans,0.97660,0.96419,0.1934,558.3,0.620,0.00e+00
float,256,256,1024,NoTrans,0.29424,0.30719,0.1582,919.4,1.022,0.00e+00
double,256,256,1024,NoTrans,0.58046,0.58066,0.0010,932.1,1.036,0.00e+00
cfloat,256,256,1024,NoTrans,0.82540,0.73314,0.2025,655.5,0.728,0.00e+00
cdouble,256,256,1024,NoTrans,1.15608,1.18145,0.0524,936.0,1.040,0.00e+00
float,256,256,1024,Trans,0.29541,0.29810,0.0227,915.8,1.018,0.00e+00
double,256,256,1024,Trans,0.57121,0.57254,0.0071,947.2,1.052,0.00e+00
cfloat,256,256,1024,Trans,0.58091,0.60456,0.1006,931.4,1.035,0.00e+00
cdouble,256,256,1024,Trans,3.35295,3.37415,0.0235,322.7,0.359,0.00e+00
float,512,512,512,NoTrans,0.57422,0.59858,0.1026,938.6,1.043,0.00e+00
double,512,512,512,NoTrans,1.14290,1.16887,0.0534,943.2,1.048,0.00e+00
cfloat,512,512,512,NoTrans,1.14001,1.14101,0.0045,945.5,1.051,0.00e+00
cdouble,512,512,512,NoTrans,2.74620,2.76480,0.0778,785.0,0.872,0.00e+00
float,512,512,512,Trans,0.57838,0.57985,0.0071,931.9,1.035,0.00e+00
double,512,512,512,Trans,1.12949,1.15376,0.0512,954.4,1.060,0.00e+00
cfloat,512,512,512,Trans,1.14528,1.16974,0.0519,941.2,1.046,0.00e+00
cdouble,512,512,512,Trans,2.32467,2.39219,0.0642,927.4,1.030,0.00e+00
float,1024,1024,256,NoTrans,1.13460,1.16028,0.0570,948.2,1.054,0.00e+00
