arm,type,out_len,red_len,batch,transA,ld,kernel,grid,block,sectors_per_ld,occupancy_pct,dram_pct
native:direct,float,1,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),4.00,8.13,40.76
native:direct,cdouble,1,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),16.00,8.09,84.29
native:direct,float,2,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),3.00,8.17,32.60
native:direct,cdouble,2,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),12.00,8.14,82.72
native:direct,float,4,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),2.50,8.20,27.97
native:direct,cdouble,4,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),10.00,8.17,75.87
native:direct,float,8,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),2.50,8.24,26.60
native:direct,cdouble,8,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),9.00,8.23,72.23
native:direct,float,12,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),2.00,8.19,18.68
native:direct,cdouble,12,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),6.50,8.16,52.55
native:direct,float,16,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),2.50,8.27,26.28
native:direct,cdouble,16,2048,512,N,0,GemvSegNKernel,(512 1 1),(32 1 1),8.50,8.23,69.31
