arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,1,64,512,N,vendor:auto,0.00787,0.00792,0.0179,33.6,0.035,0.00e+00,1,1,64,0
native:direct,float,1,64,512,N,native:direct,0.00715,0.00716,0.0208,36.9,0.039,0.00e+00,1,1,64,0
vendor,double,1,64,512,N,vendor:auto,0.00791,0.00792,0.0166,66.8,0.070,0.00e+00,1,1,64,0
native:direct,double,1,64,512,N,native:direct,0.00644,0.00641,0.0203,82.1,0.086,0.00e+00,1,1,64,0
vendor,cfloat,1,64,512,N,vendor:auto,0.00779,0.00781,0.0137,67.9,0.071,0.00e+00,1,1,64,0
native:direct,cfloat,1,64,512,N,native:direct,0.00633,0.00634,0.0111,83.4,0.088,0.00e+00,1,1,64,0
vendor,cdouble,1,64,512,N,vendor:auto,0.00918,0.00918,0.0107,115.1,0.121,0.00e+00,1,1,64,0
native:direct,cdouble,1,64,512,N,native:direct,0.00775,0.00774,0.0200,136.4,0.144,0.00e+00,1,1,64,0
vendor,float,64,1,512,T,vendor:auto,0.00780,0.00787,0.0220,33.9,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,T,native:direct,0.00912,0.00911,0.0120,29.0,0.031,0.00e+00,64,1,64,0
native:cta,float,64,1,512,T,native:cta,0.00702,0.00696,0.0217,37.6,0.040,0.00e+00,64,1,64,0
vendor,double,64,1,512,T,vendor:auto,0.00839,0.00863,0.0659,63.0,0.066,0.00e+00,64,1,64,0
native:direct,double,64,1,512,T,native:direct,0.00937,0.00942,0.0213,56.4,0.059,0.00e+00,64,1,64,0
native:cta,double,64,1,512,T,native:cta,0.00612,0.00610,0.0219,86.3,0.091,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,T,vendor:auto,0.00798,0.00806,0.0351,66.2,0.070,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,T,native:direct,0.01068,0.01069,0.0057,49.5,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,T,native:cta,0.00606,0.00603,0.0181,87.2,0.092,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,T,vendor:auto,0.00929,0.00930,0.0142,113.7,0.120,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,T,native:direct,0.01369,0.01394,0.0417,77.2,0.081,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,T,native:cta,0.00661,0.00663,0.0183,159.9,0.168,0.00e+00,64,1,64,0
vendor,float,64,1,512,C,vendor:auto,0.00773,0.00814,0.1659,34.2,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,C,native:direct,0.00801,0.00802,0.0071,33.0,0.035,0.00e+00,64,1,64,0
native:cta,float,64,1,512,C,native:cta,0.00600,0.00604,0.0212,44.0,0.046,0.00e+00,64,1,64,0
