type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,24,2048,512,T,4,4,1,0.46320,1.27130,0.0018,0.0004,905.9,330.1,2.7446,0.00e+00,0.00e+00,24,2048,24,384,0
cdouble,24,2048,512,T,8,8,1,0.46442,1.27192,0.0020,0.0002,903.5,329.9,2.7387,0.00e+00,0.00e+00,24,2048,24,384,0
double,24,2048,512,T,4,4,1,0.23405,0.50672,0.0072,0.0004,896.5,414.1,2.1650,0.00e+00,0.00e+00,24,2048,24,192,0
double,24,2048,512,T,8,8,1,0.23604,0.50785,0.4185,0.0649,888.9,413.1,2.1516,0.00e+00,0.00e+00,24,2048,24,192,0
cfloat,24,2048,512,T,4,4,1,0.23244,0.23048,0.0086,0.0037,902.7,910.3,0.9916,0.00e+00,0.00e+00,24,2048,24,192,0
cfloat,24,2048,512,T,8,8,1,0.23532,0.23125,0.0049,0.0105,891.6,907.3,0.9827,0.00e+00,0.00e+00,24,2048,24,192,0
float,24,2048,512,T,4,4,1,0.12021,0.16114,0.0032,0.0029,872.7,651.0,1.3405,0.00e+00,0.00e+00,24,2048,24,96,0
float,24,2048,512,T,8,8,1,0.11870,0.16031,0.0037,0.0017,883.8,654.4,1.3506,0.00e+00,0.00e+00,24,2048,24,96,0
cdouble,32,2048,512,T,4,4,1,0.60840,1.27616,0.1489,0.0015,910.4,434.0,2.0976,0.00e+00,0.00e+00,32,2048,32,512,0
cdouble,32,2048,512,T,8,8,1,0.60827,1.27439,0.0044,0.0002,910.6,434.6,2.0951,0.00e+00,0.00e+00,32,2048,32,512,0
double,32,2048,512,T,4,4,1,0.30694,0.50683,0.0023,0.0009,902.3,546.4,1.6512,0.00e+00,0.00e+00,32,2048,32,256,0
double,32,2048,512,T,8,8,1,0.30690,0.50754,0.0027,0.0011,902.4,545.7,1.6538,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,T,4,4,1,0.30472,0.30018,0.0022,0.0020,908.9,922.6,0.9851,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,T,8,8,1,0.30866,0.30147,0.0021,0.0084,897.3,918.7,0.9767,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,T,4,4,1,0.15567,0.16668,0.0016,0.0065,889.6,830.8,1.0708,0.00e+00,0.00e+00,32,2048,32,128,0
float,32,2048,512,T,8,8,1,0.15515,0.16553,0.0017,0.0007,892.5,836.6,1.0669,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,T,4,4,1,0.89467,1.80283,0.0773,0.0612,919.3,456.2,2.0151,0.00e+00,0.00e+00,48,2048,48,768,0
cdouble,48,2048,512,T,8,8,1,1.02498,1.80299,0.0999,0.0003,802.4,456.2,1.7591,0.00e+00,0.00e+00,48,2048,48,768,0
double,48,2048,512,T,4,4,1,0.44904,0.50283,0.0034,0.0021,915.8,817.9,1.1198,0.00e+00,0.00e+00,48,2048,48,384,0
double,48,2048,512,T,8,8,1,0.46385,0.50266,0.0042,0.0022,886.6,818.1,1.0837,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,T,4,4,1,0.44915,0.44323,0.0027,0.0029,915.6,927.8,0.9868,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,T,8,8,1,0.63238,0.44350,0.0156,0.0021,650.3,927.2,0.7013,0.00e+00,0.00e+00,48,2048,48,384,0
float,48,2048,512,T,4,4,1,0.22664,0.22465,0.0011,0.0034,907.2,915.3,0.9912,0.00e+00,0.00e+00,48,2048,48,192,0
float,48,2048,512,T,8,8,1,0.22815,0.22519,0.0033,0.0034,901.3,913.1,0.9870,0.00e+00,0.00e+00,48,2048,48,192,0
cdouble,64,2048,512,T,4,4,1,1.18100,1.54000,0.0015,0.0004,923.8,708.5,1.3040,0.00e+00,0.00e+00,64,2048,64,1024,0
cdouble,64,2048,512,T,8,8,1,1.25993,1.54049,0.0057,0.0005,866.0,708.2,1.2227,0.00e+00,0.00e+00,64,2048,64,1024,0
double,64,2048,512,T,4,4,1,0.59282,0.58608,0.0023,0.0047,920.2,930.8,0.9886,0.00e+00,0.00e+00,64,2048,64,512,0
double,64,2048,512,T,8,8,1,0.59499,0.58710,0.1515,0.0032,916.9,929.2,0.9867,0.00e+00,0.00e+00,64,2048,64,512,0
cfloat,64,2048,512,T,4,4,1,0.59306,0.58966,0.0021,0.0054,919.8,925.1,0.9943,0.00e+00,0.00e+00,64,2048,64,512,0
cfloat,64,2048,512,T,8,8,1,0.62987,0.58963,0.0038,0.0035,866.1,925.2,0.9361,0.00e+00,0.00e+00,64,2048,64,512,0
float,64,2048,512,T,4,4,1,0.29953,0.29474,0.0023,0.0029,910.6,925.4,0.9840,0.00e+00,0.00e+00,64,2048,64,256,0
float,64,2048,512,T,8,8,1,0.30016,0.29492,0.0024,0.0030,908.7,924.9,0.9825,0.00e+00,0.00e+00,64,2048,64,256,0
cdouble,96,2048,512,T,4,4,1,1.75591,1.80755,0.0023,0.0005,927.3,900.8,1.0294,0.00e+00,0.00e+00,96,2048,96,1536,0
cdouble,96,2048,512,T,8,8,1,2.20343,1.80807,0.0350,0.0007,738.9,900.5,0.8206,0.00e+00,0.00e+00,96,2048,96,1536,0
double,96,2048,512,T,4,4,1,0.88018,0.87572,0.0034,0.0036,924.9,929.6,0.9949,0.00e+00,0.00e+00,96,2048,96,768,0
double,96,2048,512,T,8,8,1,1.29922,0.87809,0.0543,0.0039,626.6,927.1,0.6759,0.00e+00,0.00e+00,96,2048,96,768,0
cfloat,96,2048,512,T,4,4,1,0.88111,0.87600,0.0029,0.0031,923.9,929.3,0.9942,0.00e+00,0.00e+00,96,2048,96,768,0
