type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,4,2048,512,C,auto,8,1,0.12520,1.27004,0.0017,0.0006,670.3,66.1,10.1438,0.00e+00,0.00e+00,4,2048,4,64,0
double,4,2048,512,C,auto,8,1,0.04818,0.50441,0.0022,0.0005,870.8,83.2,10.4683,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,C,auto,8,1,0.02551,0.16032,0.0041,0.0012,1644.8,261.7,6.2844,0.00e+00,0.00e+00,4,2048,4,32,0
float,4,2048,512,C,auto,8,1,0.02406,0.14171,0.0047,0.0009,872.1,148.0,5.8909,0.00e+00,0.00e+00,4,2048,4,16,0
cdouble,16,2048,512,C,auto,8,1,0.31830,1.27328,0.0015,0.0004,896.5,224.1,4.0002,0.00e+00,0.00e+00,16,2048,16,256,0
double,16,2048,512,C,auto,8,1,0.16337,0.50736,0.0085,0.0041,873.3,281.2,3.1056,0.00e+00,0.00e+00,16,2048,16,128,0
cfloat,16,2048,512,C,auto,8,1,0.16109,0.18412,0.0029,0.0018,885.7,774.9,1.1430,0.00e+00,0.00e+00,16,2048,16,128,0
float,16,2048,512,C,auto,8,1,0.03053,0.14499,0.0411,0.0048,2336.7,492.0,4.7492,0.00e+00,0.00e+00,16,2048,16,64,0
cdouble,32,2048,512,C,auto,8,1,0.60730,1.27816,0.0038,0.0005,912.1,433.4,2.1046,0.00e+00,0.00e+00,32,2048,32,512,0
double,32,2048,512,C,auto,8,1,0.30610,0.50820,0.1101,0.1726,904.8,545.0,1.6602,0.00e+00,0.00e+00,32,2048,32,256,0
cfloat,32,2048,512,C,auto,1,1,0.30039,0.30086,0.0058,0.0046,922.0,920.5,1.0016,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,C,auto,4,1,0.15510,0.16675,0.0047,0.0061,892.8,830.5,1.0751,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,C,auto,4,1,0.89414,1.80229,0.0017,0.0002,919.9,456.4,2.0157,0.00e+00,0.00e+00,48,2048,48,768,0
double,48,2048,512,C,auto,4,1,0.44885,0.50474,0.0016,0.0022,916.2,814.8,1.1245,0.00e+00,0.00e+00,48,2048,48,384,0
cfloat,48,2048,512,C,auto,1,1,0.44326,0.44449,0.0053,0.0024,927.8,925.2,1.0028,0.00e+00,0.00e+00,48,2048,48,384,0
float,48,2048,512,C,auto,1,1,0.22449,0.22438,0.0007,0.0011,915.9,916.4,0.9995,0.00e+00,0.00e+00,48,2048,48,192,0
cdouble,64,2048,512,C,auto,4,1,1.18443,1.54432,0.0029,0.0004,921.2,706.5,1.3039,0.00e+00,0.00e+00,64,2048,64,1024,0
double,64,2048,512,C,auto,1,1,0.58644,0.58693,0.0021,0.0029,930.2,929.5,1.0008,0.00e+00,0.00e+00,64,2048,64,512,0
cfloat,64,2048,512,C,auto,1,1,0.59008,0.59014,0.0025,0.0051,924.5,924.4,1.0001,0.00e+00,0.00e+00,64,2048,64,512,0
float,64,2048,512,C,auto,1,1,0.29401,0.29490,0.0028,0.0010,927.7,924.9,1.0030,0.00e+00,0.00e+00,64,2048,64,256,0
cdouble,8,256,512,C,auto,8,1,0.02529,0.16428,0.0049,0.0102,748.8,115.3,6.4950,0.00e+00,0.00e+00,8,256,8,16,0
double,8,256,512,C,auto,8,1,0.01154,0.06835,0.0087,0.0014,820.9,138.5,5.9251,0.00e+00,0.00e+00,8,256,8,8,0
cfloat,8,256,512,C,auto,8,1,0.00870,0.02519,0.0109,0.0034,1088.8,376.0,2.8956,0.00e+00,0.00e+00,8,256,8,8,0
float,8,256,512,C,auto,8,1,0.00923,0.02412,0.0201,0.0072,513.3,196.3,2.6144,0.00e+00,0.00e+00,8,256,8,4,0
cdouble,16,256,512,C,auto,8,1,0.03357,0.16469,0.0032,0.0038,1065.9,217.3,4.9060,0.00e+00,0.00e+00,16,256,16,32,0
double,16,256,512,C,auto,8,1,0.01564,0.06895,0.0116,0.0016,1144.0,259.5,4.4087,0.00e+00,0.00e+00,16,256,16,16,0
cfloat,16,256,512,C,auto,8,1,0.01226,0.02552,0.0078,0.0028,1459.6,701.1,2.0818,0.00e+00,0.00e+00,16,256,16,16,0
float,16,256,512,C,auto,8,1,0.00876,0.02315,0.0109,0.0056,1021.1,386.4,2.6425,0.00e+00,0.00e+00,16,256,16,8,0
cdouble,32,256,512,C,auto,8,1,0.04985,0.16508,0.0028,0.0013,1393.4,420.8,3.3112,0.00e+00,0.00e+00,32,256,32,64,0
double,32,256,512,C,auto,8,1,0.01874,0.06849,0.0049,0.0014,1853.2,507.1,3.6543,0.00e+00,0.00e+00,32,256,32,32,0
cfloat,32,256,512,C,auto,1,1,0.02599,0.02603,0.0067,0.0044,1336.4,1334.5,1.0014,0.00e+00,0.00e+00,32,256,32,32,0
float,32,256,512,C,auto,4,1,0.01285,0.02445,0.0386,0.0172,1351.3,710.5,1.9020,0.00e+00,0.00e+00,32,256,32,16,0
cdouble,48,256,512,C,auto,4,1,0.12261,0.23351,0.0031,0.0021,841.3,441.7,1.9045,0.00e+00,0.00e+00,48,256,48,96,0
double,48,256,512,C,auto,4,1,0.02516,0.06798,0.0035,0.0017,2050.3,758.7,2.7023,0.00e+00,0.00e+00,48,256,48,48,0
cfloat,48,256,512,C,auto,1,1,0.02991,0.02983,0.0027,0.0030,1724.5,1729.3,0.9972,0.00e+00,0.00e+00,48,256,48,48,0
float,48,256,512,C,auto,1,1,0.02334,0.02337,0.0035,0.0049,1105.1,1103.5,1.0015,0.00e+00,0.00e+00,48,256,48,24,0
cdouble,64,256,512,C,auto,4,1,0.15776,0.20020,0.0049,0.0010,867.4,683.5,1.2690,0.00e+00,0.00e+00,64,256,64,128,0
double,64,256,512,C,auto,1,1,0.06878,0.06881,0.0017,0.0018,994.7,994.3,1.0004,0.00e+00,0.00e+00,64,256,64,64,0
cfloat,64,256,512,C,auto,1,1,0.02792,0.02823,0.0028,0.0062,2450.6,2423.6,1.0111,0.00e+00,0.00e+00,64,256,64,64,0
float,64,256,512,C,auto,1,1,0.02314,0.02318,0.0022,0.0036,1478.5,1476.1,1.0016,0.00e+00,0.00e+00,64,256,64,32,0
cdouble,8,64,512,C,auto,8,1,0.01107,0.04562,0.0063,0.0024,432.1,104.9,4.1198,0.00e+00,0.00e+00,8,64,8,4,0
double,8,64,512,C,auto,8,1,0.00748,0.02165,0.0069,0.0267,319.9,110.5,2.8954,0.00e+00,0.00e+00,8,64,8,2,0
cfloat,8,64,512,C,auto,8,1,0.00717,0.01121,0.0177,0.0085,333.5,213.3,1.5637,0.00e+00,0.00e+00,8,64,8,2,0
float,8,64,512,C,auto,8,1,0.00643,0.01021,0.0117,0.0113,186.2,117.2,1.5883,0.00e+00,0.00e+00,8,64,8,1,0
cdouble,32,64,512,C,auto,8,1,0.01704,0.04578,0.0052,0.0023,1030.5,383.6,2.6863,0.00e+00,0.00e+00,32,64,32,16,0
double,32,64,512,C,auto,8,1,0.01005,0.02166,0.3071,0.0231,874.2,405.4,2.1562,0.00e+00,0.00e+00,32,64,32,8,0
cfloat,32,64,512,C,auto,1,1,0.01085,0.01080,0.0098,0.0040,809.7,812.8,0.9961,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,C,auto,4,1,0.00751,0.01016,0.0076,0.0089,584.8,432.1,1.3534,0.00e+00,0.00e+00,32,64,32,4,0
cdouble,64,64,512,C,auto,4,1,0.02897,0.05416,0.0032,0.0016,1194.4,638.9,1.8694,0.00e+00,0.00e+00,64,64,64,32,0
double,64,64,512,C,auto,1,1,0.02172,0.02176,0.0070,0.0053,796.6,795.1,1.0018,0.00e+00,0.00e+00,64,64,64,16,0
cfloat,64,64,512,C,auto,1,1,0.01138,0.01132,0.0069,0.0087,1520.6,1527.7,0.9953,0.00e+00,0.00e+00,64,64,64,16,0
float,64,64,512,C,auto,1,1,0.01875,0.01846,0.1687,0.1641,461.4,468.7,0.9845,0.00e+00,0.00e+00,64,64,64,8,0
