type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,4,2048,512,C,auto,8,1,0.12602,1.26507,0.0043,0.0641,665.9,66.3,10.0389,0.00e+00,0.00e+00,4,2048,4,64,0
cfloat,4,2048,512,C,auto,8,1,0.02641,0.16085,0.0061,0.0012,1588.8,260.9,6.0908,0.00e+00,0.00e+00,4,2048,4,32,0
double,4,2048,512,C,auto,8,1,0.04921,0.50546,0.0059,0.0007,852.6,83.0,10.2708,0.00e+00,0.00e+00,4,2048,4,32,0
float,4,2048,512,C,auto,8,1,0.02484,0.14254,0.0042,0.0078,844.5,147.2,5.7377,0.00e+00,0.00e+00,4,2048,4,16,0
cdouble,16,2048,512,C,auto,8,1,0.31864,1.27494,0.0028,0.0008,895.5,223.8,4.0012,0.00e+00,0.00e+00,16,2048,16,256,0
cfloat,16,2048,512,C,auto,8,1,0.16162,0.18461,0.0036,0.0032,882.8,772.8,1.1423,0.00e+00,0.00e+00,16,2048,16,128,0
double,16,2048,512,C,auto,8,1,0.16269,0.50709,0.0062,0.0027,876.9,281.4,3.1169,0.00e+00,0.00e+00,16,2048,16,128,0
float,16,2048,512,C,auto,8,1,0.03182,0.14726,0.0399,0.0017,2241.9,484.4,4.6279,0.00e+00,0.00e+00,16,2048,16,64,0
cdouble,32,2048,512,C,auto,8,1,0.60847,1.27571,0.1751,0.0265,910.3,434.2,2.0966,0.00e+00,0.00e+00,32,2048,32,512,0
cfloat,32,2048,512,C,auto,1,1,0.30222,0.30130,0.0016,0.0010,916.4,919.2,0.9970,0.00e+00,0.00e+00,32,2048,32,256,0
double,32,2048,512,C,auto,8,1,0.30758,0.50812,0.0031,0.0020,900.4,545.1,1.6520,0.00e+00,0.00e+00,32,2048,32,256,0
float,32,2048,512,C,auto,4,1,0.15610,0.16739,0.3452,0.0038,887.1,827.3,1.0723,0.00e+00,0.00e+00,32,2048,32,128,0
cdouble,48,2048,512,C,auto,4,1,0.89740,1.80387,0.1052,0.0353,916.5,456.0,2.0101,0.00e+00,0.00e+00,48,2048,48,768,0
cfloat,48,2048,512,C,auto,1,1,0.44265,0.44418,0.0029,0.0026,929.0,925.8,1.0035,0.00e+00,0.00e+00,48,2048,48,384,0
double,48,2048,512,C,auto,4,1,0.44888,0.50284,0.0064,0.0021,916.1,817.8,1.1202,0.00e+00,0.00e+00,48,2048,48,384,0
float,48,2048,512,C,auto,1,1,0.22388,0.22436,0.0013,0.0068,918.4,916.5,1.0021,0.00e+00,0.00e+00,48,2048,48,192,0
cdouble,64,2048,512,C,auto,4,1,1.18330,1.53961,0.0032,0.0004,922.0,708.6,1.3011,0.00e+00,0.00e+00,64,2048,64,1024,0
cfloat,64,2048,512,C,auto,1,1,0.59084,0.59151,0.1942,0.1394,923.3,922.3,1.0011,0.00e+00,0.00e+00,64,2048,64,512,0
double,64,2048,512,C,auto,1,1,0.58687,0.58626,0.0177,0.0350,929.5,930.5,0.9990,0.00e+00,0.00e+00,64,2048,64,512,0
float,64,2048,512,C,auto,1,1,0.29454,0.29439,0.0008,0.0096,926.1,926.5,0.9995,0.00e+00,0.00e+00,64,2048,64,256,0
cdouble,8,256,512,C,auto,8,1,0.02523,0.16425,0.0027,0.0011,750.7,115.3,6.5102,0.00e+00,0.00e+00,8,256,8,16,0
cfloat,8,256,512,C,auto,8,1,0.00866,0.02522,0.2021,0.0039,1093.4,375.4,2.9124,0.00e+00,0.00e+00,8,256,8,8,0
double,8,256,512,C,auto,8,1,0.01164,0.06843,0.0153,0.0012,813.6,138.4,5.8787,0.00e+00,0.00e+00,8,256,8,8,0
float,8,256,512,C,auto,8,1,0.00812,0.02302,0.0102,0.0043,583.5,205.7,2.8370,0.00e+00,0.00e+00,8,256,8,4,0
cdouble,16,256,512,C,auto,8,1,0.03331,0.16450,0.0018,0.0010,1074.4,217.5,4.9391,0.00e+00,0.00e+00,16,256,16,32,0
cfloat,16,256,512,C,auto,8,1,0.01216,0.02541,0.0088,0.0030,1471.7,704.0,2.0905,0.00e+00,0.00e+00,16,256,16,16,0
double,16,256,512,C,auto,8,1,0.01507,0.06840,0.0087,0.0021,1186.9,261.6,4.5379,0.00e+00,0.00e+00,16,256,16,16,0
float,16,256,512,C,auto,8,1,0.00871,0.02320,0.0143,0.0045,1027.1,385.6,2.6638,0.00e+00,0.00e+00,16,256,16,8,0
cdouble,32,256,512,C,auto,8,1,0.04962,0.16472,0.0016,0.0010,1400.1,421.7,3.3197,0.00e+00,0.00e+00,32,256,32,64,0
cfloat,32,256,512,C,auto,1,1,0.02536,0.02539,0.0182,0.0036,1369.9,1368.2,1.0012,0.00e+00,0.00e+00,32,256,32,32,0
double,32,256,512,C,auto,8,1,0.01878,0.06836,0.0091,0.0090,1850.0,508.1,3.6409,0.00e+00,0.00e+00,32,256,32,32,0
float,32,256,512,C,auto,4,1,0.01152,0.02294,0.0475,0.0047,1507.7,756.9,1.9918,0.00e+00,0.00e+00,32,256,32,16,0
cdouble,48,256,512,C,auto,4,1,0.12226,0.23286,0.0049,0.0031,843.7,443.0,1.9046,0.00e+00,0.00e+00,48,256,48,96,0
cfloat,48,256,512,C,auto,1,1,0.02994,0.02991,0.0027,0.0037,1722.6,1724.2,0.9991,0.00e+00,0.00e+00,48,256,48,48,0
double,48,256,512,C,auto,4,1,0.02519,0.06811,0.0038,0.0015,2047.1,757.3,2.7033,0.00e+00,0.00e+00,48,256,48,48,0
float,48,256,512,C,auto,1,1,0.02320,0.02324,0.0027,0.0205,1111.5,1109.7,1.0017,0.00e+00,0.00e+00,48,256,48,24,0
cdouble,64,256,512,C,auto,4,1,0.15896,0.20033,0.4917,0.0016,860.9,683.1,1.2603,0.00e+00,0.00e+00,64,256,64,128,0
cfloat,64,256,512,C,auto,1,1,0.02798,0.02796,0.0032,0.0028,2445.3,2446.9,0.9994,0.00e+00,0.00e+00,64,256,64,64,0
double,64,256,512,C,auto,1,1,0.06861,0.06874,0.0016,0.0026,997.2,995.4,1.0019,0.00e+00,0.00e+00,64,256,64,64,0
float,64,256,512,C,auto,1,1,0.02313,0.02317,0.0038,0.0028,1478.7,1476.6,1.0014,0.00e+00,0.00e+00,64,256,64,32,0
cdouble,8,64,512,C,auto,8,1,0.01104,0.04571,0.0103,0.0020,433.5,104.7,4.1423,0.00e+00,0.00e+00,8,64,8,4,0
cfloat,8,64,512,C,auto,8,1,0.00650,0.01061,0.0108,0.0082,368.1,225.3,1.6333,0.00e+00,0.00e+00,8,64,8,2,0
double,8,64,512,C,auto,8,1,0.00743,0.02162,0.0156,0.0045,321.8,110.7,2.9082,0.00e+00,0.00e+00,8,64,8,2,0
float,8,64,512,C,auto,8,1,0.00637,0.01019,0.0097,0.0105,187.7,117.4,1.5988,0.00e+00,0.00e+00,8,64,8,1,0
cdouble,32,64,512,C,auto,8,1,0.01712,0.04594,0.0051,0.0028,1026.1,382.3,2.6841,0.00e+00,0.00e+00,32,64,32,16,0
cfloat,32,64,512,C,auto,1,1,0.01077,0.01074,0.0046,0.0136,815.5,817.7,0.9974,0.00e+00,0.00e+00,32,64,32,8,0
double,32,64,512,C,auto,8,1,0.00984,0.02153,0.0096,0.0038,892.1,407.9,2.1872,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,C,auto,4,1,0.00757,0.01019,0.0100,0.0036,579.9,430.8,1.3460,0.00e+00,0.00e+00,32,64,32,4,0
cdouble,64,64,512,C,auto,4,1,0.02857,0.05383,0.0036,0.0023,1211.2,642.8,1.8842,0.00e+00,0.00e+00,64,64,64,32,0
cfloat,64,64,512,C,auto,1,1,0.01144,0.01143,0.0077,0.0091,1513.0,1513.6,0.9997,0.00e+00,0.00e+00,64,64,64,16,0
double,64,64,512,C,auto,1,1,0.02175,0.02183,0.0080,0.0085,795.4,792.7,1.0034,0.00e+00,0.00e+00,64,64,64,16,0
float,64,64,512,C,auto,1,1,0.01019,0.01014,0.0089,0.0105,848.8,853.5,0.9945,0.00e+00,0.00e+00,64,64,64,8,0
