arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,gpu,foreign
vendor,cdouble,48,256,128,T,vendor:auto,0.05617,0.05605,0.0107,459.1,0.483,0.00e+00,48,256,48,24,0,0
native:cta,cdouble,48,256,128,T,native:cta,0.02482,0.02481,0.0044,1039.1,1.094,0.00e+00,48,256,48,24,0,0
vendor,cdouble,48,256,192,T,vendor:auto,0.07951,0.07928,0.0125,486.5,0.512,0.00e+00,48,256,48,36,0,0
native:cta,cdouble,48,256,192,T,native:cta,0.03547,0.03552,0.0039,1090.5,1.148,0.00e+00,48,256,48,36,0,0
vendor,cdouble,48,256,256,T,vendor:auto,0.09885,0.09883,0.0069,521.8,0.549,0.00e+00,48,256,48,48,0,0
native:cta,cdouble,48,256,256,T,native:cta,0.04341,0.04341,0.0022,1188.1,1.251,0.00e+00,48,256,48,48,0,0
vendor,cdouble,48,256,320,T,vendor:auto,0.12518,0.12540,0.0182,515.0,0.542,0.00e+00,48,256,48,60,0,0
native:cta,cdouble,48,256,320,T,native:cta,0.05264,0.05265,0.0022,1224.8,1.289,0.00e+00,48,256,48,60,0,0
vendor,cdouble,48,256,384,T,vendor:auto,0.14039,0.14051,0.0123,551.1,0.580,0.00e+00,48,256,48,72,0,0
native:cta,cdouble,48,256,384,T,native:cta,0.06360,0.06357,0.0033,1216.4,1.280,0.00e+00,48,256,48,72,0,0
vendor,cdouble,48,256,448,T,vendor:auto,0.15492,0.15374,0.0293,582.6,0.613,0.00e+00,48,256,48,84,0,0
native:cta,cdouble,48,256,448,T,native:cta,0.10637,0.10624,0.0050,848.5,0.893,0.00e+00,48,256,48,84,0,0
vendor,cdouble,48,256,512,T,vendor:auto,0.18799,0.18455,0.0447,548.7,0.578,0.00e+00,48,256,48,96,0,0
native:cta,cdouble,48,256,512,T,native:cta,0.12235,0.12230,0.0047,843.1,0.887,0.00e+00,48,256,48,96,0,0
vendor,cdouble,48,256,640,T,vendor:auto,0.22111,0.21531,0.0540,583.2,0.614,0.00e+00,48,256,48,120,0,0
native:cta,cdouble,48,256,640,T,native:cta,0.15030,0.15031,0.0060,857.9,0.903,0.00e+00,48,256,48,120,0,0
vendor,cdouble,48,256,768,T,vendor:auto,0.24224,0.24749,0.0484,638.8,0.672,0.00e+00,48,256,48,144,0,0
native:cta,cdouble,48,256,768,T,native:cta,0.17914,0.17913,0.0024,863.8,0.909,0.00e+00,48,256,48,144,0,0
vendor,cdouble,48,256,1024,T,vendor:auto,0.31928,0.31796,0.0563,646.2,0.680,0.00e+00,48,256,48,192,0,0
native:cta,cdouble,48,256,1024,T,native:cta,0.23265,0.23260,0.0025,886.8,0.933,0.00e+00,48,256,48,192,0,0
vendor,cdouble,64,256,128,T,vendor:auto,0.09101,0.09086,0.0047,375.9,0.396,0.00e+00,64,256,64,32,0,0
native:cta,cdouble,64,256,128,T,native:cta,0.02893,0.02891,0.0035,1182.4,1.245,0.00e+00,64,256,64,32,0,0
vendor,cdouble,64,256,192,T,vendor:auto,0.13639,0.13619,0.0060,376.2,0.396,0.00e+00,64,256,64,48,0,0
native:cta,cdouble,64,256,192,T,native:cta,0.04012,0.04016,0.0028,1278.9,1.346,0.00e+00,64,256,64,48,0,0
vendor,cdouble,64,256,256,T,vendor:auto,0.18444,0.18478,0.0115,371.0,0.390,0.00e+00,64,256,64,64,0,0
native:cta,cdouble,64,256,256,T,native:cta,0.05203,0.05211,0.0053,1315.0,1.384,0.00e+00,64,256,64,64,0,0
vendor,cdouble,64,256,320,T,vendor:auto,0.23072,0.23125,0.0063,370.7,0.390,0.00e+00,64,256,64,80,0,0
native:cta,cdouble,64,256,320,T,native:cta,0.09870,0.09930,0.0127,866.5,0.912,0.00e+00,64,256,64,80,0,0
vendor,cdouble,64,256,384,T,vendor:auto,0.27631,0.27624,0.0045,371.4,0.391,0.00e+00,64,256,64,96,0,0
native:cta,cdouble,64,256,384,T,native:cta,0.12134,0.12140,0.0030,845.8,0.890,0.00e+00,64,256,64,96,0,0
vendor,cdouble,64,256,448,T,vendor:auto,0.32256,0.32237,0.0033,371.2,0.391,0.00e+00,64,256,64,112,0,0
native:cta,cdouble,64,256,448,T,native:cta,0.14064,0.14042,0.0062,851.4,0.896,0.00e+00,64,256,64,112,0,0
vendor,cdouble,64,256,512,T,vendor:auto,0.36606,0.36566,0.0025,373.8,0.393,0.00e+00,64,256,64,128,0,0
native:cta,cdouble,64,256,512,T,native:cta,0.15908,0.15896,0.0031,860.2,0.905,0.00e+00,64,256,64,128,0,0
vendor,cdouble,64,256,640,T,vendor:auto,0.45830,0.45830,0.0025,373.2,0.393,0.00e+00,64,256,64,160,0,0
native:cta,cdouble,64,256,640,T,native:cta,0.19638,0.19697,0.0117,871.0,0.917,0.00e+00,64,256,64,160,0,0
vendor,cdouble,64,256,768,T,vendor:auto,0.55035,0.55093,0.0050,373.0,0.393,0.00e+00,64,256,64,192,0,0
native:cta,cdouble,64,256,768,T,native:cta,0.23222,0.23232,0.0026,883.9,0.930,0.00e+00,64,256,64,192,0,0
vendor,cdouble,64,256,1024,T,vendor:auto,0.73599,0.73661,0.0036,371.9,0.391,0.00e+00,64,256,64,256,0,0
native:cta,cdouble,64,256,1024,T,native:cta,0.30578,0.30616,0.0031,895.0,0.942,0.00e+00,64,256,64,256,0,0
vendor,cdouble,128,256,128,T,vendor:auto,0.08105,0.08094,0.0053,837.7,0.882,0.00e+00,128,256,128,64,0,0
native:cta,cdouble,128,256,128,T,native:cta,0.07092,0.07092,0.0020,957.4,1.008,0.00e+00,128,256,128,64,0,0
vendor,cdouble,128,256,192,T,vendor:auto,0.11650,0.11657,0.0055,874.2,0.920,0.00e+00,128,256,128,96,0,0
native:cta,cdouble,128,256,192,T,native:cta,0.12176,0.12214,0.0122,836.4,0.880,0.00e+00,128,256,128,96,0,0
vendor,cdouble,128,256,256,T,vendor:auto,0.15148,0.15156,0.0040,896.4,0.944,0.00e+00,128,256,128,128,0,0
native:cta,cdouble,128,256,256,T,native:cta,0.15756,0.15798,0.0108,861.8,0.907,0.00e+00,128,256,128,128,0,0
vendor,cdouble,128,256,320,T,vendor:auto,0.43486,0.43559,0.0113,390.3,0.411,0.00e+00,128,256,128,160,0,0
native:cta,cdouble,128,256,320,T,native:cta,0.19509,0.19562,0.0083,870.0,0.916,0.00e+00,128,256,128,160,0,0
vendor,cdouble,128,256,384,T,vendor:auto,0.56889,0.56944,0.0059,358.0,0.377,0.00e+00,128,256,128,192,0,0
native:cta,cdouble,128,256,384,T,native:cta,0.22948,0.22967,0.0026,887.6,0.934,0.00e+00,128,256,128,192,0,0
vendor,cdouble,128,256,448,T,vendor:auto,0.64339,0.64403,0.0140,369.3,0.389,0.00e+00,128,256,128,224,0,0
native:cta,cdouble,128,256,448,T,native:cta,0.26606,0.26623,0.0030,893.2,0.940,0.00e+00,128,256,128,224,0,0
vendor,cdouble,128,256,512,T,vendor:auto,0.71793,0.71774,0.0157,378.3,0.398,0.00e+00,128,256,128,256,0,0
native:cta,cdouble,128,256,512,T,native:cta,0.30243,0.33250,0.2874,898.0,0.945,0.00e+00,128,256,128,256,0,0
vendor,cdouble,128,256,640,T,vendor:auto,0.93871,0.93886,0.0212,361.6,0.381,0.00e+00,128,256,128,320,0,0
native:cta,cdouble,128,256,640,T,native:cta,0.37473,0.37477,0.0019,905.9,0.954,0.00e+00,128,256,128,320,0,0
vendor,cdouble,128,256,768,T,vendor:auto,1.13453,1.13359,0.0149,359.1,0.378,0.00e+00,128,256,128,384,0,0
native:cta,cdouble,128,256,768,T,native:cta,0.45123,0.54173,0.2073,902.8,0.950,0.00e+00,128,256,128,384,0,0
vendor,cdouble,128,256,1024,T,vendor:auto,1.50769,1.50285,0.0131,360.3,0.379,0.00e+00,128,256,128,512,0,0
native:cta,cdouble,128,256,1024,T,native:cta,0.59774,0.59794,0.0019,908.7,0.957,0.00e+00,128,256,128,512,0,0
vendor,cdouble,256,256,128,T,vendor:auto,0.15495,0.15473,0.0038,873.0,0.919,0.00e+00,256,256,256,128,0,0
native:cta,cdouble,256,256,128,T,native:cta,0.15739,0.15795,0.0083,859.4,0.905,0.00e+00,256,256,256,128,0,0
vendor,cdouble,256,256,192,T,vendor:auto,0.22613,0.22603,0.0027,897.3,0.944,0.00e+00,256,256,256,192,0,0
native:cta,cdouble,256,256,192,T,native:cta,0.22814,0.22824,0.0046,889.4,0.936,0.00e+00,256,256,256,192,0,0
vendor,cdouble,256,256,256,T,vendor:auto,0.29457,0.29536,0.0065,918.4,0.967,0.00e+00,256,256,256,256,0,0
native:cta,cdouble,256,256,256,T,native:cta,0.30199,0.30177,0.0040,895.8,0.943,0.00e+00,256,256,256,256,0,0
vendor,cdouble,256,256,320,T,vendor:auto,0.95212,0.95121,0.0079,355.2,0.374,0.00e+00,256,256,256,320,0,0
native:cta,cdouble,256,256,320,T,native:cta,0.37240,0.37313,0.0068,908.1,0.956,0.00e+00,256,256,256,320,0,0
vendor,cdouble,256,256,384,T,vendor:auto,1.27208,1.27122,0.0060,319.0,0.336,0.00e+00,256,256,256,384,0,0
native:cta,cdouble,256,256,384,T,native:cta,0.44437,0.44481,0.0026,913.2,0.961,0.00e+00,256,256,256,384,0,0
vendor,cdouble,256,256,448,T,vendor:auto,1.44372,1.44249,0.0099,327.9,0.345,0.00e+00,256,256,256,448,0,0
native:cta,cdouble,256,256,448,T,native:cta,0.51777,0.51748,0.0022,914.4,0.962,0.00e+00,256,256,256,448,0,0
vendor,cdouble,256,256,512,T,vendor:auto,1.59411,1.58988,0.0117,339.4,0.357,0.00e+00,256,256,256,512,0,0
native:cta,cdouble,256,256,512,T,native:cta,0.59145,0.59165,0.0043,914.8,0.963,0.00e+00,256,256,256,512,0,0
vendor,cdouble,256,256,640,T,vendor:auto,2.07146,2.06431,0.0142,326.5,0.344,0.00e+00,256,256,256,640,0,0
native:cta,cdouble,256,256,640,T,native:cta,0.73156,0.73216,0.0026,924.5,0.973,0.00e+00,256,256,256,640,0,0
vendor,cdouble,256,256,768,T,vendor:auto,2.52139,2.52382,0.0065,321.9,0.339,0.00e+00,256,256,256,768,0,0
native:cta,cdouble,256,256,768,T,native:cta,0.87941,0.87915,0.0041,922.9,0.971,0.00e+00,256,256,256,768,0,0
vendor,cdouble,256,256,1024,T,vendor:auto,3.34382,3.34159,0.0059,323.6,0.341,0.00e+00,256,256,256,1024,0,0
native:cta,cdouble,256,256,1024,T,native:cta,1.16574,1.16704,0.0030,928.3,0.977,0.00e+00,256,256,256,1024,0,0
vendor,cdouble,48,512,128,T,vendor:auto,0.10002,0.10011,0.0090,514.7,0.542,0.00e+00,48,512,48,48,0,0
native:cta,cdouble,48,512,128,T,native:cta,0.04407,0.04410,0.0198,1168.1,1.230,0.00e+00,48,512,48,48,0,0
vendor,cdouble,48,512,192,T,vendor:auto,0.13956,0.13869,0.0253,553.3,0.582,0.00e+00,48,512,48,72,0,0
native:cta,cdouble,48,512,192,T,native:cta,0.06257,0.06286,0.0156,1234.2,1.299,0.00e+00,48,512,48,72,0,0
vendor,cdouble,48,512,256,T,vendor:auto,0.17968,0.17921,0.0334,573.0,0.603,0.00e+00,48,512,48,96,0,0
native:cta,cdouble,48,512,256,T,native:cta,0.12260,0.12272,0.0038,839.8,0.884,0.00e+00,48,512,48,96,0,0
vendor,cdouble,48,512,320,T,vendor:auto,0.21567,0.21513,0.0435,596.7,0.628,0.00e+00,48,512,48,120,0,0
native:cta,cdouble,48,512,320,T,native:cta,0.14967,0.14980,0.0026,859.9,0.905,0.00e+00,48,512,48,120,0,0
vendor,cdouble,48,512,384,T,vendor:auto,0.24801,0.24175,0.0756,622.7,0.655,0.00e+00,48,512,48,144,0,0
native:cta,cdouble,48,512,384,T,native:cta,0.17735,0.17735,0.0043,870.8,0.917,0.00e+00,48,512,48,144,0,0
vendor,cdouble,48,512,448,T,vendor:auto,0.27942,0.28386,0.0554,644.8,0.679,0.00e+00,48,512,48,168,0,0
native:cta,cdouble,48,512,448,T,native:cta,0.20529,0.20625,0.0097,877.7,0.924,0.00e+00,48,512,48,168,0,0
vendor,cdouble,48,512,512,T,vendor:auto,0.32607,0.32242,0.0564,631.5,0.665,0.00e+00,48,512,48,192,0,0
native:cta,cdouble,48,512,512,T,native:cta,0.23299,0.23320,0.0029,883.8,0.930,0.00e+00,48,512,48,192,0,0
vendor,cdouble,48,512,640,T,vendor:auto,0.40131,0.38852,0.0861,641.4,0.675,0.00e+00,48,512,48,240,0,0
native:cta,cdouble,48,512,640,T,native:cta,0.28790,0.28803,0.0031,894.0,0.941,0.00e+00,48,512,48,240,0,0
vendor,cdouble,48,512,768,T,vendor:auto,0.46292,0.46171,0.0673,667.2,0.702,0.00e+00,48,512,48,288,0,0
native:cta,cdouble,48,512,768,T,native:cta,0.34404,0.34428,0.0027,897.8,0.945,0.00e+00,48,512,48,288,0,0
vendor,cdouble,48,512,1024,T,vendor:auto,0.55999,0.56995,0.0762,735.4,0.774,0.00e+00,48,512,48,384,0,0
native:cta,cdouble,48,512,1024,T,native:cta,0.45375,0.45393,0.0011,907.6,0.955,0.00e+00,48,512,48,384,0,0
vendor,cdouble,64,512,128,T,vendor:auto,0.18107,0.18107,0.0029,377.1,0.397,0.00e+00,64,512,64,64,0,0
native:cta,cdouble,64,512,128,T,native:cta,0.05232,0.05233,0.0044,1305.1,1.374,0.00e+00,64,512,64,64,0,0
vendor,cdouble,64,512,192,T,vendor:auto,0.27611,0.27634,0.0054,371.0,0.391,0.00e+00,64,512,64,96,0,0
native:cta,cdouble,64,512,192,T,native:cta,0.12286,0.12285,0.0046,833.7,0.878,0.00e+00,64,512,64,96,0,0
vendor,cdouble,64,512,256,T,vendor:auto,0.36386,0.36434,0.0038,375.4,0.395,0.00e+00,64,512,64,128,0,0
native:cta,cdouble,64,512,256,T,native:cta,0.15809,0.15837,0.0084,863.9,0.909,0.00e+00,64,512,64,128,0,0
vendor,cdouble,64,512,320,T,vendor:auto,0.45743,0.45755,0.0022,373.2,0.393,0.00e+00,64,512,64,160,0,0
native:cta,cdouble,64,512,320,T,native:cta,0.19475,0.19475,0.0028,876.6,0.923,0.00e+00,64,512,64,160,0,0
vendor,cdouble,64,512,384,T,vendor:auto,0.55115,0.55090,0.0041,371.7,0.391,0.00e+00,64,512,64,192,0,0
native:cta,cdouble,64,512,384,T,native:cta,0.23189,0.23189,0.0017,883.5,0.930,0.00e+00,64,512,64,192,0,0
vendor,cdouble,64,512,448,T,vendor:auto,0.64442,0.64432,0.0038,370.9,0.390,0.00e+00,64,512,64,224,0,0
native:cta,cdouble,64,512,448,T,native:cta,0.26906,0.26898,0.0024,888.3,0.935,0.00e+00,64,512,64,224,0,0
vendor,cdouble,64,512,512,T,vendor:auto,0.73857,0.73916,0.0058,369.8,0.389,0.00e+00,64,512,64,256,0,0
native:cta,cdouble,64,512,512,T,native:cta,0.30675,0.30723,0.0070,890.5,0.937,0.00e+00,64,512,64,256,0,0
vendor,cdouble,64,512,640,T,vendor:auto,0.91916,0.91949,0.0034,371.5,0.391,0.00e+00,64,512,64,320,0,0
native:cta,cdouble,64,512,640,T,native:cta,0.37803,0.37861,0.0060,903.2,0.951,0.00e+00,64,512,64,320,0,0
vendor,cdouble,64,512,768,T,vendor:auto,1.09858,1.09911,0.0027,373.0,0.393,0.00e+00,64,512,64,384,0,0
native:cta,cdouble,64,512,768,T,native:cta,0.45298,0.45300,0.0013,904.5,0.952,0.00e+00,64,512,64,384,0,0
vendor,cdouble,64,512,1024,T,vendor:auto,1.46439,1.46432,0.0023,373.1,0.393,0.00e+00,64,512,64,512,0,0
native:cta,cdouble,64,512,1024,T,native:cta,0.59674,0.59691,0.0011,915.5,0.964,0.00e+00,64,512,64,512,0,0
vendor,cdouble,128,512,128,T,vendor:auto,0.15186,0.15176,0.0046,892.5,0.939,0.00e+00,128,512,128,128,0,0
native:cta,cdouble,128,512,128,T,native:cta,0.15722,0.15751,0.0044,862.0,0.907,0.00e+00,128,512,128,128,0,0
vendor,cdouble,128,512,192,T,vendor:auto,0.22129,0.22156,0.0050,918.7,0.967,0.00e+00,128,512,128,192,0,0
native:cta,cdouble,128,512,192,T,native:cta,0.22984,0.23008,0.0031,884.5,0.931,0.00e+00,128,512,128,192,0,0
vendor,cdouble,128,512,256,T,vendor:auto,0.29223,0.29217,0.0032,927.5,0.976,0.00e+00,128,512,128,256,0,0
native:cta,cdouble,128,512,256,T,native:cta,0.30152,0.30175,0.0028,899.0,0.946,0.00e+00,128,512,128,256,0,0
vendor,cdouble,128,512,320,T,vendor:auto,0.92890,0.93019,0.0197,364.8,0.384,0.00e+00,128,512,128,320,0,0
native:cta,cdouble,128,512,320,T,native:cta,0.37469,0.37434,0.0032,904.3,0.952,0.00e+00,128,512,128,320,0,0
vendor,cdouble,128,512,384,T,vendor:auto,1.14463,1.13710,0.0139,355.2,0.374,0.00e+00,128,512,128,384,0,0
native:cta,cdouble,128,512,384,T,native:cta,0.44626,0.44657,0.0029,911.1,0.959,0.00e+00,128,512,128,384,0,0
vendor,cdouble,128,512,448,T,vendor:auto,1.28942,1.29406,0.0172,367.9,0.387,0.00e+00,128,512,128,448,0,0
native:cta,cdouble,128,512,448,T,native:cta,0.52112,0.52106,0.0023,910.2,0.958,0.00e+00,128,512,128,448,0,0
vendor,cdouble,128,512,512,T,vendor:auto,1.52367,1.52591,0.0084,355.8,0.375,0.00e+00,128,512,128,512,0,0
native:cta,cdouble,128,512,512,T,native:cta,0.59424,0.59462,0.0056,912.3,0.960,0.00e+00,128,512,128,512,0,0
vendor,cdouble,128,512,640,T,vendor:auto,1.88059,1.92427,0.0615,360.3,0.379,0.00e+00,128,512,128,640,0,0
native:cta,cdouble,128,512,640,T,native:cta,0.74168,0.77104,0.1203,913.7,0.962,0.00e+00,128,512,128,640,0,0
vendor,cdouble,128,512,768,T,vendor:auto,2.28109,2.35976,0.0777,356.5,0.375,0.00e+00,128,512,128,768,0,0
native:cta,cdouble,128,512,768,T,native:cta,0.88059,0.88138,0.0022,923.4,0.972,0.00e+00,128,512,128,768,0,0
vendor,cdouble,128,512,1024,T,vendor:auto,3.07303,3.06037,0.0197,352.8,0.371,0.00e+00,128,512,128,1024,0,0
native:cta,cdouble,128,512,1024,T,native:cta,1.17187,1.17220,0.0029,925.2,0.974,0.00e+00,128,512,128,1024,0,0
vendor,cdouble,256,512,128,T,vendor:auto,0.29579,0.29654,0.0078,912.8,0.961,0.00e+00,256,512,256,256,0,0
native:cta,cdouble,256,512,128,T,native:cta,0.29940,0.29944,0.0028,901.8,0.949,0.00e+00,256,512,256,256,0,0
vendor,cdouble,256,512,192,T,vendor:auto,0.43636,0.43684,0.0069,928.2,0.977,0.00e+00,256,512,256,384,0,0
native:cta,cdouble,256,512,192,T,native:cta,0.44462,0.44477,0.0026,910.9,0.959,0.00e+00,256,512,256,384,0,0
vendor,cdouble,256,512,256,T,vendor:auto,0.57816,0.57898,0.0045,934.0,0.983,0.00e+00,256,512,256,512,0,0
native:cta,cdouble,256,512,256,T,native:cta,0.58740,0.58782,0.0022,919.3,0.968,0.00e+00,256,512,256,512,0,0
vendor,cdouble,256,512,320,T,vendor:auto,2.06587,2.06681,0.0059,326.7,0.344,0.00e+00,256,512,256,640,0,0
native:cta,cdouble,256,512,320,T,native:cta,0.73157,0.73169,0.0038,922.7,0.971,0.00e+00,256,512,256,640,0,0
vendor,cdouble,256,512,384,T,vendor:auto,2.53602,2.53249,0.0051,319.4,0.336,0.00e+00,256,512,256,768,0,0
native:cta,cdouble,256,512,384,T,native:cta,0.87562,0.87574,0.0021,925.1,0.974,0.00e+00,256,512,256,768,0,0
vendor,cdouble,256,512,448,T,vendor:auto,2.88216,2.87373,0.0095,327.9,0.345,0.00e+00,256,512,256,896,0,0
native:cta,cdouble,256,512,448,T,native:cta,1.01932,1.01948,0.0034,927.1,0.976,0.00e+00,256,512,256,896,0,0
vendor,cdouble,256,512,512,T,vendor:auto,3.37532,3.61182,0.1518,320.0,0.337,0.00e+00,256,512,256,1024,0,0
native:cta,cdouble,256,512,512,T,native:cta,1.16282,1.16300,0.0032,928.8,0.978,0.00e+00,256,512,256,1024,0,0
