type,out_len,red_len,batch,kernel,metric,value
cdouble,2048,32,512,T,0.356,32
cdouble,2048,32,512,Kernel Name,Metric Name,Metric Value
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,dram__throughput.avg.pct_of_peak_sustained_elapsed,40.61
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,16
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,,072
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active,85.55
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,sm__warps_active.avg.pct_of_peak_sustained_active,93.30
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,24,248
cdouble,2048,32,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,33,432
cdouble,2048,64,512,T,0.592,64
cdouble,2048,64,512,Kernel Name,Metric Name,Metric Value
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,dram__throughput.avg.pct_of_peak_sustained_elapsed,66.09
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,16
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,,072
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active,86.11
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,sm__warps_active.avg.pct_of_peak_sustained_active,91.13
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,29,128
cdouble,2048,64,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,37,736
cdouble,2048,128,512,T,0.834,128
cdouble,2048,128,512,Kernel Name,Metric Name,Metric Value
cdouble,2048,128,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,dram__throughput.avg.pct_of_peak_sustained_elapsed,95.08
cdouble,2048,128,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,16
cdouble,2048,128,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,,072
cdouble,2048,128,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,2048,128,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,2048,128,512,Typeinfo name for unnamed>::GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
