arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,float,1,64,512,N,vendor:auto,0.00875,0.00880,0.0241,30.2,0.032,0.00e+00,1,1,64,0
native:direct,float,1,64,512,N,native:direct,0.00741,0.00745,0.0249,35.7,0.038,0.00e+00,1,1,64,0
vendor,double,1,64,512,N,vendor:auto,0.00918,0.00923,0.0290,57.6,0.061,0.00e+00,1,1,64,0
native:direct,double,1,64,512,N,native:direct,0.00770,0.00771,0.0292,68.7,0.072,0.00e+00,1,1,64,0
vendor,cfloat,1,64,512,N,vendor:auto,0.00900,0.01017,0.3707,58.7,0.062,0.00e+00,1,1,64,0
native:direct,cfloat,1,64,512,N,native:direct,0.00742,0.00744,0.0221,71.2,0.075,0.00e+00,1,1,64,0
vendor,cdouble,1,64,512,N,vendor:auto,0.01044,0.01049,0.0248,101.2,0.107,0.00e+00,1,1,64,0
native:direct,cdouble,1,64,512,N,native:direct,0.00788,0.00783,0.0201,134.2,0.141,0.00e+00,1,1,64,0
vendor,float,64,1,512,T,vendor:auto,0.00878,0.00899,0.0472,30.1,0.032,0.00e+00,64,1,64,0
native:direct,float,64,1,512,T,native:direct,0.00919,0.00934,0.0521,28.8,0.030,0.00e+00,64,1,64,0
native:cta,float,64,1,512,T,native:cta,0.00607,0.00609,0.0164,43.5,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,T,vendor:auto,0.00827,0.00827,0.0116,63.9,0.067,0.00e+00,64,1,64,0
native:direct,double,64,1,512,T,native:direct,0.00931,0.00932,0.0094,56.8,0.060,0.00e+00,64,1,64,0
native:cta,double,64,1,512,T,native:cta,0.00744,0.00748,0.0200,71.0,0.075,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,T,vendor:auto,0.00794,0.00801,0.0357,66.5,0.070,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,T,native:direct,0.01072,0.01070,0.0073,49.3,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,T,native:cta,0.00614,0.00613,0.0155,86.0,0.091,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,T,vendor:auto,0.00918,0.00921,0.0132,115.2,0.121,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,T,native:direct,0.01359,0.01361,0.0072,77.8,0.082,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,T,native:cta,0.00689,0.00691,0.0176,153.3,0.161,0.00e+00,64,1,64,0
vendor,float,64,1,512,C,vendor:auto,0.00781,0.00785,0.0169,33.8,0.036,0.00e+00,64,1,64,0
native:direct,float,64,1,512,C,native:direct,0.00813,0.00812,0.0075,32.5,0.034,0.00e+00,64,1,64,0
native:cta,float,64,1,512,C,native:cta,0.00601,0.00604,0.0154,43.9,0.046,0.00e+00,64,1,64,0
vendor,double,64,1,512,C,vendor:auto,0.00834,0.00837,0.0172,63.3,0.067,0.00e+00,64,1,64,0
native:direct,double,64,1,512,C,native:direct,0.00928,0.00927,0.0112,56.9,0.060,0.00e+00,64,1,64,0
native:cta,double,64,1,512,C,native:cta,0.00611,0.00612,0.0198,86.5,0.091,0.00e+00,64,1,64,0
vendor,cfloat,64,1,512,C,vendor:auto,0.00788,0.00809,0.0755,67.1,0.071,0.00e+00,64,1,64,0
native:direct,cfloat,64,1,512,C,native:direct,0.01072,0.01072,0.0039,49.3,0.052,0.00e+00,64,1,64,0
native:cta,cfloat,64,1,512,C,native:cta,0.00622,0.00622,0.0132,84.9,0.089,0.00e+00,64,1,64,0
vendor,cdouble,64,1,512,C,vendor:auto,0.00910,0.00915,0.0118,116.1,0.122,0.00e+00,64,1,64,0
native:direct,cdouble,64,1,512,C,native:direct,0.01364,0.01364,0.0031,77.5,0.082,0.00e+00,64,1,64,0
native:cta,cdouble,64,1,512,C,native:cta,0.00679,0.00685,0.0165,155.5,0.164,0.00e+00,64,1,64,0
vendor,float,1,512,512,N,vendor:auto,0.00866,0.00864,0.0126,242.3,0.255,0.00e+00,1,1,512,0
native:direct,float,1,512,512,N,native:direct,0.00685,0.00685,0.0113,306.5,0.323,0.00e+00,1,1,512,0
vendor,double,1,512,512,N,vendor:auto,0.01131,0.01134,0.0107,371.1,0.391,0.00e+00,1,1,512,0
native:direct,double,1,512,512,N,native:direct,0.00711,0.00712,0.0069,590.4,0.621,0.00e+00,1,1,512,0
vendor,cfloat,1,512,512,N,vendor:auto,0.00886,0.00888,0.0110,474.0,0.499,0.00e+00,1,1,512,0
native:direct,cfloat,1,512,512,N,native:direct,0.00680,0.00684,0.0171,617.4,0.650,0.00e+00,1,1,512,0
vendor,cdouble,1,512,512,N,vendor:auto,0.02142,0.02144,0.0066,392.0,0.413,0.00e+00,1,1,512,0
native:direct,cdouble,1,512,512,N,native:direct,0.00838,0.00843,0.0201,1001.9,1.055,0.00e+00,1,1,512,0
vendor,float,512,1,512,T,vendor:auto,0.00845,0.00847,0.0140,248.5,0.262,0.00e+00,512,1,512,0
native:direct,float,512,1,512,T,native:direct,0.02586,0.02585,0.0036,81.2,0.085,0.00e+00,512,1,512,0
native:cta,float,512,1,512,T,native:cta,0.00646,0.00646,0.0159,325.1,0.342,0.00e+00,512,1,512,0
vendor,double,512,1,512,T,vendor:auto,0.01133,0.01140,0.0112,370.7,0.390,0.00e+00,512,1,512,0
native:direct,double,512,1,512,T,native:direct,0.03546,0.03548,0.0032,118.4,0.125,0.00e+00,512,1,512,0
native:cta,double,512,1,512,T,native:cta,0.00726,0.00744,0.0432,578.1,0.609,0.00e+00,512,1,512,0
vendor,cfloat,512,1,512,T,vendor:auto,0.00895,0.00905,0.0505,469.1,0.494,0.00e+00,512,1,512,0
native:direct,cfloat,512,1,512,T,native:direct,0.04675,0.04675,0.0024,89.8,0.095,0.00e+00,512,1,512,0
native:cta,cfloat,512,1,512,T,native:cta,0.00700,0.00698,0.0113,599.9,0.632,0.00e+00,512,1,512,0
vendor,cdouble,512,1,512,T,vendor:auto,0.02153,0.02152,0.0069,389.9,0.410,0.00e+00,512,1,512,0
native:direct,cdouble,512,1,512,T,native:direct,0.06906,0.06907,0.0008,121.6,0.128,0.00e+00,512,1,512,0
native:cta,cdouble,512,1,512,T,native:cta,0.00881,0.00877,0.0073,953.4,1.004,0.00e+00,512,1,512,0
vendor,float,512,1,512,C,vendor:auto,0.00848,0.00848,0.0106,247.6,0.261,0.00e+00,512,1,512,0
native:direct,float,512,1,512,C,native:direct,0.02584,0.02586,0.0042,81.2,0.086,0.00e+00,512,1,512,0
native:cta,float,512,1,512,C,native:cta,0.00647,0.00646,0.0124,324.5,0.342,0.00e+00,512,1,512,0
vendor,double,512,1,512,C,vendor:auto,0.01115,0.01114,0.0136,376.7,0.396,0.00e+00,512,1,512,0
native:direct,double,512,1,512,C,native:direct,0.03559,0.03558,0.0019,118.0,0.124,0.00e+00,512,1,512,0
