type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,1,2048,512,T,auto,8,1,0.12478,1.26321,0.0022,0.0003,269.0,26.6,10.1234,0.00e+00,0.00e+00,1,2048,1,16,0
double,1,2048,512,T,auto,8,1,0.04881,0.50290,0.0038,0.0008,343.8,33.4,10.3025,0.00e+00,0.00e+00,1,2048,1,8,0
cfloat,1,2048,512,T,auto,8,1,0.02543,0.15886,0.0044,0.0007,659.9,105.6,6.2468,0.00e+00,0.00e+00,1,2048,1,8,0
float,1,2048,512,T,auto,8,1,0.02402,0.14090,0.0044,0.0010,349.3,59.6,5.8658,0.00e+00,0.00e+00,1,2048,1,4,0
cdouble,2,2048,512,T,auto,8,1,0.12404,1.26670,0.0033,0.0011,405.9,39.7,10.2118,0.00e+00,0.00e+00,2,2048,2,32,0
double,2,2048,512,T,auto,8,1,0.04793,0.50333,0.0017,0.0004,525.2,50.0,10.5004,0.00e+00,0.00e+00,2,2048,2,16,0
cfloat,2,2048,512,T,auto,8,1,0.02545,0.15942,0.0032,0.0009,989.3,157.9,6.2651,0.00e+00,0.00e+00,2,2048,2,16,0
float,2,2048,512,T,auto,8,1,0.02407,0.14116,0.0029,0.0017,523.0,89.2,5.8649,0.00e+00,0.00e+00,2,2048,2,8,0
cdouble,4,2048,512,T,auto,8,1,0.12649,1.27159,0.0048,0.0015,663.5,66.0,10.0532,0.00e+00,0.00e+00,4,2048,4,64,0
double,4,2048,512,T,auto,8,1,0.04802,0.50432,0.0036,0.0004,873.7,83.2,10.5014,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,T,auto,8,1,0.02576,0.16083,0.0091,0.4552,1629.1,260.9,6.2444,0.00e+00,0.00e+00,4,2048,4,32,0
float,4,2048,512,T,auto,8,1,0.02398,0.14155,0.0070,0.0012,874.7,148.2,5.9020,0.00e+00,0.00e+00,4,2048,4,16,0
cdouble,8,2048,512,T,auto,8,1,0.17531,1.27463,0.1534,0.0039,861.7,118.5,7.2708,0.00e+00,0.00e+00,8,2048,8,128,0
double,8,2048,512,T,auto,8,1,0.04993,0.50436,0.0137,0.0009,1512.7,149.8,10.1010,0.00e+00,0.00e+00,8,2048,8,64,0
cfloat,8,2048,512,T,auto,8,1,0.04111,0.16716,0.1089,0.0048,1837.3,451.9,4.0661,0.00e+00,0.00e+00,8,2048,8,64,0
float,8,2048,512,T,auto,8,1,0.02425,0.14319,0.0042,0.0009,1557.3,263.7,5.9047,0.00e+00,0.00e+00,8,2048,8,32,0
cdouble,16,2048,512,T,auto,8,1,0.32010,1.27268,0.2031,0.0842,891.4,224.2,3.9759,0.00e+00,0.00e+00,16,2048,16,256,0
