type,segt,kernel,metric,value
cdouble,2,GemvCtaTKernel<complex<double>>,launch__block_size,256
cdouble,2,GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,2,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,2,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
cdouble,2,GemvSegTKernel<complex<double>,launch__block_size,256
cdouble,2,GemvSegTKernel<complex<double>,launch__registers_per_thread,40
cdouble,2,GemvSegTKernel<complex<double>,launch__shared_mem_per_block_dynamic,0
cdouble,2,GemvSegTKernel<complex<double>,launch__shared_mem_per_block_static,0
cdouble,2,Kernel Name,Metric Name,Metric Value
cdouble,2,T,0.00e+00,8
cdouble,4,GemvCtaTKernel<complex<double>>,launch__block_size,256
cdouble,4,GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,4,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,4,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
cdouble,4,GemvSegTKernel<complex<double>,launch__block_size,256
cdouble,4,GemvSegTKernel<complex<double>,launch__registers_per_thread,40
cdouble,4,GemvSegTKernel<complex<double>,launch__shared_mem_per_block_dynamic,0
cdouble,4,GemvSegTKernel<complex<double>,launch__shared_mem_per_block_static,0
cdouble,4,Kernel Name,Metric Name,Metric Value
cdouble,4,T,0.00e+00,8
cdouble,8,GemvCtaTKernel<complex<double>>,launch__block_size,256
cdouble,8,GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,8,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,8,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
cdouble,8,GemvSegTKernel<complex<double>,launch__block_size,256
cdouble,8,GemvSegTKernel<complex<double>,launch__registers_per_thread,40
cdouble,8,GemvSegTKernel<complex<double>,launch__shared_mem_per_block_dynamic,0
cdouble,8,GemvSegTKernel<complex<double>,launch__shared_mem_per_block_static,0
cdouble,8,Kernel Name,Metric Name,Metric Value
cdouble,8,T,0.00e+00,8
cdouble,off,GemvCtaTKernel<complex<double>>,launch__block_size,256
cdouble,off,GemvCtaTKernel<complex<double>>,launch__registers_per_thread,40
cdouble,off,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_dynamic,0
cdouble,off,GemvCtaTKernel<complex<double>>,launch__shared_mem_per_block_static,0
cdouble,off,Kernel Name,Metric Name,Metric Value
cdouble,off,T,0.00e+00,8
cfloat,2,GemvCtaTKernel<complex<float>>,launch__block_size,256
cfloat,2,GemvCtaTKernel<complex<float>>,launch__registers_per_thread,38
