arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,foreign
vendor,cdouble,32,64,128,T,vendor:auto,0.01150,0.01149,0.0179,381.8,0.402,0.00e+00,32,64,32,4,0
native:cta,cdouble,32,64,128,T,native:cta,0.01676,0.01680,0.0146,262.0,0.276,0.00e+00,32,64,32,4,0
vendor,cdouble,32,64,128,C,vendor:auto,0.01145,0.01150,0.0153,383.5,0.404,0.00e+00,32,64,32,4,0
native:cta,cdouble,32,64,128,C,native:cta,0.01708,0.01701,0.0112,257.1,0.271,0.00e+00,32,64,32,4,0
vendor,cdouble,32,64,512,T,vendor:auto,0.02570,0.02556,0.0173,683.4,0.719,0.00e+00,32,64,32,16,0
native:cta,cdouble,32,64,512,T,native:cta,0.04546,0.04549,0.0058,386.3,0.407,0.00e+00,32,64,32,16,0
vendor,cdouble,32,64,512,C,vendor:auto,0.02533,0.02536,0.0124,693.5,0.730,0.00e+00,32,64,32,16,0
native:cta,cdouble,32,64,512,C,native:cta,0.04692,0.06366,0.8261,374.3,0.394,0.00e+00,32,64,32,16,0
vendor,cdouble,64,64,128,T,vendor:auto,0.01283,0.01287,0.0062,674.1,0.710,0.00e+00,64,64,64,8,0
native:cta,cdouble,64,64,128,T,native:cta,0.01836,0.01834,0.0059,471.2,0.496,0.00e+00,64,64,64,8,0
vendor,cdouble,64,64,128,C,vendor:auto,0.01223,0.01224,0.0081,707.5,0.745,0.00e+00,64,64,64,8,0
native:cta,cdouble,64,64,128,C,native:cta,0.01786,0.01789,0.0072,484.4,0.510,0.00e+00,64,64,64,8,0
vendor,cdouble,64,64,512,T,vendor:auto,0.04549,0.04552,0.0064,760.6,0.801,0.00e+00,64,64,64,32,0
native:cta,cdouble,64,64,512,T,native:cta,0.05392,0.05395,0.0043,641.7,0.675,0.00e+00,64,64,64,32,0
vendor,cdouble,64,64,512,C,vendor:auto,0.04507,0.04527,0.0098,767.8,0.808,0.00e+00,64,64,64,32,0
native:cta,cdouble,64,64,512,C,native:cta,0.05389,0.05391,0.0026,642.2,0.676,0.00e+00,64,64,64,32,0
vendor,cdouble,128,64,128,T,vendor:auto,0.01515,0.01538,0.0397,1133.5,1.193,0.00e+00,128,64,128,16,0
native:cta,cdouble,128,64,128,T,native:cta,0.02227,0.02243,0.0199,771.0,0.812,0.00e+00,128,64,128,16,0
vendor,cdouble,128,64,128,C,vendor:auto,0.01557,0.01561,0.0140,1102.5,1.161,0.00e+00,128,64,128,16,0
native:cta,cdouble,128,64,128,C,native:cta,0.02216,0.02217,0.0032,774.8,0.816,0.00e+00,128,64,128,16,0
vendor,cdouble,128,64,512,T,vendor:auto,0.03937,0.03946,0.0064,1744.5,1.836,0.00e+00,128,64,128,64,0
native:cta,cdouble,128,64,512,T,native:cta,0.07038,0.07042,0.0011,975.8,1.027,0.00e+00,128,64,128,64,0
vendor,cdouble,128,64,512,C,vendor:auto,0.03917,0.03918,0.0049,1753.6,1.846,0.00e+00,128,64,128,64,0
native:cta,cdouble,128,64,512,C,native:cta,0.07162,0.07161,0.0027,958.9,1.009,0.00e+00,128,64,128,64,0
vendor,cdouble,32,256,128,T,vendor:auto,0.02545,0.02543,0.0099,682.3,0.718,0.00e+00,32,256,32,16,0
native:cta,cdouble,32,256,128,T,native:cta,0.04562,0.04561,0.0035,380.7,0.401,0.00e+00,32,256,32,16,0
vendor,cdouble,32,256,128,C,vendor:auto,0.02608,0.02620,0.0344,666.0,0.701,0.00e+00,32,256,32,16,0
native:cta,cdouble,32,256,128,C,native:cta,0.04573,0.04579,0.0045,379.8,0.400,0.00e+00,32,256,32,16,0
vendor,cdouble,32,256,512,T,vendor:auto,0.08196,0.08218,0.0070,847.6,0.892,0.00e+00,32,256,32,64,0
native:cta,cdouble,32,256,512,T,native:cta,0.16517,0.16516,0.0016,420.6,0.443,0.00e+00,32,256,32,64,0
vendor,cdouble,32,256,512,C,vendor:auto,0.08235,0.08235,0.0060,843.6,0.888,0.00e+00,32,256,32,64,0
native:cta,cdouble,32,256,512,C,native:cta,0.16559,0.16550,0.0012,419.5,0.442,0.00e+00,32,256,32,64,0
vendor,cdouble,64,256,128,T,vendor:auto,0.09356,0.09351,0.0064,365.6,0.385,0.00e+00,64,256,64,32,0
native:cta,cdouble,64,256,128,T,native:cta,0.05523,0.05527,0.0050,619.4,0.652,0.00e+00,64,256,64,32,0
vendor,cdouble,64,256,128,C,vendor:auto,0.09266,0.09277,0.0028,369.2,0.389,0.00e+00,64,256,64,32,0
native:cta,cdouble,64,256,128,C,native:cta,0.05406,0.05407,0.0027,632.8,0.666,0.00e+00,64,256,64,32,0
vendor,cdouble,64,256,512,T,vendor:auto,0.37083,0.37125,0.0048,369.0,0.388,0.00e+00,64,256,64,128,0
native:cta,cdouble,64,256,512,T,native:cta,0.20009,0.20024,0.0027,683.9,0.720,0.00e+00,64,256,64,128,0
vendor,cdouble,64,256,512,C,vendor:auto,0.36556,0.36552,0.0037,374.3,0.394,0.00e+00,64,256,64,128,0
native:cta,cdouble,64,256,512,C,native:cta,0.19942,0.19936,0.0010,686.2,0.722,0.00e+00,64,256,64,128,0
vendor,cdouble,128,256,128,T,vendor:auto,0.08088,0.08088,0.0075,839.4,0.884,0.00e+00,128,256,128,64,0
native:cta,cdouble,128,256,128,T,native:cta,0.07059,0.07062,0.0021,961.8,1.012,0.00e+00,128,256,128,64,0
vendor,cdouble,128,256,128,C,vendor:auto,0.08197,0.08196,0.0088,828.3,0.872,0.00e+00,128,256,128,64,0
native:cta,cdouble,128,256,128,C,native:cta,0.07185,0.07187,0.0026,945.0,0.995,0.00e+00,128,256,128,64,0
vendor,cdouble,128,256,512,T,vendor:auto,0.71617,0.71443,0.0186,379.2,0.399,0.00e+00,128,256,128,256,0
native:cta,cdouble,128,256,512,T,native:cta,0.30561,0.39744,0.2927,888.6,0.935,0.00e+00,128,256,128,256,0
vendor,cdouble,128,256,512,C,vendor:auto,0.77124,0.77282,0.0073,352.1,0.371,0.00e+00,128,256,128,256,0
native:cta,cdouble,128,256,512,C,native:cta,0.30271,0.30292,0.0017,897.2,0.944,0.00e+00,128,256,128,256,0
vendor,cdouble,32,512,128,T,vendor:auto,0.04600,0.04613,0.0091,753.7,0.793,0.00e+00,32,512,32,32,0
